site_name,year,month,NEE,GPP,Reco,ET,NEP,State,biome,salinity_ppt,salinity_fine,salini_coarse,WUE,CUE,Tair_f,VPD_f,Rg_f,avg_length,avg_sos,avg_eos,lat,long,climate,climate_2,salinity_con
US-A03,2015,6,-18.133,30.896,11.722,25.322,19.174,AL,tundra,15.0,low med,med,1.22,0.621,9.16,7.277,275.129,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A03,2015,7,-63.985,110.877,50.695,21.049,60.182,AL,tundra,15.0,low med,med,5.267,0.543,4.498,5.015,211.153,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A03,2015,8,-6.841,20.672,18.148,10.352,2.525,AL,tundra,15.0,low med,med,1.997,0.122,5.45,5.449,117.427,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A03,2016,6,-19.885,25.511,7.078,25.599,18.432,AL,tundra,15.0,low med,med,0.997,0.723,5.087,5.832,246.7,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A03,2016,7,-78.992,132.491,65.822,39.102,66.669,AL,tundra,15.0,low med,med,3.388,0.503,7.363,6.378,214.403,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A03,2016,8,-24.058,37.26,13.602,12.771,23.659,AL,tundra,15.0,low med,med,2.918,0.635,5.474,5.447,143.202,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A03,2017,6,62.741,43.731,97.976,24.566,-54.245,AL,tundra,15.0,low med,med,1.78,-1.24,5.884,5.334,264.999,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A03,2017,7,-12.033,46.278,32.112,26.102,14.165,AL,tundra,15.0,low med,med,1.773,0.306,8.299,6.302,207.001,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A03,2017,8,10.712,8.557,15.366,8.17,-6.809,AL,tundra,15.0,low med,med,1.047,-0.796,7.661,5.556,100.666,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A03,2018,6,-1.208,5.187,5.668,10.508,-0.48,AL,tundra,15.0,low med,med,0.494,-0.093,2.262,4.651,250.575,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A03,2018,7,-29.776,70.844,32.165,37.086,38.678,AL,tundra,15.0,low med,med,1.91,0.546,7.571,6.568,188.337,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A03,2018,8,-11.86,35.417,21.118,14.0,14.299,AL,tundra,15.0,low med,med,2.53,0.404,2.65,4.392,108.615,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A03,2019,6,-11.744,23.464,15.959,22.266,7.505,AL,tundra,15.0,low med,med,1.054,0.32,4.166,4.998,238.524,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A03,2019,7,-82.119,97.158,31.247,37.903,65.911,AL,tundra,15.0,low med,med,2.563,0.678,8.316,6.635,175.193,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A03,2019,8,-33.254,51.304,33.878,12.702,17.426,AL,tundra,15.0,low med,med,4.039,0.34,6.048,5.084,123.396,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A03,2020,6,-35.121,48.26,4.749,17.847,43.511,AL,tundra,15.0,low med,med,2.704,0.902,4.02,4.347,262.695,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A03,2020,7,-79.46,108.851,38.19,22.543,70.661,AL,tundra,15.0,low med,med,4.829,0.649,4.044,4.227,187.357,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A03,2020,8,-20.252,39.338,15.393,11.382,23.945,AL,tundra,15.0,low med,med,3.456,0.609,6.503,5.317,114.368,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2012,6,-4.826,21.757,13.853,28.744,7.905,AL,sparse_veg,32.0,high,high,0.757,0.363,5.862,4.222,262.746,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2012,7,-44.139,86.306,39.973,33.182,46.333,AL,sparse_veg,32.0,high,high,2.601,0.537,8.606,5.946,220.831,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2012,8,-6.378,60.712,46.474,22.205,14.238,AL,sparse_veg,32.0,high,high,2.734,0.235,8.572,5.625,109.56,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2013,6,6.315,33.5,24.955,26.087,8.544,AL,sparse_veg,32.0,high,high,1.284,0.255,6.791,5.086,254.814,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2013,7,-3.2,69.418,60.739,26.879,8.679,AL,sparse_veg,32.0,high,high,2.583,0.125,7.003,4.731,187.926,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2013,8,-26.056,70.34,45.443,22.095,24.898,AL,sparse_veg,32.0,high,high,3.183,0.354,5.757,4.006,107.44,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2013,9,-0.418,1.217,2.537,0.688,-1.32,AL,sparse_veg,32.0,high,high,1.77,-1.085,1.899,1.187,100.35,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2014,6,7.212,21.764,28.316,25.485,-6.552,AL,sparse_veg,32.0,high,high,0.854,-0.301,4.165,3.781,233.485,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2014,7,-25.185,71.889,40.887,42.573,31.002,AL,sparse_veg,32.0,high,high,1.689,0.431,5.329,3.553,192.194,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
