site_name,year,GPP,Reco,ET,NEP,Tair_f,VPD_f,Rg_f,WUE,CUE,State,biome,salinity_ppt,salinity_fine,salini_coarse,avg_length,avg_sos,avg_eos,lat,long,climate,climate_2,salinity_con
US-A03,2015,162.445,80.564,56.723,81.881,5.982791997354497,5.728835106973275,206.10079464285712,2.864,0.504,AL,tundra,15.0,low med,med,47.86666666666667,164.40981760335688,227.73826661766446,70.4953,-149.8823,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A03,2016,195.262,86.502,77.472,108.76,6.292938161375662,6.0152620825521135,207.8083677248677,2.52,0.557,AL,tundra,15.0,low med,med,47.86666666666667,164.40981760335688,227.73826661766446,70.4953,-149.8823,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A03,2017,98.566,145.455,58.837,-46.889,7.495267857142856,5.862985142720874,197.3336238127027,1.675,-0.476,AL,tundra,15.0,low med,med,47.86666666666667,164.40981760335688,227.73826661766446,70.4953,-149.8823,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A03,2018,111.448,58.951,61.594,52.498,4.96694246031746,5.532561711575919,186.15015622171836,1.809,0.471,AL,tundra,15.0,low med,med,47.86666666666667,164.40981760335688,227.73826661766446,70.4953,-149.8823,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A03,2019,171.925,81.083,72.872,90.842,6.656244708994709,5.823847931675033,179.94986519881556,2.359,0.528,AL,tundra,15.0,low med,med,47.86666666666667,164.40981760335688,227.73826661766446,70.4953,-149.8823,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A03,2020,196.448,58.331,51.773,138.117,4.583488095238096,4.50357108252964,192.6620583175349,3.794,0.703,AL,tundra,15.0,low med,med,47.86666666666667,164.40981760335688,227.73826661766446,70.4953,-149.8823,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2012,168.775,100.3,84.13,68.476,7.898814508032129,5.389826816308729,189.87664935140953,2.006,0.406,AL,sparse_veg,32.0,high,high,57.26666666666667,161.51070353097427,244.78520850465313,71.3242,-156.6149,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2013,174.475,133.674,75.749,40.801,6.425297690763052,4.502829098128142,172.9275517570281,2.303,0.234,AL,sparse_veg,32.0,high,high,57.26666666666667,161.51070353097427,244.78520850465313,71.3242,-156.6149,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2014,163.691,123.679,86.916,40.013,4.7895983935742965,3.6819489822983584,170.4550743339711,1.883,0.244,AL,sparse_veg,32.0,high,high,57.26666666666667,161.51070353097427,244.78520850465313,71.3242,-156.6149,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2015,259.206,132.63,97.093,126.575,5.331352158634538,4.03254980018311,173.72849530622491,2.67,0.488,AL,sparse_veg,32.0,high,high,57.26666666666667,161.51070353097427,244.78520850465313,71.3242,-156.6149,Barren Sparse Vegetation,Barren Sparse Vegetation,no
