site_name,year,month,NEE,GPP_obs,Reco,ET_obs,NEP,State,biome,salinity_ppt,salinity_fine,salini_coarse,WUE_obs,CUE,Tair_f,VPD_f,Rg_f,avg_length,avg_sos,avg_eos,lat,long,climate,climate_2,salinity_con,aid,ET_mod,GPP_mod,WUE_mod
US-A03,2015,6,-18.133,30.896,11.722,25.322,19.174,AL,tundra,15.0,low med,med,1.22,0.621,9.16,7.277,275.129,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no,aid0001,71.55294119999999,33.9353,0.47426841483910936
US-A03,2015,6,-18.133,30.896,11.722,25.322,19.174,AL,tundra,15.0,low med,med,1.22,0.621,9.16,7.277,275.129,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no,aid0002,71.75,34.0625,0.47473867595818814
US-A03,2015,6,-18.133,30.896,11.722,25.322,19.174,AL,tundra,15.0,low med,med,1.22,0.621,9.16,7.277,275.129,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no,aid0003,72.3176471,32.829499999999996,0.4539625017750335
US-A03,2015,6,-18.133,30.896,11.722,25.322,19.174,AL,tundra,15.0,low med,med,1.22,0.621,9.16,7.277,275.129,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no,aid0004,73.65,27.66,0.3755600814663951
US-A03,2015,6,-18.133,30.896,11.722,25.322,19.174,AL,tundra,15.0,low med,med,1.22,0.621,9.16,7.277,275.129,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no,aid0005,73.6615384,30.4384,0.4132197163017709
US-A03,2015,6,-18.133,30.896,11.722,25.322,19.174,AL,tundra,15.0,low med,med,1.22,0.621,9.16,7.277,275.129,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no,aid0006,73.65,30.4778,0.4138194161575016
US-A03,2015,6,-18.133,30.896,11.722,25.322,19.174,AL,tundra,15.0,low med,med,1.22,0.621,9.16,7.277,275.129,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no,aid0008,76.3,30.6,0.4010484927916121
US-A03,2015,6,-18.133,30.896,11.722,25.322,19.174,AL,tundra,15.0,low med,med,1.22,0.621,9.16,7.277,275.129,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no,aid0009,74.98,30.840000000000003,0.4113096825820219
US-A03,2015,7,-63.985,110.877,50.695,21.049,60.182,AL,tundra,15.0,low med,med,5.267,0.543,4.498,5.015,211.153,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no,aid0001,58.5235293,43.7941,0.7483161136011666
US-A03,2015,7,-63.985,110.877,50.695,21.049,60.182,AL,tundra,15.0,low med,med,5.267,0.543,4.498,5.015,211.153,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no,aid0002,58.4625,43.306200000000004,0.7407517639512509
US-A03,2015,7,-63.985,110.877,50.695,21.049,60.182,AL,tundra,15.0,low med,med,5.267,0.543,4.498,5.015,211.153,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no,aid0003,58.6823529,42.3529,0.7217314559996111
US-A03,2015,7,-63.985,110.877,50.695,21.049,60.182,AL,tundra,15.0,low med,med,5.267,0.543,4.498,5.015,211.153,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no,aid0004,60.3,41.12,0.6819237147595356
US-A03,2015,7,-63.985,110.877,50.695,21.049,60.182,AL,tundra,15.0,low med,med,5.267,0.543,4.498,5.015,211.153,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no,aid0005,60.3538462,40.030699999999996,0.6632667596253377
US-A03,2015,7,-63.985,110.877,50.695,21.049,60.182,AL,tundra,15.0,low med,med,5.267,0.543,4.498,5.015,211.153,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no,aid0006,60.05,38.6389,0.6434454621149043
US-A03,2015,7,-63.985,110.877,50.695,21.049,60.182,AL,tundra,15.0,low med,med,5.267,0.543,4.498,5.015,211.153,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no,aid0008,62.9,33.8,0.5373608903020667
US-A03,2015,7,-63.985,110.877,50.695,21.049,60.182,AL,tundra,15.0,low med,med,5.267,0.543,4.498,5.015,211.153,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no,aid0009,61.9,36.120000000000005,0.5835218093699516
US-A03,2015,8,-6.841,20.672,18.148,10.352,2.525,AL,tundra,15.0,low med,med,1.997,0.122,5.45,5.449,117.427,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no,aid0001,21.0705882,18.6529,0.8852576787581089
US-A03,2015,8,-6.841,20.672,18.148,10.352,2.525,AL,tundra,15.0,low med,med,1.997,0.122,5.45,5.449,117.427,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no,aid0002,21.11875,16.5626,0.7842604320804972
US-A03,2015,8,-6.841,20.672,18.148,10.352,2.525,AL,tundra,15.0,low med,med,1.997,0.122,5.45,5.449,117.427,47.867,164.41,227.738,70.495,-149.882,Barren Sparse Vegetation,Barren Sparse Vegetation,no,aid0003,21.1235294,16.2117,0.7674711783723037
