site_name,Year,month,salinity
US-EKH,1995,6,33.86071428571429
US-EKH,1995,7,34.4691527878349
US-EKH,1995,8,34.430385220125785
US-EKH,1996,5,32.734280879864635
US-EKH,1996,6,35.12091003820771
US-EKH,1996,7,36.639952248308795
US-EKH,1996,8,34.54473949579832
US-EKH,1997,5,28.122357311719014
US-EKH,1997,6,32.31141856392294
US-EKH,1997,7,32.689928789420144
US-EKH,1997,8,33.81623815967524
US-EKH,1998,5,31.12949494949495
US-EKH,1998,6,35.73184668989547
US-EKH,1998,7,31.672379032258064
US-EKH,1998,8,31.706562922868745
US-EKH,1999,5,33.92634408602151
US-EKH,1999,6,33.64805755395684
US-EKH,1999,7,34.42733333333333
US-EKH,1999,8,34.04825268817204
US-EKH,2000,5,33.690909090909095
US-EKH,2000,6,35.356335282651074
US-EKH,2000,7,35.16598150051387
US-EKH,2000,8,34.988896599583626
US-EKH,2001,5,34.23110667996012
US-EKH,2001,6,36.91820359281437
US-EKH,2001,7,35.594109772423025
US-EKH,2001,8,35.01939393939394
US-EKH,2002,5,34.758097165991906
US-EKH,2002,6,34.80571030640669
US-EKH,2002,7,36.69171428571428
US-EKH,2002,8,34.50529986052999
US-EKH,2003,5,31.868145161290325
US-EKH,2003,6,33.762430555555554
US-EKH,2003,7,35.45228494623656
US-EKH,2003,8,35.21626344086022
US-EKH,2004,5,36.047782258064515
US-EKH,2004,6,35.67611111111111
US-EKH,2004,7,35.07049731182796
US-EKH,2004,8,34.950537634408605
US-EKH,2005,5,33.58662634408602
US-EKH,2005,6,35.176319444444445
US-EKH,2005,7,33.98602150537634
US-EKH,2005,8,33.176933422999326
US-EKH,2006,5,32.17399193548387
US-EKH,2006,6,35.808749999999996
US-EKH,2006,7,37.406182795698925
US-EKH,2006,8,35.47379032258065
US-EKH,2007,5,33.866565860215054
US-EKH,2007,6,35.24190972222222
US-EKH,2007,7,34.84335664335664
US-EKH,2007,8,32.535633270321355
US-EKH,2008,5,32.112007874015745
US-EKH,2008,6,35.23972222222222
US-EKH,2008,7,33.25015873015873
US-EKH,2008,8,33.28602150537634
US-EKH,2009,5,35.1720310391363
US-EKH,2009,6,35.318958333333335
US-EKH,2009,7,36.323511566173686
US-EKH,2009,8,
US-EKH,2010,5,34.864270462633456
US-EKH,2010,6,36.65386656557998
US-EKH,2010,7,34.3251857968621
US-EKH,2010,8,34.292739495798315
US-EKH,2011,5,33.51223940820444
US-EKH,2011,6,34.49357092941999
US-EKH,2011,7,34.970934139784944
US-EKH,2011,8,35.570511096166776
US-EKH,2012,5,36.61208333333333
US-EKH,2012,6,35.21399791594304
US-EKH,2012,7,34.68219086021505
US-EKH,2012,8,35.30770265724857
US-EKH,2013,5,35.02970338983051
US-EKH,2013,6,34.81444573194284
US-EKH,2013,7,36.083249243188696
US-EKH,2013,8,35.320679117147705
US-EKH,2014,5,36.12342069892473
US-EKH,2014,6,35.74125
US-EKH,2014,7,34.78894489247312
US-EKH,2014,8,34.06831483350152
US-EKH,2015,5,35.54822429906542
US-EKH,2015,6,34.4625
US-EKH,2015,7,34.457820383451065
US-EKH,2015,8,32.826915322580646
US-EKH,2016,5,34.079032258064515
US-EKH,2016,6,35.232013888888886
US-EKH,2016,7,34.17436155913978
US-EKH,2016,8,32.73652553763441
US-EKH,2017,5,33.72426890756302
US-EKH,2017,6,36.03782563390066
US-EKH,2017,7,35.47856182795699
US-EKH,2017,8,35.59747983870968
US-EKH,2018,5,35.72056567593481
US-EKH,2018,6,35.40189910979228
US-EKH,2018,7,35.49295343137255
US-EKH,2018,8,35.343265993265994
US-EKH,2019,5,32.82429435483871
US-EKH,2019,6,33.10156739811912
US-EKH,2019,7,34.07815860215054
US-EKH,2019,8,34.900681492109044
US-EKH,2020,5,33.04087394957983
US-EKH,2020,6,31.015443037974688
US-EKH,2020,7,33.860470588235295
US-EKH,2020,8,34.75035294117647
US-EKH,2021,5,33.55730145175064
US-EKH,2021,6,35.20684027777778
US-EKH,2021,7,34.581922043010756
US-EKH,2021,8,35.039112903225806
US-EKH,2022,5,37.15730537586438
US-EKH,2022,6,36.91899305555555
US-EKH,2022,7,35.9594216078574
US-EKH,2022,8,35.42990261600153
US-EKH,2023,5,30.393188918975216
US-EKH,2023,6,31.860600798749786
US-EKH,2023,7,30.716694687289845
US-EKH,2023,8,34.84144537815126
US-EKH,2024,5,32.74443697478991
US-EKH,2024,6,35.17775460549183
US-EKH,2024,7,35.26124369747899
US-EKH,2024,8,34.73363575268817
US-EvM,1992,5,37.935483870967744
US-EvM,1992,6,30.566666666666666
US-EvM,1992,7,12.790322580645162
US-EvM,1992,8,20.161290322580644
US-EvM,1993,5,31.387096774193548
US-EvM,1993,6,25.633333333333333
US-EvM,1993,7,28.096774193548388
US-EvM,1993,8,29.451612903225808
US-EvM,1994,5,21.258064516129032
US-EvM,1994,6,24.566666666666666
US-EvM,1994,7,28.096774193548388
US-EvM,1994,8,26.258064516129032
US-EvM,1995,5,26.032258064516128
US-EvM,1995,6,26.142857142857142
US-EvM,1995,7,17.5
US-EvM,1995,8,15.316129032258065
US-EvM,1996,5,30.70967741935484
US-EvM,1996,6,26.2
US-EvM,1996,7,20.5
US-EvM,1996,8,22.93548387096774
US-EvM,1997,5,34.903225806451616
US-EvM,1997,6,24.333333333333332
US-EvM,1997,7,19.47741935483871
US-EvM,1997,8,21.419354838709676
US-EvM,1998,5,27.032258064516128
US-EvM,1998,6,27.666666666666668
US-EvM,1998,7,28.608695652173914
US-EvM,1998,8,26.73913043478261
US-EvM,1999,5,34.86206896551724
US-EvM,1999,6,29.0
US-EvM,1999,7,23.04
US-EvM,1999,8,27.387096774193548
US-EvM,2000,5,33.29032258064516
US-EvM,2000,6,29.566666666666666
US-EvM,2000,7,30.483870967741936
US-EvM,2000,8,26.483870967741936
US-EvM,2001,5,33.645161290322584
US-EvM,2001,6,35.8
US-EvM,2001,7,31.483870967741936
US-EvM,2001,8,26.967741935483872
US-EvM,2002,5,41.774193548387096
US-EvM,2002,6,38.0
US-EvM,2002,7,15.636363636363637
US-EvM,2002,8,21.193548387096776
US-EvM,2003,5,26.838709677419356
US-EvM,2003,6,23.533333333333335
US-EvM,2003,7,22.413793103448278
US-EvM,2003,8,24.096774193548388
US-EvM,2004,5,35.806451612903224
US-EvM,2004,6,39.833333333333336
US-EvM,2004,7,40.74193548387097
US-EvM,2004,8,35.724137931034484
US-EvM,2005,5,39.193548387096776
US-EvM,2005,6,30.466666666666665
US-EvM,2005,7,24.741935483870968
US-EvM,2005,8,25.274193548387096
US-EvM,2006,5,36.74193548387097
US-EvM,2006,6,35.8
US-EvM,2006,7,28.129032258064516
US-EvM,2006,8,26.580645161290324
US-EvM,2007,5,35.45161290322581
US-EvM,2007,6,30.833333333333332
US-EvM,2007,7,23.64516129032258
US-EvM,2007,8,25.838709677419356
US-EvM,2008,5,38.064516129032256
US-EvM,2008,6,35.93333333333333
US-EvM,2008,7,31.129032258064516
US-EvM,2008,8,30.129032258064516
US-EvM,2009,5,
US-EvM,2009,6,
US-EvM,2009,7,28.32
US-EvM,2009,8,26.322580645161292
US-EvM,2010,5,28.956521739130434
US-EvM,2010,6,30.22222222222222
US-EvM,2010,7,29.7
US-EvM,2010,8,29.677419354838708
US-EvM,2011,5,38.12903225806452
US-EvM,2011,6,41.166666666666664
US-EvM,2011,7,34.096774193548384
US-EvM,2011,8,36.61290322580645
US-EvM,2012,5,22.903225806451612
US-EvM,2012,6,22.333333333333332
US-EvM,2012,7,15.03225806451613
US-EvM,2012,8,16.04193548387097
US-EvM,2013,5,35.61290322580645
US-EvM,2013,6,25.066666666666666
US-EvM,2013,7,25.0
US-EvM,2013,8,23.68
US-EvM,2014,5,38.096774193548384
US-EvM,2014,6,40.73076923076923
US-EvM,2014,7,40.875
US-EvM,2014,8,32.791666666666664
US-EvM,2015,5,33.29032258064516
US-EvM,2015,6,36.266666666666666
US-EvM,2015,7,40.70967741935484
US-EvM,2015,8,42.61290322580645
US-EvM,2016,5,
US-EvM,2016,6,
US-EvM,2016,7,
US-EvM,2016,8,
US-EvM,2017,5,38.354838709677416
US-EvM,2017,6,30.566666666666666
US-EvM,2017,7,27.35483870967742
US-EvM,2017,8,27.071428571428573
US-EvM,2018,5,34.03225806451613
US-EvM,2018,6,27.366666666666667
US-EvM,2018,7,26.483870967741936
US-EvM,2018,8,24.70967741935484
US-EvM,2019,5,40.83870967741935
US-EvM,2019,6,36.8
US-EvM,2019,7,34.0
US-EvM,2019,8,35.32258064516129
US-EvM,2020,5,38.03225806451613
US-EvM,2020,6,27.433333333333334
US-EvM,2020,7,27.193548387096776
US-EvM,2020,8,25.64516129032258
US-EvM,2021,5,33.25806451612903
US-EvM,2021,6,36.266666666666666
US-EvM,2021,7,35.096774193548384
US-EvM,2021,8,30.387096774193548
US-EvM,2022,5,36.87096774193548
US-EvM,2022,6,23.866666666666667
US-EvM,2022,7,22.677419354838708
US-EvM,2022,8,28.483870967741936
US-EvM,2023,5,32.87096774193548
US-EvM,2023,6,29.033333333333335
US-EvM,2023,7,26.032258064516128
US-EvM,2023,8,24.29032258064516
US-HB1,1996,5,31.636363636363637
US-HB1,1996,6,30.5
