"site_name","year","avg_DER_sos","avg_DER_eos","avg_TRS_sos","avg_TRS_eos","avg_length","avg_sos","avg_eos"
"US-A03",2015,175,216.8,166.6,237.8,41.8,170.8,227.3
"US-A03",2016,180,217.8,159.2,237,37.8,169.6,227.4
"US-A03",2017,158,222,154.8,178.8,64,156.4,200.4
"US-A03",2018,192.4,229.8,186.4,237.2,37.4,189.4,233.5
"US-A03",2019,146.2,228.2,138.6,224.2,82,142.4,226.2
"US-A03",2020,163.6,253.2,151,258.8,89.6,157.3,256
"US-A10",2012,187.8,244,158,254.8,56.2,172.9,249.4
"US-A10",2013,188.8,243.8,165.6,237.8,55,177.2,240.8
"US-A10",2014,177.6,238.2,169.8,245,60.6,173.7,241.6
"US-A10",2015,170.2,227.8,168,241,57.6,169.1,234.4
"US-A10",2016,179,225.2,173.8,241.6,46.2,176.4,233.4
"US-A10",2017,96,239.8,73,262.4,143.8,84.5,251.1
"US-A10",2018,195.4,244.4,189.4,261.8,49,192.4,253.1
"US-A10",2019,138,233.6,101.8,249.8,95.6,119.9,241.7
"US-A10",2020,178,250.8,170.6,266,72.8,174.3,258.4
"US-Atq",1999,94.8,231.4,70.2,256,136.6,82.5,243.7
"US-Atq",2000,96.2,235.8,70.2,259.8,139.6,83.2,247.8
"US-Atq",2001,92.2,217,65.6,250.8,124.8,78.9,233.9
"US-Atq",2002,93,235.2,68.8,263,142.2,80.9,249.1
"US-Atq",2004,188.4,240.8,184,222.4,52.4,186.2,231.6
"US-Atq",2005,173.1,206.4,165,208.4,33.3,169.05,207.4
"US-Atq",2006,186.7,231.7,182.1,230.4,45,184.4,231.05
"US-Dmg",2021,39,290.6,26.4,308.8,251.6,32.7,299.7
"US-Dmg",2022,120.2,267,104.4,287.6,146.8,112.3,277.3
"US-Dmg",2023,137.4,280.6,111.4,298.4,143.2,124.4,289.5
"US-Dmg",2024,127.8,253.2,106.8,253.8,125.4,117.3,253.5
