year,coast_region,mean_EDI,mean_SPEI3,pct_None,pct_Watch,pct_Stress,pct_Impact
2000,AK Coast,0.5392,0.1201,0.0,2.31,97.69,0.0
2000,Pacific Coast,0.5366,0.0116,0.0,3.36,96.64,0.0
2000,Gulf Coast,0.537,0.0288,0.0,3.07,96.93,0.0
2000,Atlantic Coast,0.5201,-0.6609,0.0,16.51,83.49,0.0
2001,AK Coast,0.5387,0.1008,0.0,7.02,92.98,0.0
2001,Pacific Coast,0.5296,-0.2748,0.0,19.9,80.1,0.0
2001,Gulf Coast,0.545,0.3546,0.0,0.0,100.0,0.0
2001,Atlantic Coast,0.5267,-0.3906,0.0,15.57,84.43,0.0
2002,AK Coast,0.534,-0.095,0.0,8.31,91.69,0.0
2002,Pacific Coast,0.5246,-0.4783,0.0,15.02,84.98,0.0
2002,Gulf Coast,0.5299,-0.2619,0.0,4.09,95.91,0.0
2002,Atlantic Coast,0.5327,-0.1474,0.0,9.47,90.53,0.0
2003,AK Coast,0.5366,0.0099,0.0,3.87,96.13,0.0
2003,Pacific Coast,0.5347,-0.0647,0.0,6.65,93.34,0.0
2003,Gulf Coast,0.5447,0.3416,0.0,0.0,100.0,0.0
2003,Atlantic Coast,0.5497,0.5465,0.0,0.29,99.71,0.0
2004,AK Coast,0.5357,-0.0234,0.0,8.02,91.98,0.0
2004,Pacific Coast,0.5316,-0.1906,0.0,7.8,92.2,0.0
2004,Gulf Coast,0.5376,0.0577,0.0,4.39,95.61,0.0
2004,Atlantic Coast,0.5366,0.013,0.0,5.03,94.97,0.0
2005,AK Coast,0.5375,0.0465,0.0,2.36,97.64,0.0
2005,Pacific Coast,0.5386,0.094,0.0,3.92,96.08,0.0
2005,Gulf Coast,0.553,0.6833,0.0,0.0,100.0,0.0
2005,Atlantic Coast,0.5399,0.1487,0.0,5.12,94.88,0.0
2006,AK Coast,0.5428,0.2642,0.0,2.56,97.44,0.0
2006,Pacific Coast,0.5375,0.0496,0.0,6.51,93.49,0.0
