year,month,coast_region,n_pixels,mean_SPEI3,mean_EDI,pct_None,pct_Watch,pct_Stress,pct_Impact
2000,1,AK Coast,1904,0.0427,0.5374,0.0,1.47,98.53,0.0
2000,1,Pacific Coast,283,0.2392,0.5422,0.0,0.0,100.0,0.0
2000,1,Gulf Coast,57,-1.2966,0.5045,0.0,31.58,68.42,0.0
2000,1,Atlantic Coast,835,-1.0385,0.5109,0.0,27.9,72.1,0.0
2000,2,AK Coast,1904,0.4478,0.5472,0.0,0.0,100.0,0.0
2000,2,Pacific Coast,283,0.3755,0.5455,0.0,0.0,100.0,0.0
2000,2,Gulf Coast,57,-0.2878,0.5293,0.0,0.0,100.0,0.0
2000,2,Atlantic Coast,835,-1.1709,0.5076,0.0,24.43,75.57,0.0
2000,3,AK Coast,1904,0.617,0.5514,0.0,0.21,99.79,0.0
2000,3,Pacific Coast,283,0.2322,0.542,0.0,0.0,100.0,0.0
2000,3,Gulf Coast,57,0.2134,0.5416,0.0,0.0,100.0,0.0
2000,3,Atlantic Coast,835,-0.8045,0.5166,0.0,16.65,83.35,0.0
2000,4,AK Coast,1904,0.0701,0.538,0.0,0.47,99.53,0.0
2000,4,Pacific Coast,283,-0.0694,0.5346,0.0,0.0,100.0,0.0
2000,4,Gulf Coast,57,0.668,0.5527,0.0,0.0,100.0,0.0
2000,4,Atlantic Coast,835,-0.6382,0.5207,0.0,14.13,85.87,0.0
2000,5,AK Coast,1904,-0.1894,0.5317,0.0,1.26,98.74,0.0
2000,5,Pacific Coast,283,-0.3258,0.5284,0.0,0.0,100.0,0.0
2000,5,Gulf Coast,57,0.2507,0.5425,0.0,0.0,100.0,0.0
2000,5,Atlantic Coast,835,-0.5023,0.524,0.0,10.42,89.58,0.0
2000,6,AK Coast,1904,-0.4081,0.5263,0.0,3.57,96.43,0.0
2000,6,Pacific Coast,283,0.2173,0.5417,0.0,0.35,99.65,0.0
2000,6,Gulf Coast,57,0.1158,0.5392,0.0,0.0,100.0,0.0
2000,6,Atlantic Coast,835,-0.4124,0.5262,0.0,5.51,94.49,0.0
2000,7,AK Coast,1904,0.1005,0.5388,0.0,0.26,99.74,0.0
2000,7,Pacific Coast,283,0.6335,0.5518,0.0,0.0,100.0,0.0
2000,7,Gulf Coast,57,-0.8747,0.5149,0.0,5.26,94.74,0.0
2000,7,Atlantic Coast,835,-0.5697,0.5223,0.0,15.45,84.55,0.0
2000,8,AK Coast,1904,0.2431,0.5423,0.0,0.42,99.58,0.0
2000,8,Pacific Coast,283,0.2136,0.5416,0.0,0.0,100.0,0.0
2000,8,Gulf Coast,57,-0.3665,0.5274,0.0,0.0,100.0,0.0
2000,8,Atlantic Coast,835,-0.5676,0.5224,0.0,17.49,82.51,0.0
2000,9,AK Coast,1904,0.0785,0.5382,0.0,11.4,88.6,0.0
2000,9,Pacific Coast,283,0.3334,0.5445,0.0,0.0,100.0,0.0
2000,9,Gulf Coast,57,0.2477,0.5424,0.0,0.0,100.0,0.0
2000,9,Atlantic Coast,835,-0.38,0.527,0.0,24.55,75.45,0.0
2000,10,AK Coast,1904,-0.0823,0.5343,0.0,7.83,92.17,0.0
2000,10,Pacific Coast,283,0.273,0.543,0.0,0.0,100.0,0.0
2000,10,Gulf Coast,57,1.3281,0.5687,0.0,0.0,100.0,0.0
2000,10,Atlantic Coast,835,-0.7914,0.5169,0.0,17.37,82.63,0.0
2000,11,AK Coast,1904,0.2712,0.543,0.0,0.0,100.0,0.0
2000,11,Pacific Coast,283,-0.6308,0.5208,0.0,8.48,91.52,0.0
2000,11,Gulf Coast,57,0.7339,0.5543,0.0,0.0,100.0,0.0
2000,11,Atlantic Coast,835,-0.3678,0.5273,0.0,3.23,96.77,0.0
2000,12,AK Coast,1904,0.2499,0.5424,0.0,0.79,99.21,0.0
2000,12,Pacific Coast,283,-1.352,0.5033,0.0,31.45,68.55,0.0
