year,coast_region,event_threshold_pct,annual_mean_negative_impacted_area_pct,annual_mean_positive_impacted_area_pct,annual_mean_any_impacted_area_pct,annual_mean_net_positive_minus_negative_pct,annual_mean_dry_area_pct,dry_negative_impacted_area_pct,dry_positive_impacted_area_pct
2000,AK Coast,5.0,0.0,20.47,20.47,20.47,7.62,0.0,0.0
2000,Pacific Coast,5.0,0.0,0.0,0.0,0.0,11.72,0.0,0.0
2000,Gulf Coast,5.0,52.34,37.43,89.77000000000001,-14.910000000000004,10.09,0.0,100.0
2000,Atlantic Coast,5.0,0.0,0.0,0.0,0.0,38.3,0.0,0.0
2001,AK Coast,5.0,0.0,24.26,24.26,24.26,16.83,0.0,0.0
2001,Pacific Coast,5.0,0.0,0.0,0.0,0.0,28.36,0.0,0.0
2001,Gulf Coast,5.0,69.88,15.5,85.38,-54.379999999999995,0.44,0.0,100.0
2001,Atlantic Coast,5.0,0.0,0.0,0.0,0.0,25.87,0.0,0.0
2002,AK Coast,5.0,0.0,18.74,18.74,18.74,20.07,0.0,0.0
2002,Pacific Coast,5.0,0.0,0.0,0.0,0.0,31.62,0.0,0.0
2002,Gulf Coast,5.0,42.54,47.08,89.62,4.539999999999999,24.71,0.0,100.0
2002,Atlantic Coast,5.0,0.0,0.0,0.0,0.0,20.77,0.0,0.0
2003,AK Coast,5.0,0.0,15.47,15.47,15.47,11.72,0.0,0.0
2003,Pacific Coast,5.0,0.0,0.0,0.0,0.0,16.46,0.0,0.0
2003,Gulf Coast,5.0,56.29,24.12,80.41,-32.17,0.88,0.0,100.0
2003,Atlantic Coast,5.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0
2004,AK Coast,5.0,0.0,20.64,20.64,20.64,18.47,0.0,0.0
2004,Pacific Coast,5.0,0.0,0.0,0.0,0.0,21.23,0.0,0.0
2004,Gulf Coast,5.0,8.62,82.31,90.93,73.69,20.18,0.0,99.61
2004,Atlantic Coast,5.0,0.0,0.0,0.0,0.0,13.6,0.0,0.0
2005,AK Coast,5.0,0.0,15.0,15.0,15.0,9.17,0.0,0.0
2005,Pacific Coast,5.0,0.0,0.0,0.0,0.0,15.08,0.0,0.0
2005,Gulf Coast,5.0,60.96,28.36,89.32,-32.6,2.48,0.0,100.0
2005,Atlantic Coast,5.0,0.0,0.0,0.0,0.0,12.06,0.0,0.0
2006,AK Coast,5.0,0.0,27.32,27.32,27.32,7.96,0.0,0.0
2006,Pacific Coast,5.0,0.0,0.0,0.0,0.0,17.31,0.0,0.0
2006,Gulf Coast,5.0,29.39,58.04,87.43,28.65,15.79,0.0,100.0
2006,Atlantic Coast,5.0,0.0,0.0,0.0,0.0,38.21,0.0,0.0
2007,AK Coast,5.0,0.0,11.76,11.76,11.76,29.15,0.0,0.0
2007,Pacific Coast,5.0,0.0,0.0,0.0,0.0,12.63,0.0,0.0
2007,Gulf Coast,5.0,17.54,77.63,95.16999999999999,60.089999999999996,40.79,0.69,98.61
2007,Atlantic Coast,5.0,0.0,0.0,0.0,0.0,32.31,0.0,0.0
2008,AK Coast,5.0,0.0,20.86,20.86,20.86,14.84,0.0,0.0
2008,Pacific Coast,5.0,0.0,0.0,0.0,0.0,24.47,0.0,0.0
2008,Gulf Coast,5.0,31.87,63.89,95.76,32.019999999999996,46.93,0.66,98.9
