year,coast_region,mean_SPEI3,upland_mean_WUE_T_pct_change,upland_mean_abs_WUE_T_pct_change,upland_mean_lower_pct_change,upland_mean_upper_pct_change,upland_mean_prediction_interval_width,pct_pixels_decrease,pct_pixels_increase,pct_pixels_strong_decrease,pct_pixels_strong_increase,pct_pixels_robust_strong_response,pct_pixels_possible_strong_response,dry_pct_pixels,dry_mean_WUE_T_pct_change,dry_mean_abs_WUE_T_pct_change,dry_pct_pixels_decrease,dry_pct_pixels_increase,dry_pct_pixels_strong_decrease,dry_pct_pixels_strong_increase
2000,AK Coast,0.1201,1.1756,3.5582,-27.6459,29.9972,57.6431,48.93,51.07,0.0,20.47,0.0,100.0,7.62,-3.462,3.462,100.0,0.0,0.0,0.0
2000,Pacific Coast,0.0116,0.0373,0.9386,-31.5263,31.601,63.1272,59.6,40.4,0.0,0.0,0.0,100.0,11.72,2.4311,2.4311,0.0,100.0,0.0,0.0
2000,Gulf Coast,0.0288,1.2784,21.6482,-31.2922,33.849,65.1412,56.87,43.13,52.34,37.43,15.93,100.0,10.09,48.8685,48.8685,0.0,100.0,0.0,100.0
2000,Atlantic Coast,-0.6609,1.2253,1.7631,-28.0812,30.5317,58.6128,22.78,77.22,0.0,0.0,0.0,100.0,38.3,2.6669,2.6669,0.0,100.0,0.0,0.0
2001,AK Coast,0.1008,1.6442,4.1552,-27.3161,30.6044,57.9205,48.14,51.86,0.0,24.26,0.0,100.0,16.83,-3.3273,3.3273,100.0,0.0,0.0,0.0
2001,Pacific Coast,-0.2748,0.5624,1.3891,-31.0454,32.1702,63.2156,50.35,49.65,0.0,0.0,0.0,100.0,28.36,2.8339,2.8339,0.0,100.0,0.0,0.0
2001,Gulf Coast,0.3546,-10.5955,16.8557,-42.9487,21.7578,64.7065,78.36,21.64,69.88,15.5,1.61,100.0,0.44,53.5867,53.5867,0.0,100.0,0.0,100.0
2001,Atlantic Coast,-0.3906,0.6198,1.5403,-28.6809,29.9205,58.6015,37.48,62.53,0.0,0.0,0.0,100.0,25.87,2.61,2.61,0.0,100.0,0.0,0.0
2002,AK Coast,-0.095,0.71,3.8032,-28.2921,29.7121,58.0042,55.85,44.15,0.0,18.74,0.0,100.0,20.07,-3.3591,3.3591,100.0,0.0,0.0,0.0
2002,Pacific Coast,-0.4783,0.8535,1.3901,-30.744,32.451,63.1951,34.3,65.7,0.0,0.0,0.0,100.0,31.62,2.49,2.49,0.0,100.0,0.0,0.0
2002,Gulf Coast,-0.2619,9.9257,26.1969,-22.7522,42.6036,65.3558,46.93,53.07,42.54,47.08,28.51,100.0,24.71,51.0341,51.0341,0.0,100.0,0.0,100.0
2002,Atlantic Coast,-0.1474,0.2074,1.6273,-29.0901,29.505,58.595,44.05,55.95,0.0,0.0,0.0,100.0,20.77,2.6506,2.6506,0.0,100.0,0.0,0.0
2003,AK Coast,0.0099,0.6975,3.278,-28.1549,29.5498,57.7047,50.8,49.2,0.0,15.47,0.0,100.0,11.72,-3.341,3.341,100.0,0.0,0.0,0.0
2003,Pacific Coast,-0.0647,0.202,1.1173,-31.3768,31.7808,63.1576,54.36,45.64,0.0,0.0,0.0,100.0,16.46,2.4085,2.4085,0.0,100.0,0.0,0.0
2003,Gulf Coast,0.3416,-4.9555,14.8094,-37.5866,27.6756,65.2622,65.94,34.06,56.29,24.12,3.8,100.0,0.88,53.208,53.208,0.0,100.0,0.0,100.0
2003,Atlantic Coast,0.5465,-1.1732,1.6861,-30.459,28.1126,58.5716,74.53,25.47,0.0,0.0,0.0,100.0,1.9,2.4583,2.4583,0.0,100.0,0.0,0.0
2004,AK Coast,-0.0234,0.9737,3.6508,-27.9787,29.9261,57.9048,50.77,49.23,0.0,20.64,0.0,100.0,18.47,-3.2842,3.2842,100.0,0.0,0.0,0.0
2004,Pacific Coast,-0.1906,0.4923,1.2099,-31.1033,32.0878,63.1911,41.2,58.8,0.0,0.0,0.0,100.0,21.23,2.2891,2.2891,0.0,100.0,0.0,0.0
2004,Gulf Coast,0.0577,24.5117,26.8881,-11.4088,60.4322,71.841,13.3,86.7,8.62,82.31,28.51,100.0,20.18,50.0923,50.128,0.39,99.61,0.0,99.61
2004,Atlantic Coast,0.013,-0.0863,1.5175,-29.3619,29.1894,58.5512,50.59,49.41,0.0,0.0,0.0,100.0,13.6,2.5925,2.5925,0.0,100.0,0.0,0.0
2005,AK Coast,0.0465,0.7178,3.158,-28.0949,29.5305,57.6254,50.27,49.73,0.0,15.0,0.0,100.0,9.17,-3.4163,3.4163,100.0,0.0,0.0,0.0
2005,Pacific Coast,0.094,0.075,1.0679,-31.5126,31.6626,63.1752,55.3,44.7,0.0,0.0,0.0,100.0,15.08,2.5959,2.5959,0.0,100.0,0.0,0.0
2005,Gulf Coast,0.6833,-6.3354,18.0643,-40.1475,27.4767,67.6241,65.94,34.06,60.96,28.36,3.22,100.0,2.48,53.4091,53.4091,0.0,100.0,0.0,100.0
2005,Atlantic Coast,0.1487,-0.3631,1.6302,-29.6535,28.9274,58.5809,56.7,43.3,0.0,0.0,0.0,100.0,12.06,2.5781,2.5781,0.0,100.0,0.0,0.0
2006,AK Coast,0.2642,2.1052,4.0919,-26.7312,30.9415,57.6726,40.62,59.38,0.0,27.32,0.0,100.0,7.96,-3.4371,3.4371,100.0,0.0,0.0,0.0
2006,Pacific Coast,0.0496,0.1464,1.2187,-31.4481,31.7409,63.189,53.06,46.94,0.0,0.0,0.0,100.0,17.31,2.4498,2.4498,0.0,100.0,0.0,0.0
2006,Gulf Coast,-0.1231,15.3916,25.278,-17.6834,48.4666,66.15,36.26,63.74,29.39,58.04,30.56,100.0,15.79,51.9001,51.9001,0.0,100.0,0.0,100.0
2006,Atlantic Coast,-0.5195,0.8589,1.8842,-28.4796,30.1974,58.6771,32.29,67.7,0.0,0.0,0.0,100.0,38.21,2.7128,2.7128,0.0,100.0,0.0,0.0
2007,AK Coast,-0.434,-0.4739,3.244,-29.6522,28.7043,58.3565,69.69,30.31,0.0,11.76,0.0,100.0,29.15,-3.1204,3.1204,100.0,0.0,0.0,0.0
2007,Pacific Coast,-0.0921,0.2164,0.9955,-31.3482,31.781,63.1292,49.74,50.26,0.0,0.0,0.0,100.0,12.63,2.1861,2.1861,0.0,100.0,0.0,0.0
2007,Gulf Coast,-0.7412,31.156,37.7174,-2.0626,64.3746,66.4372,20.76,79.24,17.54,77.63,61.7,100.0,40.79,50.9917,51.3337,1.16,98.84,0.69,98.61
2007,Atlantic Coast,-0.5298,0.9341,1.7462,-28.3793,30.2474,58.6267,26.91,73.09,0.0,0.0,0.0,100.0,32.31,2.6749,2.6749,0.0,100.0,0.0,0.0
2008,AK Coast,0.0785,1.4953,3.6274,-27.4426,30.4332,57.8758,41.08,58.92,0.0,20.86,0.0,100.0,14.84,-2.9081,2.9081,100.0,0.0,0.0,0.0
