year,month,coast_region,n_pixels,mean_SPEI3,upland_mean_WUE_T_pct_change,upland_mean_abs_WUE_T_pct_change,upland_mean_lower_pct_change,upland_mean_upper_pct_change,upland_mean_prediction_interval_width,pct_pixels_decrease,pct_pixels_increase,pct_pixels_strong_decrease,pct_pixels_strong_increase,pct_pixels_robust_strong_response,pct_pixels_possible_strong_response,dry_n_pixels,dry_pct_pixels,dry_mean_WUE_T_pct_change,dry_mean_abs_WUE_T_pct_change,dry_pct_pixels_decrease,dry_pct_pixels_increase,dry_pct_pixels_strong_decrease,dry_pct_pixels_strong_increase
2000,1,AK Coast,1904,0.0427,0.779,3.6556,-28.0461,29.6042,57.6503,55.67,44.33,0.0,18.86,0.0,100.0,115,6.04,-3.4512,3.4512,100.0,0.0,0.0,0.0
2000,1,Pacific Coast,283,0.2392,-0.3512,0.8184,-31.8992,31.1968,63.0961,69.26,30.74,0.0,0.0,0.0,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2000,1,Gulf Coast,57,-1.2966,47.1925,47.1925,13.5038,80.8811,67.3773,0.0,100.0,0.0,100.0,89.47,100.0,48,84.21,47.568,47.568,0.0,100.0,0.0,100.0
2000,1,Atlantic Coast,835,-1.0385,1.9101,1.9172,-27.4364,31.2566,58.693,2.28,97.72,0.0,0.0,0.0,100.0,407,48.74,2.7278,2.7278,0.0,100.0,0.0,0.0
2000,2,AK Coast,1904,0.4478,2.7885,4.4335,-25.9912,31.5682,57.5594,33.25,66.75,0.0,31.51,0.0,100.0,14,0.74,-3.7186,3.7186,100.0,0.0,0.0,0.0
2000,2,Pacific Coast,283,0.3755,-0.6624,0.6699,-32.1963,30.8715,63.0678,97.88,2.12,0.0,0.0,0.0,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2000,2,Gulf Coast,57,-0.2878,5.6103,15.012,-26.737,37.9577,64.6947,42.11,57.89,33.33,50.88,1.75,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2000,2,Atlantic Coast,835,-1.1709,2.1805,2.1815,-27.1697,31.5306,58.7004,0.36,99.64,0.0,0.0,0.0,100.0,478,57.25,2.6867,2.6867,0.0,100.0,0.0,0.0
2000,3,AK Coast,1904,0.617,3.7397,4.3469,-24.9921,32.4716,57.4637,16.44,83.56,0.0,34.66,0.0,100.0,11,0.58,-3.3145,3.3145,100.0,0.0,0.0,0.0
2000,3,Pacific Coast,283,0.2322,-0.3513,0.8366,-31.8977,31.1952,63.0929,67.14,32.86,0.0,0.0,0.0,100.0,2,0.71,1.9869,1.9869,0.0,100.0,0.0,0.0
2000,3,Gulf Coast,57,0.2134,-19.6405,19.6405,-51.7322,12.4511,64.1833,100.0,0.0,96.49,0.0,0.0,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2000,3,Atlantic Coast,835,-0.8045,1.575,1.7204,-27.7223,30.8724,58.5946,8.5,91.5,0.0,0.0,0.0,100.0,272,32.57,2.6973,2.6973,0.0,100.0,0.0,0.0
2000,4,AK Coast,1904,0.0701,0.7443,3.3259,-28.0472,29.5357,57.583,51.58,48.42,0.0,13.66,0.0,100.0,111,5.83,-3.6109,3.6109,100.0,0.0,0.0,0.0
2000,4,Pacific Coast,283,-0.0694,0.1128,0.7986,-31.4327,31.6583,63.091,37.81,62.19,0.0,0.0,0.0,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2000,4,Gulf Coast,57,0.668,-19.3619,19.3619,-51.5523,12.8285,64.3808,100.0,0.0,98.25,0.0,0.0,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2000,4,Atlantic Coast,835,-0.6382,1.2018,1.5234,-28.084,30.4876,58.5716,19.04,80.96,0.0,0.0,0.0,100.0,255,30.54,2.6929,2.6929,0.0,100.0,0.0,0.0
2000,5,AK Coast,1904,-0.1894,-0.5074,3.0113,-29.3548,28.3401,57.6949,72.58,27.42,0.0,13.39,0.0,100.0,275,14.44,-3.5969,3.5969,100.0,0.0,0.0,0.0
2000,5,Pacific Coast,283,-0.3258,0.4725,0.6922,-31.0691,32.0142,63.0833,37.1,62.9,0.0,0.0,0.0,100.0,12,4.24,1.9959,1.9959,0.0,100.0,0.0,0.0
2000,5,Gulf Coast,57,0.2507,-19.1881,19.441,-51.2826,12.9064,64.189,96.49,3.51,91.23,1.75,0.0,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2000,5,Atlantic Coast,835,-0.5023,0.9353,1.6074,-28.3499,30.2205,58.5704,30.54,69.46,0.0,0.0,0.0,100.0,279,33.41,2.6048,2.6048,0.0,100.0,0.0,0.0
2000,6,AK Coast,1904,-0.4081,-1.6793,2.5742,-30.5674,27.2088,57.7761,77.05,22.95,0.0,0.89,0.0,100.0,299,15.7,-3.4667,3.4667,100.0,0.0,0.0,0.0
2000,6,Pacific Coast,283,0.2173,-0.4473,0.516,-31.9827,31.088,63.0707,84.81,15.19,0.0,0.0,0.0,100.0,1,0.35,3.5518,3.5518,0.0,100.0,0.0,0.0
2000,6,Gulf Coast,57,0.1158,-11.1147,16.9845,-43.3147,21.0852,64.3998,77.19,22.81,68.42,15.79,1.75,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2000,6,Atlantic Coast,835,-0.4124,0.8017,1.6369,-28.4797,30.083,58.5627,38.68,61.32,0.0,0.0,0.0,100.0,320,38.32,2.5625,2.5625,0.0,100.0,0.0,0.0
2000,7,AK Coast,1904,0.1005,0.651,2.9082,-28.0773,29.3793,57.4566,50.21,49.79,0.0,15.13,0.0,100.0,33,1.73,-3.463,3.463,100.0,0.0,0.0,0.0
2000,7,Pacific Coast,283,0.6335,-0.8224,0.8595,-32.3913,30.7466,63.1378,94.35,5.65,0.0,0.0,0.0,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2000,7,Gulf Coast,57,-0.8747,38.247,39.8279,5.0925,71.4016,66.309,8.77,91.23,7.02,91.23,71.93,100.0,21,36.84,50.1691,50.1691,0.0,100.0,0.0,100.0
2000,7,Atlantic Coast,835,-0.5697,1.0306,1.8383,-28.2796,30.3407,58.6203,29.34,70.66,0.0,0.0,0.0,100.0,318,38.08,2.6686,2.6686,0.0,100.0,0.0,0.0
2000,8,AK Coast,1904,0.2431,1.6721,3.6434,-27.0753,30.4195,57.4948,41.96,58.04,0.0,25.37,0.0,100.0,26,1.37,-3.2391,3.2391,100.0,0.0,0.0,0.0
2000,8,Pacific Coast,283,0.2136,-0.3857,0.6362,-31.923,31.1515,63.0745,75.27,24.73,0.0,0.0,0.0,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2000,8,Gulf Coast,57,-0.3665,13.9855,25.1572,-18.5124,46.4835,64.9959,33.33,66.67,31.58,64.91,24.56,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2000,8,Atlantic Coast,835,-0.5676,0.9916,2.0314,-28.345,30.3282,58.6732,30.18,69.82,0.0,0.0,0.0,100.0,356,42.63,2.6634,2.6634,0.0,100.0,0.0,0.0
