"coast_region","year","annual_mean_SPEI3"
"AK Coast",2000,0.120083333333333
"AK Coast",2001,0.10075
"AK Coast",2002,-0.0949833333333333
"AK Coast",2003,0.00995
"AK Coast",2004,-0.023375
"AK Coast",2005,0.0465416666666667
"AK Coast",2006,0.2642
"AK Coast",2007,-0.433991666666667
"AK Coast",2008,0.078475
"AK Coast",2009,-0.105208333333333
"AK Coast",2010,-0.20975
"AK Coast",2011,0.042725
"AK Coast",2012,0.0934083333333333
"AK Coast",2013,0.258866666666667
"AK Coast",2014,-0.0543166666666667
"AK Coast",2015,0.0373583333333333
"AK Coast",2016,-0.142808333333333
"AK Coast",2017,-0.0552833333333333
"AK Coast",2018,0.215275
"AK Coast",2019,0.233166666666667
"AK Coast",2020,-0.00946666666666666
"AK Coast",2021,0.3235
"AK Coast",2022,0.124725
"AK Coast",2023,0.45395
"AK Coast",2024,0.443975
"AK Coast",2025,0.46555
"Pacific Coast",2000,0.0116416666666667
"Pacific Coast",2001,-0.2748
"Pacific Coast",2002,-0.478266666666667
"Pacific Coast",2003,-0.0647333333333334
"Pacific Coast",2004,-0.190575
"Pacific Coast",2005,0.0939666666666667
"Pacific Coast",2006,0.0496416666666666
"Pacific Coast",2007,-0.0920583333333333
"Pacific Coast",2008,-0.500991666666667
"Pacific Coast",2009,-0.253916666666667
"Pacific Coast",2010,0.53485
"Pacific Coast",2011,0.39565
"Pacific Coast",2012,0.1954
"Pacific Coast",2013,-0.424916666666667
"Pacific Coast",2014,-0.190391666666667
"Pacific Coast",2015,-0.664475
"Pacific Coast",2016,0.373333333333333
"Pacific Coast",2017,0.143808333333333
"Pacific Coast",2018,-0.5739
"Pacific Coast",2019,-0.188916666666667
"Pacific Coast",2020,-0.447633333333333
"Pacific Coast",2021,-0.268641666666667
"Pacific Coast",2022,-0.397058333333333
"Pacific Coast",2023,-0.187866666666667
"Pacific Coast",2024,0.151841666666667
"Pacific Coast",2025,-0.247133333333333
"Gulf Coast",2000,0.0288416666666667
"Gulf Coast",2001,0.354591666666667
"Gulf Coast",2002,-0.261858333333333
"Gulf Coast",2003,0.341608333333333
"Gulf Coast",2004,0.0577499999999999
"Gulf Coast",2005,0.683266666666667
"Gulf Coast",2006,-0.123116666666667
"Gulf Coast",2007,-0.741208333333333
"Gulf Coast",2008,-0.633166666666667
"Gulf Coast",2009,-0.331208333333333
"Gulf Coast",2010,0.654441666666667
"Gulf Coast",2011,0.586983333333333
"Gulf Coast",2012,-0.409758333333333
"Gulf Coast",2013,-0.700133333333333
"Gulf Coast",2014,-0.924866666666667
"Gulf Coast",2015,0.00906666666666662
"Gulf Coast",2016,-0.351308333333333
"Gulf Coast",2017,-0.298116666666667
"Gulf Coast",2018,-0.626508333333333
"Gulf Coast",2019,0.309358333333333
"Gulf Coast",2020,-0.942233333333333
"Gulf Coast",2021,-0.729975
"Gulf Coast",2022,-0.637241666666667
"Gulf Coast",2023,1.29185
"Gulf Coast",2024,-0.336233333333333
"Gulf Coast",2025,0.243333333333333
"Atlantic Coast",2000,-0.660941666666667
"Atlantic Coast",2001,-0.390625
"Atlantic Coast",2002,-0.147441666666667
"Atlantic Coast",2003,0.546466666666667
"Atlantic Coast",2004,0.013025
"Atlantic Coast",2005,0.148708333333333
"Atlantic Coast",2006,-0.519508333333333
"Atlantic Coast",2007,-0.529766666666667
"Atlantic Coast",2008,-0.0904583333333333
"Atlantic Coast",2009,-0.089625
"Atlantic Coast",2010,-0.0892166666666667
"Atlantic Coast",2011,-0.528175
"Atlantic Coast",2012,-0.300533333333333
"Atlantic Coast",2013,0.0124666666666667
"Atlantic Coast",2014,0.109883333333333
"Atlantic Coast",2015,0.0343
"Atlantic Coast",2016,0.17035
"Atlantic Coast",2017,0.110241666666667
"Atlantic Coast",2018,0.512975
"Atlantic Coast",2019,0.316525
"Atlantic Coast",2020,0.307325
"Atlantic Coast",2021,0.422875
"Atlantic Coast",2022,-0.188991666666667
"Atlantic Coast",2023,-0.227575
"Atlantic Coast",2024,0.338675
"Atlantic Coast",2025,-0.294083333333333
