"coast_region","year","annual_mean_SPEI3","cumulative_annual_SPEI3"
"AK Coast",2000,0.120083333333333,0.120083333333333
"AK Coast",2001,0.10075,0.220833333333333
"AK Coast",2002,-0.0949833333333333,0.12585
"AK Coast",2003,0.00995,0.1358
"AK Coast",2004,-0.023375,0.112425
"AK Coast",2005,0.0465416666666667,0.158966666666667
"AK Coast",2006,0.2642,0.423166666666667
"AK Coast",2007,-0.433991666666667,-0.010825
"AK Coast",2008,0.078475,0.06765
"AK Coast",2009,-0.105208333333333,-0.0375583333333333
"AK Coast",2010,-0.20975,-0.247308333333333
"AK Coast",2011,0.042725,-0.204583333333333
"AK Coast",2012,0.0934083333333333,-0.111175
"AK Coast",2013,0.258866666666667,0.147691666666667
"AK Coast",2014,-0.0543166666666667,0.093375
"AK Coast",2015,0.0373583333333333,0.130733333333333
"AK Coast",2016,-0.142808333333333,-0.0120750000000001
"AK Coast",2017,-0.0552833333333333,-0.0673583333333334
"AK Coast",2018,0.215275,0.147916666666667
"AK Coast",2019,0.233166666666667,0.381083333333333
"AK Coast",2020,-0.00946666666666666,0.371616666666667
"AK Coast",2021,0.3235,0.695116666666667
"AK Coast",2022,0.124725,0.819841666666667
"AK Coast",2023,0.45395,1.27379166666667
"AK Coast",2024,0.443975,1.71776666666667
"AK Coast",2025,0.46555,2.18331666666667
"Pacific Coast",2000,0.0116416666666667,0.0116416666666667
"Pacific Coast",2001,-0.2748,-0.263158333333333
"Pacific Coast",2002,-0.478266666666667,-0.741425
"Pacific Coast",2003,-0.0647333333333334,-0.806158333333333
"Pacific Coast",2004,-0.190575,-0.996733333333333
"Pacific Coast",2005,0.0939666666666667,-0.902766666666666
"Pacific Coast",2006,0.0496416666666666,-0.853125
"Pacific Coast",2007,-0.0920583333333333,-0.945183333333333
"Pacific Coast",2008,-0.500991666666667,-1.446175
"Pacific Coast",2009,-0.253916666666667,-1.70009166666667
"Pacific Coast",2010,0.53485,-1.16524166666667
"Pacific Coast",2011,0.39565,-0.769591666666666
"Pacific Coast",2012,0.1954,-0.574191666666666
"Pacific Coast",2013,-0.424916666666667,-0.999108333333333
"Pacific Coast",2014,-0.190391666666667,-1.1895
"Pacific Coast",2015,-0.664475,-1.853975
"Pacific Coast",2016,0.373333333333333,-1.48064166666667
"Pacific Coast",2017,0.143808333333333,-1.33683333333333
"Pacific Coast",2018,-0.5739,-1.91073333333333
"Pacific Coast",2019,-0.188916666666667,-2.09965
"Pacific Coast",2020,-0.447633333333333,-2.54728333333333
"Pacific Coast",2021,-0.268641666666667,-2.815925
"Pacific Coast",2022,-0.397058333333333,-3.21298333333333
"Pacific Coast",2023,-0.187866666666667,-3.40085
"Pacific Coast",2024,0.151841666666667,-3.24900833333333
"Pacific Coast",2025,-0.247133333333333,-3.49614166666667
"Gulf Coast",2000,0.0288416666666667,0.0288416666666667
"Gulf Coast",2001,0.354591666666667,0.383433333333333
"Gulf Coast",2002,-0.261858333333333,0.121575
"Gulf Coast",2003,0.341608333333333,0.463183333333333
"Gulf Coast",2004,0.0577499999999999,0.520933333333333
"Gulf Coast",2005,0.683266666666667,1.2042
"Gulf Coast",2006,-0.123116666666667,1.08108333333333
"Gulf Coast",2007,-0.741208333333333,0.339875
"Gulf Coast",2008,-0.633166666666667,-0.293291666666667
"Gulf Coast",2009,-0.331208333333333,-0.6245
"Gulf Coast",2010,0.654441666666667,0.0299416666666668
"Gulf Coast",2011,0.586983333333333,0.616925
"Gulf Coast",2012,-0.409758333333333,0.207166666666667
"Gulf Coast",2013,-0.700133333333333,-0.492966666666667
"Gulf Coast",2014,-0.924866666666667,-1.41783333333333
"Gulf Coast",2015,0.00906666666666662,-1.40876666666667
"Gulf Coast",2016,-0.351308333333333,-1.760075
"Gulf Coast",2017,-0.298116666666667,-2.05819166666667
"Gulf Coast",2018,-0.626508333333333,-2.6847
"Gulf Coast",2019,0.309358333333333,-2.37534166666667
"Gulf Coast",2020,-0.942233333333333,-3.317575
"Gulf Coast",2021,-0.729975,-4.04755
"Gulf Coast",2022,-0.637241666666667,-4.68479166666667
"Gulf Coast",2023,1.29185,-3.39294166666667
"Gulf Coast",2024,-0.336233333333333,-3.729175
"Gulf Coast",2025,0.243333333333333,-3.48584166666667
"Atlantic Coast",2000,-0.660941666666667,-0.660941666666667
"Atlantic Coast",2001,-0.390625,-1.05156666666667
"Atlantic Coast",2002,-0.147441666666667,-1.19900833333333
"Atlantic Coast",2003,0.546466666666667,-0.652541666666667
"Atlantic Coast",2004,0.013025,-0.639516666666667
"Atlantic Coast",2005,0.148708333333333,-0.490808333333333
"Atlantic Coast",2006,-0.519508333333333,-1.01031666666667
"Atlantic Coast",2007,-0.529766666666667,-1.54008333333333
"Atlantic Coast",2008,-0.0904583333333333,-1.63054166666667
"Atlantic Coast",2009,-0.089625,-1.72016666666667
"Atlantic Coast",2010,-0.0892166666666667,-1.80938333333333
"Atlantic Coast",2011,-0.528175,-2.33755833333333
"Atlantic Coast",2012,-0.300533333333333,-2.63809166666667
"Atlantic Coast",2013,0.0124666666666667,-2.625625
"Atlantic Coast",2014,0.109883333333333,-2.51574166666667
"Atlantic Coast",2015,0.0343,-2.48144166666667
"Atlantic Coast",2016,0.17035,-2.31109166666667
"Atlantic Coast",2017,0.110241666666667,-2.20085
"Atlantic Coast",2018,0.512975,-1.687875
"Atlantic Coast",2019,0.316525,-1.37135
"Atlantic Coast",2020,0.307325,-1.064025
"Atlantic Coast",2021,0.422875,-0.64115
"Atlantic Coast",2022,-0.188991666666667,-0.830141666666667
"Atlantic Coast",2023,-0.227575,-1.05771666666667
"Atlantic Coast",2024,0.338675,-0.719041666666667
"Atlantic Coast",2025,-0.294083333333333,-1.013125
