"smooth_term","edf","Ref.df","F","p.value"
"s(SPEI_value):spei_coastSPEI_1__Atlantic Coast",0.011313379066992,5,0.00139709019400037,0.455172283655605
"s(SPEI_value):spei_coastSPEI_3__Atlantic Coast",1.01985517153599,5,0.762616885841834,0.07651397753509
"s(SPEI_value):spei_coastSPEI_6__Atlantic Coast",0.614289310790972,5,0.512404971456092,0.108829768091004
"s(SPEI_value):spei_coastSPEI_12__Atlantic Coast",0.480797375740196,5,0.16756078186956,0.234207363698563
"s(SPEI_value):spei_coastSPEI_24__Atlantic Coast",0.677485429221128,5,0.640577431104127,0.0793881642140404
"s(SPEI_value):spei_coastSPEI_36__Atlantic Coast",0.802643265555464,5,1.35067827221653,0.0269838923232174
"s(SPEI_value):spei_coastSPEI_48__Atlantic Coast",1.43266861278869,5,5.94261620161585,0.00477917758977919
"s(SPEI_value):spei_coastSPEI_1__Pacific Coast",1.77554024288343,5,2.88018076755773,0.00666308483945066
"s(SPEI_value):spei_coastSPEI_3__Pacific Coast",0.863401866593029,5,0.490489513018953,0.116981680471146
"s(SPEI_value):spei_coastSPEI_6__Pacific Coast",1.09136041003419,5,1.22670744133762,0.0708992024010184
"s(SPEI_value):spei_coastSPEI_12__Pacific Coast",0.00976440637252457,5,0.000906966061287937,0.562413389024908
"s(SPEI_value):spei_coastSPEI_24__Pacific Coast",0.249047218971338,5,0.0920793595427292,0.249648819430349
"s(SPEI_value):spei_coastSPEI_36__Pacific Coast",0.00599442354874718,5,0.000229055633399923,0.762914832234812
"s(SPEI_value):spei_coastSPEI_48__Pacific Coast",0.00743976433634142,5,2.06671177488286e-05,0.988965134882529
"s(SPEI_value):spei_coastSPEI_1__Gulf Coast",0.901388498973813,5,1.97106929708622,0.00196845604098428
"s(SPEI_value):spei_coastSPEI_3__Gulf Coast",4.34210597879066,5,29.4424973625773,0
"s(SPEI_value):spei_coastSPEI_6__Gulf Coast",2.2422735438744,5,5.84850850305085,3.85719761020198e-06
"s(SPEI_value):spei_coastSPEI_12__Gulf Coast",2.55043611658135,5,9.5747634408395,0
"s(SPEI_value):spei_coastSPEI_24__Gulf Coast",1.95997279333048,5,4.80357409509738,4.87228131210715e-05
"s(SPEI_value):spei_coastSPEI_36__Gulf Coast",0.881602551312539,5,1.85101957188047,0.00469195610724382
"s(SPEI_value):spei_coastSPEI_48__Gulf Coast",0.0111331444983189,5,0.000257725571388131,0.807881046107576
"s(SPEI_value):spei_coastSPEI_1__AK Coast",0.0158567632604861,5,0.00220650877155044,0.435457454914313
"s(SPEI_value):spei_coastSPEI_3__AK Coast",1.89991645129352,5,3.43092336303862,0.00493613296677808
"s(SPEI_value):spei_coastSPEI_6__AK Coast",1.37557979300579,5,2.51847674645955,0.00826870396581603
"s(SPEI_value):spei_coastSPEI_12__AK Coast",0.780819168618998,5,1.00555826939557,0.0319232531885499
"s(SPEI_value):spei_coastSPEI_24__AK Coast",1.25770224719413,5,1.0083526072491,0.0934346832351489
"s(SPEI_value):spei_coastSPEI_36__AK Coast",0.821522865427571,5,1.37189750623112,0.0202653695512748
"s(SPEI_value):spei_coastSPEI_48__AK Coast",0.733285021415552,5,1.08256884827339,0.0469083031449408
"s(site_name)",57.6805861513851,58,219.020508737334,0
