"term","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",24.6305113922059,15.5802747051992,1.58087786372513,0.114115996524757
"water_classFreshwater",-5.7587842789063,3.38432755502933,-1.7016036968255,0.0890361340067039
"water_classSaline",-5.89131577019247,3.85836065217383,-1.52689608392965,0.126996879883925
"month_f2",-24.2430440764695,16.9932118353525,-1.42663107547653,0.15389358009396
"month_f3",-14.7276312853228,16.1215722196343,-0.913535670384937,0.361107138876314
"month_f4",-12.7555041428707,15.7739378107761,-0.808644252049521,0.418847553365526
"month_f5",-19.494645916905,15.6795182337337,-1.24331919044319,0.213943792804617
"month_f6",-18.1349144336745,15.624526920697,-1.16066966543813,0.245960251078327
"month_f7",-21.5558349364636,15.6500097918663,-1.37736878271263,0.168602968804329
"month_f8",-12.2243634335795,15.7066579968373,-0.77829181968825,0.436519281613536
"month_f9",-19.4646693716351,15.7996818198583,-1.23196590877991,0.218154176040388
"month_f10",-20.1370330754876,16.1377966160085,-1.24781799861772,0.212291738630685
