"water_class","response_threshold_pct","stable_SPEI_min","stable_SPEI_max","dry_any_impact_threshold","dry_decrease_threshold","dry_increase_threshold","wet_any_impact_threshold","wet_decrease_threshold","wet_increase_threshold","min_predicted_pct_change","max_predicted_pct_change","max_predicted_magnitude"
"Upland",0.5,-0.43131885743828,1.37854501078904,-1.00444241571027,NA,-1.00444241571027,1.00149003824168,1.00149003824168,1.39362720969094,-7.95923315203317,45.4901155947754,45.4901155947754
"Upland",1,-0.461483255242069,1.40870940859283,-1.00444241571027,NA,-1.00444241571027,1.00149003824168,1.00149003824168,1.42379160749472,-7.95923315203317,45.4901155947754,45.4901155947754
"Upland",2.5,-0.536894249751541,1.51428480090609,-1.00444241571027,NA,-1.00444241571027,1.00149003824168,1.00149003824168,1.52936699980798,-7.95923315203317,45.4901155947754,45.4901155947754
"Upland",5,-0.642469642064801,1.68018898882693,-1.00444241571027,NA,-1.00444241571027,1.69527118772882,NA,1.69527118772882,-7.95923315203317,45.4901155947754,45.4901155947754
"Freshwater",0.5,NA,NA,-1.00444241571027,-1.00444241571027,NA,1.00149003824168,1.00149003824168,NA,-2.68503460159438,-2.68169847272155,2.68503460159438
"Freshwater",1,NA,NA,-1.00444241571027,-1.00444241571027,NA,1.00149003824168,1.00149003824168,NA,-2.68503460159438,-2.68169847272155,2.68503460159438
"Freshwater",2.5,NA,NA,-1.00444241571027,-1.00444241571027,NA,1.00149003824168,1.00149003824168,NA,-2.68503460159438,-2.68169847272155,2.68503460159438
"Freshwater",5,-1.84904555421635,1.90642197235534,NA,NA,NA,NA,NA,NA,-2.68503460159438,-2.68169847272155,2.68503460159438
"Saline",0.5,NA,NA,-1.00444241571027,-1.00444241571027,NA,1.00149003824168,1.00149003824168,NA,-2.81699969065869,-2.81559925803813,2.81699969065869
"Saline",1,NA,NA,-1.00444241571027,-1.00444241571027,NA,1.00149003824168,1.00149003824168,NA,-2.81699969065869,-2.81559925803813,2.81699969065869
"Saline",2.5,NA,NA,-1.00444241571027,-1.00444241571027,NA,1.00149003824168,1.00149003824168,NA,-2.81699969065869,-2.81559925803813,2.81699969065869
"Saline",5,-1.84904555421635,1.90642197235534,NA,NA,NA,NA,NA,NA,-2.81699969065869,-2.81559925803813,2.81699969065869
