"smooth_term","edf","Ref.df","F","p_value","signif"
"s(Trans_ratio):diff_ecosystemWUE_ET_minus_WUE_T__Upland",4.48126158698318,5,275.795262029395,0,"***"
"s(Trans_ratio):diff_ecosystemWUE_ET_minus_WUE_E__Upland",4.51132485853414,5,413.879202629729,0,"***"
"s(Trans_ratio):diff_ecosystemWUE_E_minus_WUE_T__Upland",4.6958804683263,5,1272.62176762878,0,"***"
"s(Trans_ratio):diff_ecosystemWUE_ET_minus_WUE_T__Freshwater",1.20607042097783,5,24.7454850710692,0,"***"
"s(Trans_ratio):diff_ecosystemWUE_ET_minus_WUE_E__Freshwater",4.27733214429549,5,206.71601218038,0,"***"
"s(Trans_ratio):diff_ecosystemWUE_E_minus_WUE_T__Freshwater",4.20730000438145,5,386.635875564432,0,"***"
"s(Trans_ratio):diff_ecosystemWUE_ET_minus_WUE_T__Saline",2.95293630039891,5,62.0065253034948,0,"***"
"s(Trans_ratio):diff_ecosystemWUE_ET_minus_WUE_E__Saline",2.45727230662192,5,41.896844444967,0,"***"
"s(Trans_ratio):diff_ecosystemWUE_E_minus_WUE_T__Saline",1.09441128528187,5,208.502115335595,0,"***"
"s(site_name)",55.3814372686066,61,11.7185716329927,0,"***"
"s(month_f)",1.21285016330376,10,0.174143875018485,0.28334103594793,""
