"site_name","water_class","n_months","WUE_T_max","WUE_T_min","plasticity_range","WUE_T_p95","WUE_T_p05","plasticity_p95_p05"
"US-A03","Saline",17,16.6898731841428,2.20608629025111,7.56537641247166,15.9786678782168,3.113190867954,5.13256930138629
"US-A10","Saline",31,9.93110117150656,0.820655504893635,12.1014251562155,8.10181600752381,0.957532404338629,8.46114029229096
"US-Atq","Freshwater",26,4.69481649409139,0.0491347724626637,95.5497758264549,4.64403366627527,0.0961911794732149,48.2792049303069
"US-BWb","Upland",10,8.38276372845264,2.8775220093122,2.91318839658722,7.8161949107992,3.22397427105834,2.42439742182972
"US-Brw","Upland",25,6.35157696085882,0.311978118813317,20.3590462851002,4.83772146484062,0.373689337493701,12.9458375700168
"US-CGG","Upland",17,13.2761453934806,2.80141815940539,4.73908022224661,10.6356692496044,3.19929119211088,3.32438299953155
"US-Ced","Upland",58,4.65425942902278,2.28700415253295,2.03509006482039,4.16581523930441,2.5762862006324,1.61698464956332
"US-Cms","Upland",19,5.5654035469938,0.219860247302637,25.313368902624,5.42243149718644,0.435854502502073,12.4409211469845
"US-Dix","Upland",15,4.93494068140352,2.51263557463616,1.96404951486772,4.84635751209002,2.7181524405159,1.78296016067818
"US-Dmg","Freshwater",25,3.22492795798773,1.78258227699568,1.80913273940036,3.10986022455142,1.99080617332893,1.56211100116856
"US-EDN","Saline",44,4.66602460438496,0.500530387368516,9.32216049642076,3.8086677772932,1.55894614869124,2.4431041319103
"US-EKH","Saline",15,7.46495401616736,1.82650007817283,4.08702638744754,6.53402268844797,1.93415629198109,3.37822890297837
"US-EKN","Saline",6,0.791583026766172,0.323730611051924,2.44519053726188,0.753206188186559,0.331672985649599,2.27093016548021
"US-EKP","Saline",13,7.07525646650151,3.4899295971975,2.02733501334328,6.90169103924865,4.17230694599114,1.65416665853886
"US-Elm","Freshwater",43,1.08203628771898,0.119618022967779,9.04576301190367,1.0031678621168,0.256571403181501,3.90989739962233
"US-Esm","Freshwater",50,2.34590020602793,0.0701771844755969,33.4282462820047,1.9527571891926,0.144893156653892,13.4772216596618
"US-Fo1","Freshwater",7,42.7456945105646,3.83916790811181,11.134103934409,35.6118911964023,4.78460909343373,7.44300955438034
"US-GCE","Saline",25,2.02453912003734,0.495427824398378,4.08644613874046,1.91203480603644,0.616223835519911,3.10282513564775
"US-HB1","Saline",47,3.43876345966394,1.08723342156515,3.1628566519907,2.90509117614234,1.42553939255756,2.03788909047987
"US-HB2","Upland",47,5.82951290567931,2.53674986482902,2.29802432888756,5.24132461950731,2.73443437459101,1.91678566807487
"US-HB3","Upland",40,5.56605660093427,2.9635683004224,1.87816039203178,5.24812581687324,3.42782613984244,1.53103617358915
"US-KPL","Freshwater",10,10.7810644519666,3.48744261436309,3.0913955135963,9.57444226766137,3.57617823111659,2.67728330326309
"US-KS1","Upland",8,6.39468417362462,2.46954670444233,2.58941617185113,5.85478148143047,2.62736279968177,2.22838714247595
"US-KS2","Upland",46,5.83869355978835,1.68355832968391,3.46806728156819,5.12979789208313,1.86870036782953,2.74511525785234
"US-KS3","Saline",6,3.15469601770597,1.49033016324172,2.11677660126261,3.0631840837409,1.577971033702,1.94121692877626
"US-KS4","Saline",31,15.3715691393698,4.80115267511422,3.20164139312736,14.6685516097592,4.93286157888986,2.97363941297951
"US-LA2","Freshwater",37,8.25830302799288,1.37252920052449,6.01685051570278,7.15857697033117,2.29030048891821,3.12560600889206
"US-LA3","Saline",25,6.21801280008623,3.20500262376232,1.94009600927783,6.00359998244663,3.49761656810257,1.71648317234028
"US-MCP","Freshwater",18,11.0522111724371,4.38756971462845,2.51898246438987,10.1410909644211,4.80103332625597,2.11227256202562
"US-MRf","Upland",41,14.6151274840913,4.93903340193503,2.95910683219216,14.2040570760497,6.1542985788328,2.3079895936319
"US-Myb","Freshwater",82,3.46951758328425,1.69334126187738,2.04891811319689,3.2256165699756,1.93349943165623,1.66827903704763
"US-NC4","Freshwater",78,4.64323759286532,1.36018956348406,3.41366947484283,3.87910407283998,1.76761642257321,2.194539507159
"US-NGC","Upland",19,9.2740568829226,3.32969721076876,2.78525532379606,8.78799423821654,4.34475248807228,2.02266855530721
"US-ONA","Upland",43,6.82785339162098,2.19070244085027,3.11674158219814,6.28229710479155,2.88593930209762,2.17686390709095
"US-PAS","Upland",11,6.41060727540332,4.41789731659313,1.45105393267648,6.38800155077028,4.49188958490784,1.42211900582622
"US-PHM","Saline",32,3.3870728610463,1.79482600354878,1.8871315962379,3.11045665378296,1.92478671167644,1.6160006897979
"US-RRC","Freshwater",20,2.98734990810926,0.942292486346887,3.17030004101033,2.60799797806469,1.04569458000504,2.49403413571495
"US-SCg","Upland",32,19.0613604697116,1.44965936307932,13.1488547966345,15.4332508460182,3.43183814068329,4.49708005254159
"US-SCs","Upland",17,20.1613011840343,5.72107673744897,3.52403963611651,17.2548153552014,5.80134314175788,2.9742793924741
"US-SO2","Upland",27,16.7311447276557,2.17755146836611,7.68346694473753,14.7229855968253,2.6196243924147,5.620265882184
"US-SO3","Upland",26,10.6581698876671,0.152866866484527,69.7219098734253,9.55141115976597,0.443963880324782,21.5139374689189
"US-SO4","Upland",8,17.9173349842262,3.57786617226737,5.00782704593772,17.6713277979408,4.56122922241165,3.87424681730804
"US-Skr","Saline",95,3.90976221666251,1.39986905818278,2.79294852172668,3.42785542178012,1.53825390995081,2.22840676666295
"US-Slt","Upland",81,5.53038229165109,0.1855447827333,29.8061859254776,4.41508048395501,0.223321189663374,19.7700920840075
"US-Snd","Upland",55,5.66413966611651,2.36148671780752,2.39854817874025,5.31126438133478,2.5631500602698,2.07216286851957
"US-Sne","Freshwater",33,4.37008163733375,0.209944233891124,20.8154401592189,4.03370174656732,0.250639440913468,16.0936432505048
"US-StJ","Saline",30,9.65141727546548,4.36278755928345,2.21221344021863,9.01418364394406,4.63057677846162,1.94666541020809
"US-TaS","Saline",28,4.84150846226349,1.92618177134937,2.51352625919195,4.27233535376281,2.02608158946326,2.10866895784519
"US-Tw1","Freshwater",62,5.06846250778565,2.39784688931704,2.11375569072689,4.34025527285562,2.59388074262148,1.67326708646951
"US-Tw3","Freshwater",35,5.57163231030454,2.86281643587204,1.94620662383034,5.11642734136896,3.09938782968105,1.65078642058663
