"site_name","water_class","SPEI_timescale","n_months","slope","r_squared","correlation"
"US-A03","Saline","SPEI_1",17,0.80399717935853,0.0265266090313285,0.162869914445021
"US-A10","Saline","SPEI_1",31,0.173713062549312,0.00452736470000775,0.0672856946163726
"US-Atq","Freshwater","SPEI_1",26,-0.104613513083941,0.00331734443895883,-0.0575963925863315
"US-BWb","Upland","SPEI_1",10,0.201115293870878,0.0076538668289546,0.087486380819843
"US-Brw","Upland","SPEI_1",25,0.561558371479208,0.113053207616732,0.336233858522208
"US-CGG","Upland","SPEI_1",17,-1.87603983462502,0.417848587049528,-0.646412087641875
"US-Ced","Upland","SPEI_1",58,0.0653787368765459,0.0186429788131203,0.136539294026007
"US-Cms","Upland","SPEI_1",19,0.575735641665069,0.108459974515512,0.329332619877704
"US-Dix","Upland","SPEI_1",15,-0.0900512595683819,0.0140237787047455,-0.118422036398406
"US-Dmg","Freshwater","SPEI_1",25,0.06688947809618,0.0374893423261505,0.193621647359355
"US-EDN","Saline","SPEI_1",44,-0.157138272067153,0.0499260944147333,-0.223441478724818
"US-EKH","Saline","SPEI_1",15,-0.336451826315567,0.0629545024719356,-0.250907358345537
"US-EKN","Saline","SPEI_1",6,0.00873967416343494,0.00355355977992203,0.0596117419634926
"US-EKP","Saline","SPEI_1",13,-0.098931166512457,0.0187036684107051,-0.136761355691968
"US-Elm","Freshwater","SPEI_1",43,-0.0288497440388997,0.0132244449187355,-0.114997586577873
"US-Esm","Freshwater","SPEI_1",50,0.0663481694993305,0.0105834548904356,0.102875919876498
"US-Fo1","Freshwater","SPEI_1",7,-6.83941464101024,0.285244460512985,-0.534082821772976
"US-GCE","Saline","SPEI_1",25,0.0449404763186709,0.0142110935016158,0.119210291089385
"US-HB1","Saline","SPEI_1",47,0.0847081766142576,0.0331685059074238,0.182122227933396
"US-HB2","Upland","SPEI_1",47,-0.156743358333502,0.041147677667959,-0.202848903541427
"US-HB3","Upland","SPEI_1",40,-0.158229882995311,0.0787365658524075,-0.280600366807329
"US-KPL","Freshwater","SPEI_1",10,1.02987769732333,0.346042012162082,0.588253357119262
"US-KS1","Upland","SPEI_1",8,1.20729424533803,0.488877779199742,0.699197954230232
"US-KS2","Upland","SPEI_1",46,-0.0279790033733212,0.00050184607572666,-0.0224019212507914
"US-KS3","Saline","SPEI_1",6,-0.416317717656599,0.614491045349167,-0.783894792270727
"US-KS4","Saline","SPEI_1",31,-1.5781372235049,0.260190980752642,-0.510089189017609
"US-LA2","Freshwater","SPEI_1",37,0.177495247794906,0.0184975777987952,0.136005800607162
"US-LA3","Saline","SPEI_1",25,-0.00826523455920763,0.000136241031257691,-0.0116722333448957
"US-MCP","Freshwater","SPEI_1",18,-1.21336316958327,0.417957732184656,-0.646496505933834
"US-MRf","Upland","SPEI_1",41,0.517488581410009,0.0269554236998801,0.164181069858495
"US-Myb","Freshwater","SPEI_1",82,0.0308713055321395,0.00642297855606824,0.0801434872966496
"US-NC4","Freshwater","SPEI_1",78,0.0296273262534032,0.00163109855209868,0.04038686113204
"US-NGC","Upland","SPEI_1",19,0.229995204490662,0.0255308793378792,0.159783851930911
"US-ONA","Upland","SPEI_1",43,0.0311031651796849,0.000748753004867332,0.0273633514918648
"US-PAS","Upland","SPEI_1",11,0.224514254396246,0.10477750748093,0.32369353944886
"US-PHM","Saline","SPEI_1",32,0.142579353202515,0.151482276499724,0.389207241067948
"US-RRC","Freshwater","SPEI_1",20,0.0994215157876343,0.0356868198154074,0.18890955459004
"US-SCg","Upland","SPEI_1",32,-0.732162264227352,0.0219685626380774,-0.148217956530501
"US-SCs","Upland","SPEI_1",17,-1.57049116958814,0.106688442976467,-0.326631968699432
"US-SO2","Upland","SPEI_1",27,-0.600852978591969,0.0164655484504964,-0.128318153238333
"US-SO3","Upland","SPEI_1",26,-0.200057842531687,0.00455980091512494,-0.0675262979521678
"US-SO4","Upland","SPEI_1",8,1.09038845202117,0.00926530690219317,0.0962564642099074
"US-Skr","Saline","SPEI_1",95,-0.0518932102719656,0.00769301888322294,-0.0877098562490153
"US-Slt","Upland","SPEI_1",81,-0.25415994578236,0.0266283582043666,-0.163181978797803
"US-Snd","Upland","SPEI_1",55,0.0828606437342568,0.0114266207249262,0.106895372794739
"US-Sne","Freshwater","SPEI_1",33,-0.179604960857156,0.0251750525459263,-0.158666482112405
"US-StJ","Saline","SPEI_1",30,0.162560306625285,0.0147228858150146,0.121337899334934
"US-TaS","Saline","SPEI_1",28,0.360224415119692,0.293185066612697,0.541465665220517
"US-Tw1","Freshwater","SPEI_1",62,0.0452093586650677,0.00626966518580384,0.079181217380158
"US-Tw3","Freshwater","SPEI_1",35,-0.0828785588984337,0.012164411153671,-0.110292389373297
