"site_name","water_class","n_events","mean_recovery","median_recovery","sd_recovery","min_recovery","max_recovery","pct_full_recovery"
"US-CGG","Upland",1,0.467829678906802,0.467829678906802,NA,0.467829678906802,0.467829678906802,0
"US-Ced","Upland",2,1.10343609490284,1.10343609490284,0.175926096846751,0.979037558834821,1.22783463097086,50
"US-Dix","Upland",1,1.24191997693413,1.24191997693413,NA,1.24191997693413,1.24191997693413,100
"US-Dmg","Freshwater",1,0.941066640571754,0.941066640571754,NA,0.941066640571754,0.941066640571754,0
"US-EDN","Saline",4,1.31006245752458,1.22529192715804,0.238535513303432,1.13529044053837,1.65437553524386,100
"US-Elm","Freshwater",2,0.719211256803016,0.719211256803016,0.0831051674877216,0.660447029320804,0.777975484285227,0
"US-Esm","Freshwater",2,0.799678173722351,0.799678173722351,0.220091245084671,0.644050161843189,0.955306185601512,0
"US-GCE","Saline",1,0.759971581426134,0.759971581426134,NA,0.759971581426134,0.759971581426134,0
"US-KPL","Freshwater",1,1.13715990080889,1.13715990080889,NA,1.13715990080889,1.13715990080889,100
"US-LA3","Saline",2,1.03723174952125,1.03723174952125,0.00389389870008495,1.03447834734517,1.03998515169733,100
"US-MCP","Freshwater",1,1.04143029757698,1.04143029757698,NA,1.04143029757698,1.04143029757698,100
"US-MRf","Upland",2,1.30766001854786,1.30766001854786,0.171131621648971,1.18665168840442,1.4286683486913,100
"US-Myb","Freshwater",4,0.977106170955403,0.978245520261192,0.0764522634369292,0.895629573468013,1.05630406983121,50
"US-NC4","Freshwater",1,1.04807656752774,1.04807656752774,NA,1.04807656752774,1.04807656752774,100
"US-PHM","Saline",1,1.00367074434796,1.00367074434796,NA,1.00367074434796,1.00367074434796,100
"US-SCg","Upland",3,0.937299363738301,1.06669130070784,0.2774790173683,0.618757181838537,1.12644960866852,66.6666666666667
"US-SO3","Upland",1,0.543372833216511,0.543372833216511,NA,0.543372833216511,0.543372833216511,0
"US-Skr","Saline",6,0.922590748978043,0.893363388070325,0.120365799562847,0.787012150205246,1.10283813160534,33.3333333333333
"US-Slt","Upland",2,0.998636131208446,0.998636131208446,0.0800339104540094,0.942043610401539,1.05522865201535,50
"US-Snd","Upland",2,0.969007222671105,0.969007222671105,0.0442977918451193,0.937683953665831,1.00033049167638,50
"US-Sne","Freshwater",1,1.97191293385768,1.97191293385768,NA,1.97191293385768,1.97191293385768,100
"US-TaS","Saline",2,1.00038932384556,1.00038932384556,0.127819396750048,0.910007361636424,1.09077128605469,50
"US-Tw1","Freshwater",2,0.99031074851122,0.99031074851122,0.00709333342310659,0.985295004346524,0.995326492675916,0
"US-Tw3","Freshwater",2,0.904184365494167,0.904184365494167,0.00512924556822432,0.900557441170505,0.90781128981783,0
"US-Tw4","Freshwater",1,1.0073815816875,1.0073815816875,NA,1.0073815816875,1.0073815816875,100
"US-Twt","Upland",2,1.0513102290175,1.0513102290175,0.0827215135006107,0.992817285871204,1.1098031721638,50
"US-xSB","Upland",2,0.864750689708975,0.864750689708975,0.185795506946407,0.733373426833178,0.996127952584771,0
