"site_name","water_class","event_id","start_year","start_month","end_year","end_month","duration_months","n_pre","n_post","mean_WUE_T_pre","mean_WUE_T_post","recovery"
"US-Ced","Upland",2,2006,4,2006,5,2,4,12,2.75327975321487,3.38057222974811,1.22783463097086
"US-Ced","Upland",3,2010,6,2010,8,3,12,12,3.36132444758375,3.2908628816142,0.979037558834821
"US-CGG","Upland",2,2022,3,2022,4,2,6,9,8.42538993010611,3.94164746566614,0.467829678906802
"US-Dix","Upland",1,2005,8,2006,5,3,3,9,3.14474623030779,3.90552316580755,1.24191997693413
"US-Dmg","Freshwater",1,2024,8,2024,9,2,12,7,2.60667349062117,2.45305346488631,0.941066640571754
"US-EDN","Saline",1,2018,7,2018,9,3,4,12,1.34715865957258,2.22870632848879,1.65437553524386
"US-EDN","Saline",2,2019,9,2020,4,3,12,12,2.04422421689959,2.6276693866543,1.28541153408289
"US-EDN","Saline",3,2021,4,2021,8,5,12,12,2.46658738823266,2.80029308261305,1.13529044053837
"US-EDN","Saline",4,2022,3,2022,8,6,12,11,2.67696776563769,3.11912874267752,1.16517232023319
"US-Elm","Freshwater",1,2018,3,2018,4,2,12,12,0.639870657054592,0.497803684301953,0.777975484285227
"US-Elm","Freshwater",2,2020,3,2020,4,2,12,12,0.549689295107824,0.363040662003409,0.660447029320804
"US-Esm","Freshwater",1,2018,2,2018,4,3,11,12,1.06424986706758,1.01668448103525,0.955306185601512
"US-Esm","Freshwater",2,2020,3,2020,4,2,12,12,1.02014496709886,0.657024531163534,0.644050161843189
"US-GCE","Saline",1,2016,8,2016,9,2,12,5,1.32531684931541,1.00720314186493,0.759971581426134
"US-KPL","Freshwater",1,2022,6,2022,7,2,3,5,5.60964155102028,6.37905942973167,1.13715990080889
"US-LA3","Saline",1,2022,3,2022,4,2,9,12,4.5145878068746,4.69510428518341,1.03998515169733
"US-LA3","Saline",2,2022,10,2023,4,3,12,6,4.33288071906385,4.48227128550091,1.03447834734517
"US-MCP","Freshwater",1,2024,8,2024,9,2,9,7,7.59934535785234,7.91418849741842,1.04143029757698
"US-MRf","Upland",1,2006,9,2006,10,2,6,12,6.62387296516123,9.46331765107781,1.4286683486913
"US-MRf","Upland",2,2007,5,2007,6,2,10,12,7.86826290471971,9.33688746069552,1.18665168840442
"US-Myb","Freshwater",1,2013,5,2013,7,3,7,12,2.48872682331333,2.31495203513324,0.930175225921849
"US-Myb","Freshwater",2,2014,6,2014,7,2,12,12,2.45637344595216,2.20000070167628,0.895629573468013
"US-Myb","Freshwater",3,2020,8,2021,7,5,12,12,2.82869370989149,2.9031330891227,1.02631581460054
"US-Myb","Freshwater",4,2024,8,2024,9,2,12,6,2.88039371863571,3.04257160771117,1.05630406983121
"US-NC4","Freshwater",1,2011,5,2011,7,3,12,12,2.78935533572014,2.92345796587676,1.04807656752774
"US-PHM","Saline",1,2016,6,2016,9,4,10,12,2.63645289179154,2.64613063634274,1.00367074434796
"US-SCg","Upland",1,2007,2,2007,3,2,3,12,6.77255850832278,7.62894588138487,1.12644960866852
"US-SCg","Upland",2,2013,3,2014,3,2,12,7,7.95220449848257,8.48254735998114,1.06669130070784
"US-SCg","Upland",3,2015,3,2015,4,2,12,3,10.8395005767116,6.70701882938329,0.618757181838537
"US-Skr","Saline",1,2004,5,2004,7,3,3,12,3.36074557448131,2.80152394207239,0.833601913618458
"US-Skr","Saline",2,2009,2,2009,4,3,12,12,2.2373975404723,1.94006278786222,0.867106874289623
"US-Skr","Saline",3,2011,4,2011,7,4,12,12,2.12996905220285,1.95876193073251,0.919619901851027
"US-Skr","Saline",4,2018,8,2018,10,3,12,12,2.57574916117057,2.02714588572221,0.787012150205246
"US-Skr","Saline",5,2019,5,2019,10,6,12,12,1.95876193073251,2.1601973479487,1.10283813160534
"US-Skr","Saline",6,2020,3,2020,4,2,12,12,1.92564095612447,1.97448584473607,1.02536552229857
"US-Slt","Upland",1,2005,8,2006,5,3,3,12,3.3091430605759,3.11735707612012,0.942043610401539
"US-Slt","Upland",2,2010,6,2010,7,2,12,12,3.39511725915788,3.58262500881523,1.05522865201535
"US-Snd","Upland",1,2008,4,2008,8,5,7,12,4.06310353521637,3.8099069870553,0.937683953665831
"US-Snd","Upland",2,2013,3,2013,7,5,12,9,3.90432336236107,3.90561370873423,1.00033049167638
"US-Sne","Freshwater",1,2019,10,2020,4,2,12,6,1.12929867328677,2.22687866004251,1.97191293385768
"US-SO3","Upland",1,2002,3,2002,4,2,7,12,5.77847381372417,3.13986568783072,0.543372833216511
"US-TaS","Saline",1,2017,7,2018,4,3,3,12,3.68044828170721,3.34923503047569,0.910007361636424
"US-TaS","Saline",2,2019,5,2020,4,5,11,12,3.09181882015838,3.37246719071224,1.09077128605469
"US-Tw1","Freshwater",1,2013,6,2013,7,2,8,12,3.34931803017519,3.30006632309935,0.985295004346524
"US-Tw1","Freshwater",2,2020,8,2021,7,5,12,12,3.40912695538735,3.39319437559262,0.995326492675916
"US-Tw3","Freshwater",2,2014,6,2014,7,2,7,12,4.40888984017927,4.00243997247787,0.90781128981783
"US-Tw3","Freshwater",3,2015,3,2015,4,2,11,12,4.35787089765328,3.92451306454205,0.900557441170505
"US-Tw4","Freshwater",1,2020,8,2021,7,4,12,12,3.92607745413806,3.95505811557724,1.0073815816875
"US-Twt","Upland",1,2013,6,2013,7,2,12,12,2.67262679065365,2.96608969027737,1.1098031721638
"US-Twt","Upland",2,2014,6,2014,7,2,12,8,2.94918026131278,2.92799714258148,0.992817285871204
"US-xSB","Upland",1,2023,3,2023,4,2,12,12,8.32531846379933,8.29308243596062,0.996127952584771
"US-xSB","Upland",2,2024,6,2024,7,2,12,3,8.7662711855571,6.42895033990096,0.733373426833178
