"site_name","water_class","mean_WUE_T_drought","mean_WUE_T_near_normal","n_months_drought","n_months_near_normal","resistance"
"US-BWb","Upland",5.42472783759181,4.62769341445792,5,5,1.17223146646746
"US-Brw","Upland",2.61257566266517,2.7740691681817,4,20,0.941784614684866
"US-CGG","Upland",4.77436239915593,8.1468245165937,4,6,0.586039675880016
"US-Ced","Upland",3.11929040750536,3.24285059626676,9,35,0.961897662228519
"US-Dix","Upland",4.60615193190505,3.82466469168683,3,11,1.20432830148923
"US-Dmg","Freshwater",2.5807819742648,2.53465249719751,3,14,1.01819952720079
"US-EDN","Saline",2.54623210384146,2.62634988414582,18,20,0.969494627967124
"US-EKH","Saline",3.55400027309528,3.93648086735088,3,9,0.90283692283941
"US-EKP","Saline",5.90568250655527,5.10587642382905,4,8,1.15664423036044
"US-Elm","Freshwater",0.686885845759657,0.49769017066234,8,29,1.38014750189969
"US-Esm","Freshwater",1.22201909026834,0.908901580735255,8,30,1.34450100667642
"US-GCE","Saline",0.930784333658585,1.20266602416132,4,19,0.773934172047199
"US-HB1","Saline",1.80197322074597,1.91819592036435,3,32,0.939410412469075
"US-HB2","Upland",4.41857401142452,3.70255475861198,4,33,1.19338518927968
"US-HB3","Upland",4.45434873283554,4.09915434534693,3,28,1.08665064975946
"US-KS2","Upland",2.95746795706342,3.29222239502708,12,29,0.89831961581049
"US-KS4","Saline",12.1313534917598,7.66439655430506,5,17,1.58281913074365
"US-LA2","Freshwater",3.22977599867971,4.97770408105456,4,23,0.648848534603017
"US-LA3","Saline",4.56017128984117,4.43681094314454,10,12,1.02780383213922
"US-MCP","Freshwater",7.05210101295298,7.66304178328906,3,15,0.920274378293439
"US-MRf","Upland",9.31462992431404,8.76576495276393,5,31,1.06261461201707
"US-Myb","Freshwater",2.67289902846172,2.60093247127905,14,50,1.02766952159557
"US-NC4","Freshwater",2.51374410471574,2.86903261504592,10,59,0.87616435293661
"US-ONA","Upland",4.82697705537508,3.85323758946084,6,30,1.25270683245112
"US-PAS","Upland",5.02633840858651,5.71995492393817,3,6,0.878737415840665
"US-PHM","Saline",2.08265365523906,2.63290904366955,6,22,0.791008584305826
"US-SCg","Upland",11.2964006675469,7.72122996403147,8,24,1.4630312424536
"US-SO3","Upland",6.19500528901634,2.97724067304668,4,15,2.08078753763526
"US-Skr","Saline",2.30945776475674,2.26769616197521,26,57,1.0184158722327
"US-Slt","Upland",3.4535369137576,1.96749524225951,8,55,1.7552961956805
"US-Snd","Upland",3.55582469154789,3.76409861840883,13,32,0.944668312928266
"US-Sne","Freshwater",2.39557310147881,1.55567756859116,6,19,1.53989049520607
"US-TaS","Saline",2.89211799181013,3.22594165233978,11,11,0.8965190023547
"US-Tw1","Freshwater",3.40281409838245,3.30521368054337,10,38,1.02952923086747
"US-Tw3","Freshwater",3.84187900415038,4.15386017950609,6,21,0.924893674347795
"US-Tw4","Freshwater",3.70293432367521,3.60041906828337,9,38,1.02847314533325
"US-Twt","Upland",3.95918380450986,2.7001558266227,4,17,1.46627974781068
"US-xSB","Upland",8.89071146168622,7.16358560313698,8,31,1.2410979576754
"US-xSE","Upland",5.20575078176024,4.8985163159728,5,32,1.06271990251122
