"site_name","water_class","n_months","mean_TET","mean_WUE_T","var_WUE_T","sd_WUE_T","cv_WUE_T","stability"
"US-A03","Saline",17,0.275496354767679,8.88460760103453,18.5910885685714,4.31173846245009,0.485304321369018,0.47789603972164
"US-A10","Saline",31,0.519978420785461,4.85304093460968,5.47299841887274,2.33944404055167,0.482057347562808,0.886724344351126
"US-Atq","Freshwater",26,0.556037297829283,1.72049390885825,2.4489325602759,1.56490656598913,0.909568210577176,0.702548504914492
"US-BWb","Upland",10,0.544692019353424,5.02621062602486,2.67078705098484,1.63425427978171,0.325146397828977,1.88192114536855
"US-Brw","Upland",25,0.579936692437228,2.70328404731547,2.45568962569265,1.56706401454843,0.579688995725264,1.10082480254523
"US-CGG","Upland",17,0.507461851406196,5.64940248466461,8.3877925844843,2.89616860429159,0.512650428457396,0.673526726819026
"US-Ced","Upland",58,0.751609024440722,3.21782826454627,0.236095758814342,0.485896860263927,0.151001489301804,13.6293353201514
"US-Cms","Upland",19,0.64905478557044,2.75350769914211,2.82921520808703,1.68202711276811,0.610867045438865,0.973240809420042
"US-Dix","Upland",15,0.622456389718627,3.8934935319271,0.58734252910403,0.766382756267409,0.196836786804185,6.6289998408024
"US-Dmg","Freshwater",25,0.59957118557404,2.56122833223937,0.133570184173456,0.365472549138039,0.142694247341272,19.175150113691
"US-EDN","Saline",44,0.36049026332875,2.54164553318792,0.627319586341595,0.792035091609958,0.311622954998186,4.05159601027333
"US-EKH","Saline",15,0.341756103298333,3.52748812015632,2.56716142373529,1.60223638197842,0.454214536633908,1.37408114953041
"US-EKN","Saline",6,0.568766546742563,0.47358616520777,0.0375413823147163,0.193755986526136,0.409125098578698,12.6150433470353
"US-EKP","Saline",13,0.594006825773205,5.3370501409106,0.86665484830851,0.930942988753076,0.174430249702365,6.15821875493706
"US-Elm","Freshwater",43,0.492628903826331,0.569467226712839,0.051590017096826,0.227134359128746,0.39885413676893,11.0383221165452
"US-Esm","Freshwater",50,0.288534178523001,1.00319387523327,0.357408510070648,0.597836524537141,0.595933188286392,2.80685503273263
"US-Fo1","Freshwater",7,0.366568802168081,15.505485228464,170.935947494918,13.0742474924914,0.84320144128676,0.09070932975596
"US-GCE","Saline",25,0.607966360106175,1.15393651104453,0.13836121562889,0.371969374584642,0.322348215022627,8.34002871252302
"US-HB1","Saline",47,0.581039480175308,1.96579901340937,0.244855016601138,0.494828269807958,0.25171864795565,8.02842041260526
"US-HB2","Upland",47,0.640499884983754,3.79418347697682,0.595898962726663,0.771944922081014,0.203454821509078,6.36715905598447
"US-HB3","Upland",40,0.681605395681822,4.09417543757291,0.320310914460926,0.565960170383858,0.138235446676259,12.7818792702187
"US-KPL","Freshwater",10,0.430451023097112,5.8829385157076,5.23780626929918,2.28862541043727,0.389027592983775,1.12316840548109
"US-KS1","Upland",8,0.640858662681673,3.99344949978075,1.57674348701123,1.25568446952697,0.314436045728364,2.53271983215892
"US-KS2","Upland",46,0.730554919490489,3.23862371445118,1.30498749025231,1.14236049049865,0.352730230869761,2.48172778562422
"US-KS3","Saline",6,0.668582059085427,2.32239731742036,0.379334268503923,0.615901184041663,0.265200609483043,6.12229769427315
"US-KS4","Saline",31,0.243204522370755,8.27868974397473,9.12378091905692,3.02055970294529,0.364859633149517,0.907374893963417
"US-LA2","Freshwater",37,0.613639900901248,4.35566104562658,2.7353284014321,1.65388282578667,0.379708799298627,1.59237225166314
"US-LA3","Saline",25,0.514207953170874,4.53219078949272,0.617531769092572,0.785831896204635,0.173388970743792,7.33920263916546
"US-MCP","Freshwater",18,0.57289883741667,7.56121832156638,3.31044278384125,1.81946222380165,0.240630827787648,2.28405044741259
"US-MRf","Upland",41,0.648235355002671,9.10641780045259,6.34700665005636,2.51932662631433,0.276653968829447,1.43475787919203
"US-Myb","Freshwater",82,0.605127330046593,2.62381031840463,0.163018365834309,0.403755329171405,0.15388129482504,16.0951823125957
"US-NC4","Freshwater",78,0.727518324179376,2.74379813144951,0.47802480284892,0.69139337778787,0.251984054461986,5.73986562014585
"US-NGC","Upland",19,0.407084695323169,6.22190861095147,2.36955150600284,1.53933476086355,0.247405556255535,2.62577479121655
"US-ONA","Upland",43,0.47862582659326,3.98914096998964,1.21418018869596,1.10189844754222,0.276224494404139,3.28546043423259
