"threshold","timescale","anomaly_class","metric","n_months","n_sites","mean_response","mean_abs_response","pct_decrease"
0.5,"SPEI_6","Dry","WUE_ET",604,55,0.0388963106294511,0.738884178365085,52.6490066225166
0.5,"SPEI_6","Dry","WUE_T",604,55,0.155767510383529,1.69095880438173,58.112582781457
0.5,"SPEI_6","Near-normal","WUE_ET",593,60,2.99086219534349e-17,0.832393949391554,53.4569983136594
0.5,"SPEI_6","Near-normal","WUE_T",593,60,-4.11887125493313e-18,1.88777869015933,61.2141652613828
0.5,"SPEI_6","Wet","WUE_ET",650,57,-0.00460325483184582,0.779480127862558,52.9230769230769
0.5,"SPEI_6","Wet","WUE_T",650,57,0.155027586810938,1.94037924561413,61.5384615384615
0.5,"SPEI_48","Dry","WUE_ET",573,47,-0.474059852549534,0.888409063258867,76.0907504363002
0.5,"SPEI_48","Dry","WUE_T",573,47,-0.711054528523047,1.89788843388455,75.21815008726
0.5,"SPEI_48","Near-normal","WUE_ET",576,55,1.75761218850706e-16,0.934487424295792,59.2013888888889
0.5,"SPEI_48","Near-normal","WUE_T",576,55,8.46159562170909e-17,2.06673737202808,65.7986111111111
0.5,"SPEI_48","Wet","WUE_ET",698,46,-0.307770071874439,0.726435638016313,69.1977077363897
0.5,"SPEI_48","Wet","WUE_T",698,46,-0.277170059387042,2.00694013188351,71.2034383954155
0.75,"SPEI_6","Dry","WUE_ET",456,52,-0.0526608684046359,0.718209671042836,57.2368421052632
0.75,"SPEI_6","Dry","WUE_T",456,52,-0.00400580888225126,1.64925405519,62.5
0.75,"SPEI_6","Near-normal","WUE_ET",908,63,1.32542043908994e-16,0.847096388419551,54.295154185022
0.75,"SPEI_6","Near-normal","WUE_T",908,63,1.79494207064948e-16,1.93006354722009,62.7753303964758
0.75,"SPEI_6","Wet","WUE_ET",483,56,-0.0284255055023243,0.732696928437881,53.6231884057971
0.75,"SPEI_6","Wet","WUE_T",483,56,0.190395980268088,1.87510852687428,61.4906832298137
0.75,"SPEI_48","Dry","WUE_ET",422,42,-0.336298937867464,0.843274445063126,70.1421800947867
0.75,"SPEI_48","Dry","WUE_T",422,42,-0.326968388857515,1.83887025121037,69.4312796208531
0.75,"SPEI_48","Near-normal","WUE_ET",876,59,-5.06951152796875e-18,0.89362660297883,56.3926940639269
0.75,"SPEI_48","Near-normal","WUE_T",876,59,3.28250871435977e-17,1.95038364148055,64.1552511415525
0.75,"SPEI_48","Wet","WUE_ET",549,41,-0.187544925508897,0.631962657282353,60.2914389799636
0.75,"SPEI_48","Wet","WUE_T",549,41,-0.0149322260952003,1.81367533795526,67.2131147540984
1,"SPEI_6","Dry","WUE_ET",337,48,-0.0191609219624081,0.69971818727638,54.3026706231454
1,"SPEI_6","Dry","WUE_T",337,48,0.0689761302942233,1.59780502727626,60.8308605341246
1,"SPEI_6","Near-normal","WUE_ET",1162,64,-1.84973474670766e-16,0.83682881801157,54.302925989673
1,"SPEI_6","Near-normal","WUE_T",1162,64,-1.98731832290906e-17,1.93316855334408,62.5645438898451
1,"SPEI_6","Wet","WUE_ET",348,53,0.000602731958274083,0.692498356259444,52.0114942528736
1,"SPEI_6","Wet","WUE_T",348,53,0.267024813252848,1.79820837406455,59.1954022988506
1,"SPEI_48","Dry","WUE_ET",300,32,-0.297077122486896,0.816085782473676,68.6666666666667
1,"SPEI_48","Dry","WUE_T",300,32,-0.304061510445055,1.77534980392305,68.6666666666667
1,"SPEI_48","Near-normal","WUE_ET",1114,59,9.48772279571947e-17,0.864050244971197,55.3859964093357
1,"SPEI_48","Near-normal","WUE_T",1114,59,8.70040126120073e-17,1.94749898412834,64.721723518851
1,"SPEI_48","Wet","WUE_ET",433,35,-0.16230872987886,0.616199674863966,58.1986143187067
1,"SPEI_48","Wet","WUE_T",433,35,0.0608677165619384,1.72814543109158,64.4341801385681
1.25,"SPEI_6","Dry","WUE_ET",211,45,-0.0727078612746912,0.678044326241539,54.5023696682464
1.25,"SPEI_6","Dry","WUE_T",211,45,0.0384601558021586,1.56303519702812,62.085308056872
1.25,"SPEI_6","Near-normal","WUE_ET",1402,64,6.77853715463006e-17,0.827074114000292,54.1369472182596
1.25,"SPEI_6","Near-normal","WUE_T",1402,64,-1.54575987451377e-16,1.92297519199444,62.6248216833096
1.25,"SPEI_6","Wet","WUE_ET",234,46,-0.0725096984144221,0.64879356207098,53.8461538461538
1.25,"SPEI_6","Wet","WUE_T",234,46,0.150515396546554,1.73259907216414,60.6837606837607
1.25,"SPEI_48","Dry","WUE_ET",217,27,-0.275063103194515,0.75898082364761,67.741935483871
1.25,"SPEI_48","Dry","WUE_T",217,27,-0.184658963876659,1.64359416009727,65.8986175115207
1.25,"SPEI_48","Near-normal","WUE_ET",1362,61,2.21718548236448e-16,0.822112293595899,54.4052863436123
1.25,"SPEI_48","Near-normal","WUE_T",1362,61,-1.73217615809725e-16,1.87881443595759,63.9500734214391
1.25,"SPEI_48","Wet","WUE_ET",268,30,-0.0815369937783311,0.655781347765092,50
1.25,"SPEI_48","Wet","WUE_T",268,30,0.355553533592137,1.88415110380719,53.7313432835821
1.5,"SPEI_6","Dry","WUE_ET",128,39,-0.0374069464076866,0.690164155597033,51.5625
1.5,"SPEI_6","Dry","WUE_T",128,39,0.234609384461779,1.59948681377146,60.9375
1.5,"SPEI_6","Near-normal","WUE_ET",1586,64,1.70523536443057e-16,0.805361730455797,54.1614123581337
1.5,"SPEI_6","Near-normal","WUE_T",1586,64,1.06402206647556e-16,1.86995545240728,62.1059268600252
