"threshold","model","n_total","n_anomaly","AIC","LRT","p_value"
0.5,"signed_response",7388,5050,29163.4419687737,11.182787457441,0.0245847508817238
0.5,"response_magnitude",7388,5050,18203.4440589227,6.85180880399275,0.0325198566621119
0.5,"response_direction",7388,5050,4487.38490909741,1.95161422437377,0.376888039841973
0.75,"signed_response",7388,3820,29171.5808318564,10.1064281069121,0.0386725716170028
0.75,"response_magnitude",7388,3820,13720.0810439403,4.68055227075638,0.0963010424338693
0.75,"response_direction",7388,3820,3592.67830884208,0.474751815363561,0.788694755869434
1,"signed_response",7388,2836,29182.0218923932,9.76104920783109,0.0446509976719909
1,"response_magnitude",7388,2836,10378.2848224529,5.55926507859294,0.0620613082798863
1,"response_direction",7388,2836,2757.57203530679,0.469223372468605,0.790877898784254
1.25,"signed_response",7388,1860,29174.3506136033,11.5602244994843,0.0209394865914589
1.25,"response_magnitude",7388,1860,7023.85195475956,3.92235641338448,0.14069255831626
1.25,"response_direction",7388,1860,1817.97309414293,0.869776751331074,0.647336921598325
1.5,"signed_response",7388,1198,29188.4520290401,9.99322020776526,0.0405420416845105
1.5,"response_magnitude",7388,1198,4528.36324777604,2.6904551947473,0.260480416454275
1.5,"response_direction",7388,1198,1250.57268696327,2.60226508124128,0.272223314423236
2,"signed_response",7388,316,29235.6564623856,4.38064642763493,0.356935216089043
2,"response_magnitude",7388,316,975.152473525062,0.270361755584304,0.873557890174682
2,"response_direction",7388,316,334.915457647588,6.11821064921969e-08,0.999999969408947
