"anomaly_class","timescale","metric","emmean","SE","df","asymp.LCL","asymp.UCL",".group"
"Near-normal","SPEI_6","WUE_ET",2.03529672546877,0.242336312625361,Inf,1.45666113040015,2.61393232053738,"a"
"Wet","SPEI_6","WUE_ET",2.11793009397298,0.255921920915331,Inf,1.50685562727151,2.72900456067446,"a"
"Dry","SPEI_6","WUE_ET",2.24509644163238,0.255657614717313,Inf,1.6346530688537,2.85553981441106,"a"
"Near-normal","SPEI_6","WUE_T",3.71763382982707,0.242336312625363,Inf,3.13899823475845,4.29626942489568,"a"
"Dry","SPEI_6","WUE_T",3.81363960170591,0.255657614717319,Inf,3.20319622892722,4.4240829744846,"a"
"Wet","SPEI_6","WUE_T",3.83171940413935,0.255921920915331,Inf,3.22064493743787,4.44279387084083,"a"
"Wet","SPEI_48","WUE_ET",2.04840662034863,0.260273859512853,Inf,1.42694086497564,2.66987237572161,"a"
"Near-normal","SPEI_48","WUE_ET",2.11763033876144,0.243323978873174,Inf,1.53663645557314,2.69862422194973,"a"
"Dry","SPEI_48","WUE_ET",2.18212233776769,0.259111608996982,Inf,1.56343173198571,2.80081294354966,"a"
"Dry","SPEI_48","WUE_T",3.54424338361684,0.259111608996986,Inf,2.92555277783486,4.16293398939882,"a"
"Wet","SPEI_48","WUE_T",3.7281420639511,0.260273859512853,Inf,3.10667630857812,4.34960781932409,"a"
"Near-normal","SPEI_48","WUE_T",3.78832179823346,0.243323978873174,Inf,3.20732791504516,4.36931568142176,"a"
