"contrast","timescale","metric","estimate","SE","df","z.ratio","p.value"
"Dry - (Near-normal)","SPEI_6","WUE_ET",0.209799716163613,0.105090377806402,Inf,1.9963741737622,0.113068842567326
"Dry - Wet","SPEI_6","WUE_ET",0.127166347659399,0.134355613688088,Inf,0.946490765578433,0.610803192929645
"(Near-normal) - Wet","SPEI_6","WUE_ET",-0.0826333685042148,0.10604027564827,Inf,-0.779263991903468,0.71578934261829
"Dry - (Near-normal)","SPEI_48","WUE_ET",0.0644919990062498,0.111730767945688,Inf,0.57720894783073,0.832303981489015
"Dry - Wet","SPEI_48","WUE_ET",0.133715717419062,0.146467206918859,Inf,0.912939628139005,0.632099200610158
"(Near-normal) - Wet","SPEI_48","WUE_ET",0.0692237184128124,0.116774605232899,Inf,0.592797708669195,0.823988463601735
"Dry - (Near-normal)","SPEI_6","WUE_T",0.0960057718788448,0.105090377806402,Inf,0.913554350862711,0.631709393356611
"Dry - Wet","SPEI_6","WUE_T",-0.0180798024334395,0.134355613688088,Inf,-0.134566780926717,0.990066464600464
"(Near-normal) - Wet","SPEI_6","WUE_T",-0.114085574312284,0.10604027564827,Inf,-1.07587021643267,0.529076149984117
"Dry - (Near-normal)","SPEI_48","WUE_T",-0.244078414616621,0.111730767945688,Inf,-2.18452284097132,0.0738216839056366
"Dry - Wet","SPEI_48","WUE_T",-0.183898680334263,0.14646720691886,Inf,-1.25556214392851,0.42050599406451
"(Near-normal) - Wet","SPEI_48","WUE_T",0.060179734282358,0.116774605232899,Inf,0.515349498825823,0.863861494864911
