"threshold_pct","timescale","anomaly_class","metric","water_class","n_months","n_sites","pct_decrease","mean_response_pct","median_response_pct"
0,"SPEI_48","Dry","WUE_ET","Freshwater",99,9,71.7171717171717,-29.4268363230044,-25.0108735371855
0,"SPEI_48","Dry","WUE_ET","Saline",96,8,92.7083333333333,-38.5203257726338,-41.4699613768749
0,"SPEI_48","Dry","WUE_ET","Upland",105,15,43.8095238095238,12.2478410143782,4.24011297953954
0,"SPEI_48","Dry","WUE_T","Freshwater",99,9,75.7575757575758,-31.1932063195777,-29.6666218478118
0,"SPEI_48","Dry","WUE_T","Saline",96,8,84.375,-30.277462534525,-38.1708566218874
0,"SPEI_48","Dry","WUE_T","Upland",105,15,47.6190476190476,23.3541833229602,4.31953094764462
0,"SPEI_48","Wet","WUE_ET","Freshwater",208,15,61.5384615384615,-9.68694756187268,-6.16689049257658
0,"SPEI_48","Wet","WUE_ET","Saline",97,8,60.8247422680412,-2.82035208134035,-13.6430480141714
0,"SPEI_48","Wet","WUE_ET","Upland",128,12,50.78125,-9.60842782641638,-0.380909185970695
0,"SPEI_48","Wet","WUE_T","Freshwater",208,15,67.7884615384615,-1.55063079376632,-10.3807783609625
0,"SPEI_48","Wet","WUE_T","Saline",97,8,51.5463917525773,31.4333150688686,-6.27874706633292
0,"SPEI_48","Wet","WUE_T","Upland",128,12,68.75,-12.2950158235103,-13.5040962180979
0,"SPEI_6","Dry","WUE_ET","Freshwater",98,12,44.8979591836735,-2.55654667307637,3.68609651649796
0,"SPEI_6","Dry","WUE_ET","Saline",91,13,64.8351648351648,-10.2993625442062,-23.2343963642539
0,"SPEI_6","Dry","WUE_ET","Upland",148,23,54.0540540540541,3.796875990611,-2.50748224845235
0,"SPEI_6","Dry","WUE_T","Freshwater",98,12,54.0816326530612,-4.38758645271898,-3.41690386609747
0,"SPEI_6","Dry","WUE_T","Saline",91,13,69.2307692307692,-5.77180360456611,-18.6993145554861
0,"SPEI_6","Dry","WUE_T","Upland",148,23,60.1351351351351,7.92474208017228,-11.5695559496226
0,"SPEI_6","Wet","WUE_ET","Freshwater",165,19,49.0909090909091,-1.77908089565042,1.32871618442224
0,"SPEI_6","Wet","WUE_ET","Saline",73,13,56.1643835616438,11.1386433484691,-6.77917321162366
0,"SPEI_6","Wet","WUE_ET","Upland",110,21,53.6363636363636,-3.23949895513132,-1.71334876608722
0,"SPEI_6","Wet","WUE_T","Freshwater",165,19,51.5151515151515,14.2374898425929,-1.81474227784425
0,"SPEI_6","Wet","WUE_T","Saline",73,13,58.9041095890411,17.4897084237905,-17.2370435301368
0,"SPEI_6","Wet","WUE_T","Upland",110,21,70.9090909090909,-4.40690902685175,-15.0885994259236
5,"SPEI_48","Dry","WUE_ET","Freshwater",99,9,66.6666666666667,-29.4268363230044,-25.0108735371855
5,"SPEI_48","Dry","WUE_ET","Saline",96,8,92.7083333333333,-38.5203257726338,-41.4699613768749
5,"SPEI_48","Dry","WUE_ET","Upland",105,15,35.2380952380952,12.2478410143782,4.24011297953954
5,"SPEI_48","Dry","WUE_T","Freshwater",99,9,74.7474747474748,-31.1932063195777,-29.6666218478118
5,"SPEI_48","Dry","WUE_T","Saline",96,8,80.2083333333333,-30.277462534525,-38.1708566218874
5,"SPEI_48","Dry","WUE_T","Upland",105,15,42.8571428571429,23.3541833229602,4.31953094764462
5,"SPEI_48","Wet","WUE_ET","Freshwater",208,15,50.9615384615385,-9.68694756187268,-6.16689049257658
5,"SPEI_48","Wet","WUE_ET","Saline",97,8,56.701030927835,-2.82035208134035,-13.6430480141714
5,"SPEI_48","Wet","WUE_ET","Upland",128,12,42.96875,-9.60842782641638,-0.380909185970695
5,"SPEI_48","Wet","WUE_T","Freshwater",208,15,57.6923076923077,-1.55063079376632,-10.3807783609625
5,"SPEI_48","Wet","WUE_T","Saline",97,8,51.5463917525773,31.4333150688686,-6.27874706633292
