"timescale","metric","water_class","n","slope","cor"
"SPEI_48","WUE_ET","Freshwater",621,0.0974448258342965,0.109271777339983
"SPEI_48","WUE_ET","Saline",441,0.21699326878015,0.254268493554746
"SPEI_48","WUE_ET","Upland",785,-0.161320613556412,-0.12350234198685
"SPEI_48","WUE_T","Freshwater",621,0.281379230878779,0.114277746679591
"SPEI_48","WUE_T","Saline",441,0.735605028144284,0.316209329835229
"SPEI_48","WUE_T","Upland",785,-0.47000144575811,-0.138378452686331
"SPEI_6","WUE_ET","Freshwater",621,-0.0103489808973499,-0.010719057958448
"SPEI_6","WUE_ET","Saline",441,0.0945264083839956,0.105811108189855
"SPEI_6","WUE_ET","Upland",785,-0.0871685179686053,-0.0670554660310149
"SPEI_6","WUE_T","Freshwater",621,0.175033547245294,0.0656599783286462
"SPEI_6","WUE_T","Saline",441,0.261360319117127,0.107325139215345
"SPEI_6","WUE_T","Upland",785,-0.321811711474162,-0.0952051224887964
