"timescale","anomaly_class","metric","water_class","n_months","pct_decrease"
"SPEI_6","Dry","WUE_ET","Upland",104,53.8461538461538
"SPEI_6","Dry","WUE_ET","Freshwater",68,41.1764705882353
"SPEI_6","Dry","WUE_ET","Saline",54,48.1481481481481
"SPEI_6","Dry","WUE_T","Upland",104,48.0769230769231
"SPEI_6","Dry","WUE_T","Freshwater",68,42.6470588235294
"SPEI_6","Dry","WUE_T","Saline",54,48.1481481481481
"SPEI_6","Wet","WUE_ET","Upland",82,29.2682926829268
"SPEI_6","Wet","WUE_ET","Freshwater",102,54.9019607843137
"SPEI_6","Wet","WUE_ET","Saline",46,39.1304347826087
"SPEI_6","Wet","WUE_T","Upland",82,43.9024390243902
"SPEI_6","Wet","WUE_T","Freshwater",102,47.0588235294118
"SPEI_6","Wet","WUE_T","Saline",46,52.1739130434783
"SPEI_48","Dry","WUE_ET","Upland",61,42.6229508196721
"SPEI_48","Dry","WUE_ET","Freshwater",82,68.2926829268293
"SPEI_48","Dry","WUE_ET","Saline",52,88.4615384615385
"SPEI_48","Dry","WUE_T","Upland",61,50.8196721311475
"SPEI_48","Dry","WUE_T","Freshwater",82,63.4146341463415
"SPEI_48","Dry","WUE_T","Saline",52,90.3846153846154
"SPEI_48","Wet","WUE_ET","Upland",48,62.5
"SPEI_48","Wet","WUE_ET","Freshwater",119,51.2605042016807
"SPEI_48","Wet","WUE_ET","Saline",43,51.1627906976744
"SPEI_48","Wet","WUE_T","Upland",48,66.6666666666667
"SPEI_48","Wet","WUE_T","Freshwater",119,57.1428571428571
"SPEI_48","Wet","WUE_T","Saline",43,46.5116279069767
