"site_name","Year","month","water_class","timescale","anomaly_class","SPEI_value","metric","WUE_value","baseline_mean","WUE_response","WUE_response_magnitude","response_direction","wue_fitted","wue_residual"
"US-A03",2015,6,"Saline","SPEI_6","Near-normal",-0.422071359747392,"WUE_ET",0.920646308230748,1.18138645667007,-0.260740148439327,0.260740148439327,"Decrease",4.43207409284809,-3.51142778461734
"US-A03",2015,8,"Saline","SPEI_6","Near-normal",0.11424252925883,"WUE_ET",1.96051102697461,2.28619459440613,-0.325683567431518,0.325683567431518,"Decrease",4.91358061605435,-2.95306958907974
"US-A03",2016,6,"Saline","SPEI_6","Near-normal",0.258773694964194,"WUE_ET",1.09136976427546,1.18138645667007,-0.0900166923946157,0.0900166923946157,"Decrease",4.17049794852006,-3.0791281842446
"US-A03",2016,7,"Saline","SPEI_6","Near-normal",-0.552201951178183,"WUE_ET",2.81706169310053,2.63249954505607,0.184562148044459,0.184562148044459,"Increase_or_no_decrease",4.23760958391457,-1.42054789081403
"US-A03",2016,8,"Saline","SPEI_6","Near-normal",0.646104679669091,"WUE_ET",2.36726762968588,2.28619459440613,0.081073035279756,0.081073035279756,"Increase_or_no_decrease",4.58745411967838,-2.2201864899925
"US-A03",2017,7,"Saline","SPEI_6","Near-normal",-0.0640310932254368,"WUE_ET",2.48466920801306,2.63249954505607,-0.147830337043009,0.147830337043009,"Decrease",4.63598149601205,-2.15131228799899
"US-A03",2017,8,"Saline","SPEI_6","Near-normal",0.962883486186592,"WUE_ET",2.64419070221055,2.28619459440613,0.357996107804419,0.357996107804419,"Increase_or_no_decrease",4.94417929362596,-2.29998859141541
"US-A03",2018,7,"Saline","SPEI_6","Wet",1.0253086101651,"WUE_ET",1.97073767835108,2.63249954505607,-0.66176186670499,0.66176186670499,"Decrease",5.11843861559739,-3.1477009372463
"US-A03",2018,8,"Saline","SPEI_6","Wet",1.18976227513517,"WUE_ET",2.81944795908051,2.28619459440613,0.533253364674385,0.533253364674385,"Increase_or_no_decrease",5.03430089731445,-2.21485293823394
"US-A03",2019,6,"Saline","SPEI_6","Near-normal",0.248789470975836,"WUE_ET",1.19962030176837,1.18138645667007,0.0182338450982913,0.0182338450982913,"Increase_or_no_decrease",4.25764507875544,-3.05802477698707
"US-A03",2019,7,"Saline","SPEI_6","Near-normal",0.967330806178803,"WUE_ET",2.59576773405462,2.63249954505607,-0.0367318110014514,0.0367318110014514,"Decrease",4.35045729955285,-1.75468956549823
"US-A03",2019,8,"Saline","SPEI_6","Wet",1.97563756872387,"WUE_ET",4.02932495738674,2.28619459440613,1.74313036298061,1.74313036298061,"Increase_or_no_decrease",5.06553145912156,-1.03620650173482
"US-A03",2020,6,"Saline","SPEI_6","Near-normal",-0.736119548759497,"WUE_ET",1.51390945240573,1.18138645667007,0.332522995735651,0.332522995735651,"Increase_or_no_decrease",4.21513005711439,-2.70122060470867
"US-A03",2020,8,"Saline","SPEI_6","Near-normal",0.468843622434919,"WUE_ET",2.17280901875347,2.28619459440613,-0.113385575652657,0.113385575652657,"Decrease",4.97857824144456,-2.80576922269109
"US-A03",2021,6,"Saline","SPEI_6","Dry",-1.57829716351308,"WUE_ET",0.587150168377475,1.18138645667007,-0.5942362882926,0.5942362882926,"Decrease",4.62731484667419,-4.04016467829671
"US-A10",2012,6,"Saline","SPEI_6","Near-normal",0.263402527107508,"WUE_ET",0.547507532015223,0.80583330909744,-0.258325777082217,0.258325777082217,"Decrease",2.34415435502516,-1.79664682300993
"US-A10",2012,7,"Saline","SPEI_6","Near-normal",-0.635482149276663,"WUE_ET",2.27800494557414,3.0386534491789,-0.760648503604764,0.760648503604764,"Decrease",2.763364041795,-0.485359096220865
"US-A10",2012,8,"Saline","SPEI_6","Near-normal",-0.69866504574266,"WUE_ET",2.68353334589201,2.89382783852184,-0.21029449262983,0.21029449262983,"Decrease",2.83841824692372,-0.154884901031714
"US-A10",2013,6,"Saline","SPEI_6","Near-normal",0.18434681109619,"WUE_ET",0.846520327418389,0.80583330909744,0.0406870183209486,0.0406870183209486,"Increase_or_no_decrease",2.82728543357651,-1.98076510615812
"US-A10",2013,7,"Saline","SPEI_6","Wet",1.39664894814833,"WUE_ET",2.39801575061098,3.0386534491789,-0.640637698567918,0.640637698567918,"Decrease",3.04620935123897,-0.648193600627989
"US-A10",2013,8,"Saline","SPEI_6","Wet",1.66877239280107,"WUE_ET",3.47446097211409,2.89382783852184,0.580633133592253,0.580633133592253,"Increase_or_no_decrease",3.27077364758417,0.203687324529919
"US-A10",2014,6,"Saline","SPEI_6","Wet",1.28931830149846,"WUE_ET",0.69820816915131,0.80583330909744,-0.10762513994613,0.10762513994613,"Decrease",2.42635007824616,-1.72814190909485
"US-A10",2014,7,"Saline","SPEI_6","Wet",1.27201387467247,"WUE_ET",1.3536944639247,3.0386534491789,-1.6849589852542,1.6849589852542,"Decrease",2.54099830085034,-1.18730383692565
"US-A10",2014,8,"Saline","SPEI_6","Near-normal",0.633101179162728,"WUE_ET",3.27562848571606,2.89382783852184,0.381800647194218,0.381800647194218,"Increase_or_no_decrease",2.7749224725751,0.500706013140953
"US-A10",2015,6,"Saline","SPEI_6","Wet",1.47461612240282,"WUE_ET",1.90272483890077,0.80583330909744,1.09689152980333,1.09689152980333,"Increase_or_no_decrease",2.3565470893733,-0.453822250472522
"US-A10",2015,7,"Saline","SPEI_6","Near-normal",0.314507263650445,"WUE_ET",3.60318115829768,3.0386534491789,0.564527709118782,0.564527709118782,"Increase_or_no_decrease",2.2332417054971,1.36993945280059
"US-A10",2015,8,"Saline","SPEI_6","Near-normal",0.732552117897869,"WUE_ET",2.73327434740395,2.89382783852184,-0.16055349111789,0.16055349111789,"Decrease",2.72001275284081,0.0132615945631405
"US-A10",2016,6,"Saline","SPEI_6","Near-normal",-0.478116963367879,"WUE_ET",0.532433938473203,0.80583330909744,-0.273399370624238,0.273399370624238,"Decrease",1.89005726521186,-1.35762332673865
"US-A10",2016,7,"Saline","SPEI_6","Near-normal",-0.566478239267639,"WUE_ET",3.22003623682042,3.0386534491789,0.181382787641518,0.181382787641518,"Increase_or_no_decrease",2.04085594334688,1.17918029347354
"US-A10",2016,8,"Saline","SPEI_6","Near-normal",-0.87806194506445,"WUE_ET",2.72113693013557,2.89382783852184,-0.172690908386266,0.172690908386266,"Decrease",2.62956402215323,0.0915729079823393
"US-A10",2017,6,"Saline","SPEI_6","Wet",1.29048601936718,"WUE_ET",1.96752729302151,0.80583330909744,1.16169398392407,1.16169398392407,"Increase_or_no_decrease",1.91765251753146,0.0498747754900435
"US-A10",2017,7,"Saline","SPEI_6","Wet",1.18773637480628,"WUE_ET",2.98434080420669,3.0386534491789,-0.0543126449722098,0.0543126449722098,"Decrease",2.42473887267146,0.559601931535229
