"site_name","timescale","metric","month_f","baseline_mean","baseline_median","baseline_n"
"US-A03","SPEI_6","WUE_ET","6",1.18138645667007,1.14549503302191,4
"US-A03","SPEI_6","WUE_ET","7",2.63249954505607,2.59576773405462,3
"US-A03","SPEI_6","WUE_ET","8",2.28619459440613,2.27003832421968,4
"US-A03","SPEI_6","WUE_T","6",3.94208453732923,3.80478549482219,4
"US-A03","SPEI_6","WUE_T","7",8.49950163687046,7.83410425572915,3
"US-A03","SPEI_6","WUE_T","8",10.3544503746945,10.2766774883561,4
"US-A03","SPEI_48","WUE_ET","6",1.0060080362531,1.0060080362531,2
"US-A03","SPEI_48","WUE_ET","7",2.42415619315489,2.48466920801306,3
"US-A03","SPEI_48","WUE_ET","8",2.61030209699231,2.64419070221055,3
"US-A03","SPEI_48","WUE_T","6",3.48976874345822,3.48976874345822,2
"US-A03","SPEI_48","WUE_T","7",9.38625705831589,9.90780959340655,3
"US-A03","SPEI_48","WUE_T","8",10.7105443172871,11.2671864297954,3
"US-A10","SPEI_6","WUE_ET","6",0.80583330909744,0.547507532015223,5
"US-A10","SPEI_6","WUE_ET","7",3.0386534491789,3.13186728158736,6
"US-A10","SPEI_6","WUE_ET","8",2.89382783852184,2.72720563876976,6
"US-A10","SPEI_6","WUE_T","6",1.66718676017531,1.05155715318811,5
"US-A10","SPEI_6","WUE_T","7",5.446109274984,5.39795664669525,6
"US-A10","SPEI_6","WUE_T","8",5.79278659939897,5.50984721645345,6
"US-A10","SPEI_48","WUE_ET","6",1.10382590763316,0.69820816915131,7
"US-A10","SPEI_48","WUE_ET","7",2.47893319593217,2.39801575061098,7
"US-A10","SPEI_48","WUE_ET","8",3.08687519491271,3.27562848571606,5
"US-A10","SPEI_48","WUE_T","6",2.14814709312946,1.2236129365444,7
"US-A10","SPEI_48","WUE_T","7",4.4095696059793,4.86704145608227,7
"US-A10","SPEI_48","WUE_T","8",6.55754333211764,6.64182190513595,5
"US-Atq","SPEI_6","WUE_ET","5",0.46490111561799,0.303285843987595,3
"US-Atq","SPEI_6","WUE_ET","6",0.757058004048022,0.450073082637501,7
"US-Atq","SPEI_6","WUE_ET","7",0.895084701977832,0.741981862418023,8
"US-Atq","SPEI_6","WUE_ET","8",0.92707070507405,0.868099602536919,7
"US-Atq","SPEI_6","WUE_T","5",0.991919694982439,0.517853776119225,3
"US-Atq","SPEI_6","WUE_T","6",1.73084412854197,0.841926264224459,7
"US-Atq","SPEI_6","WUE_T","7",1.80445653537018,1.18225553355211,8
"US-Atq","SPEI_6","WUE_T","8",2.13198869228564,1.91508678618568,7
"US-Atq","SPEI_48","WUE_ET","5",0.514361854831923,0.303285843987595,3
"US-Atq","SPEI_48","WUE_ET","6",0.851853000013816,0.665094932219751,6
"US-Atq","SPEI_48","WUE_ET","7",0.94702660779944,0.741981862418023,6
"US-Atq","SPEI_48","WUE_ET","8",0.876873762344271,0.823962152222421,6
"US-Atq","SPEI_48","WUE_T","5",1.06940827636576,0.517853776119225,3
"US-Atq","SPEI_48","WUE_T","6",1.97283452694987,1.13864822589623,6
"US-Atq","SPEI_48","WUE_T","7",1.98067288447702,1.18225553355211,6
"US-Atq","SPEI_48","WUE_T","8",2.0638502568535,1.68656074903081,6
"US-Brw","SPEI_6","WUE_ET","6",0.972286094307281,0.56055225824049,5
"US-Brw","SPEI_6","WUE_ET","7",1.5541238737261,1.58510606136392,5
"US-Brw","SPEI_6","WUE_ET","8",1.96103810021219,2.05737623674448,8
"US-Brw","SPEI_6","WUE_T","6",2.4066034880876,1.65041516859207,5
"US-Brw","SPEI_6","WUE_T","7",2.39568220211793,2.56300187675276,5
"US-Brw","SPEI_6","WUE_T","8",3.52934663246243,3.75999786858353,8
"US-Brw","SPEI_48","WUE_ET","6",0.920651826494099,0.443502663694914,9
"US-Brw","SPEI_48","WUE_ET","7",1.73547540690023,1.70527718155708,8
"US-Brw","SPEI_48","WUE_ET","8",1.96103810021219,2.05737623674448,8
"US-Brw","SPEI_48","WUE_T","6",1.94124556605774,1.21990876080393,9
"US-Brw","SPEI_48","WUE_T","7",2.73451475358346,2.5965423214744,8
"US-Brw","SPEI_48","WUE_T","8",3.52934663246243,3.75999786858353,8
