"term","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-15.096354459424,18.8226602971198,-0.802030861797683,0.422535106284955
"metricWUE_T",-0.248378230617843,0.28795757184569,-0.862551482934935,0.388384115482533
"timescaleSPEI_48",-0.342389514586311,0.353261156971558,-0.96922491428594,0.332432982944443
"anomaly_classWet",-0.933703830535407,0.332703436207323,-2.80641474936127,0.00500961663261345
"water_classFreshwater",-0.176383096534759,0.414133771268731,-0.425908507761624,0.670174515289482
"water_classSaline",-0.371783296396835,0.449937059684417,-0.82630067560472,0.408633550350962
"Trans_ratio_z",0.210600589363287,0.0895979710762735,2.35050623170926,0.0187478937269159
"month_f2",16.3176465984183,18.8262082521572,0.866751625173837,0.386078112539717
"month_f3",15.3137081070167,18.8227194863027,0.813575749145099,0.415888035244115
"month_f4",14.9782725638388,18.8224946696223,0.795764473665243,0.426168944491824
"month_f5",15.291696934075,18.8220121768122,0.81243688455975,0.416540988837998
"month_f6",15.1521269170556,18.8221031082931,0.805017740572229,0.420809442432598
"month_f7",15.1049371908926,18.8221125496662,0.802510193849652,0.422257894100886
"month_f8",15.0976745856022,18.8221280314225,0.802123679129027,0.422481418900055
"month_f9",14.6315246015243,18.8222697949773,0.77735176261413,0.436951263547925
"month_f10",15.667617747237,18.8228876631038,0.832370570746605,0.405199808070625
"metricWUE_T:timescaleSPEI_48",0.620625521026904,0.482138990222954,1.28723362684256,0.198012869929443
"metricWUE_T:anomaly_classWet",0.92950757186188,0.445863158280362,2.08473733386466,0.0370931498068978
"timescaleSPEI_48:anomaly_classWet",1.89038625553955,0.538065729150791,3.51329986862958,0.000442577682215403
"metricWUE_T:water_classFreshwater",0.315861212035228,0.466755093671138,0.676717225624482,0.498585385086918
"metricWUE_T:water_classSaline",0.248378092760641,0.501326633905825,0.495441646149003,0.620288403484632
"timescaleSPEI_48:water_classFreshwater",1.34324583542109,0.508448768699331,2.6418508965166,0.00824543461270738
"timescaleSPEI_48:water_classSaline",2.40299755858929,0.641761884779604,3.74437562525941,0.000180842932280393
"anomaly_classWet:water_classFreshwater",1.50231867295043,0.474362061158441,3.16702956657539,0.00154004659625381
"anomaly_classWet:water_classSaline",0.899764297987023,0.566010937634223,1.58965885314478,0.111911723267975
"metricWUE_T:timescaleSPEI_48:anomaly_classWet",-1.10450123632157,0.738802875923496,-1.49498773260859,0.134917643739957
"metricWUE_T:timescaleSPEI_48:water_classFreshwater",-0.925822297933814,0.697507826656263,-1.32732890234659,0.184399907092163
"metricWUE_T:timescaleSPEI_48:water_classSaline",-0.407709040520837,0.909446183242735,-0.44830474637554,0.653933275639095
"metricWUE_T:anomaly_classWet:water_classFreshwater",-1.35043084659343,0.650057074809274,-2.07740350643771,0.037764332844375
"metricWUE_T:anomaly_classWet:water_classSaline",-0.325632668634195,0.755355020135864,-0.431098834261569,0.666396508230296
"timescaleSPEI_48:anomaly_classWet:water_classFreshwater",-3.21257709443125,0.713327746434562,-4.50364802222923,6.67968040986479e-06
"timescaleSPEI_48:anomaly_classWet:water_classSaline",-3.16686879683174,0.88641197536369,-3.572682776011,0.000353342697351213
"metricWUE_T:timescaleSPEI_48:anomaly_classWet:water_classFreshwater",2.02683295936581,0.982120152915473,2.06373217507966,0.039043116931125
"metricWUE_T:timescaleSPEI_48:anomaly_classWet:water_classSaline",0.0834340728198888,1.24433621094562,0.0670510687432975,0.946541047663605
