"term","Estimate","Std. Error","t value"
"(Intercept)",0.98942437136735,0.282437330215832,3.50316429705399
"metricWUE_T",0.693196488588242,0.0959661607486398,7.22334292817969
"timescaleSPEI_48",-0.375102359865265,0.117363345936499,-3.19607759025735
"anomaly_classWet",-0.171864808268521,0.107276403131493,-1.60207467114515
"water_classFreshwater",-0.395426350618219,0.243577595189697,-1.62341019218234
"water_classSaline",-0.233109538269357,0.255155420928792,-0.913598219551106
"Trans_ratio_z",-0.178715987114582,0.0357940585786198,-4.99289530752825
"month_f2",-0.262623156311591,0.251625728180036,-1.04370549947773
"month_f3",-0.0553776227869718,0.243525137045026,-0.227400027196095
"month_f4",-0.204051383503841,0.242399232314007,-0.841798802561845
"month_f5",-0.233775809747359,0.242610847945091,-0.963583498954953
"month_f6",-0.0433728083564774,0.244196147967154,-0.177614629540804
"month_f7",-0.165826003885454,0.24491702992096,-0.677070124274207
"month_f8",-0.168831130055567,0.245634661229023,-0.687326166473522
"month_f9",-0.215433352236083,0.2462228712396,-0.87495264412884
"month_f10",-0.425232775229726,0.249376050558524,-1.70518690258081
"metricWUE_T:timescaleSPEI_48",0.458582314838769,0.157832041951302,2.90550834399178
"metricWUE_T:anomaly_classWet",-0.17779043531723,0.144533216101431,-1.23010087309245
"timescaleSPEI_48:anomaly_classWet",0.65514688368734,0.174666728772187,3.75083960347039
"metricWUE_T:water_classFreshwater",-0.540551417935547,0.152625776941676,-3.54167840300078
"metricWUE_T:water_classSaline",-0.163934272820225,0.164153362878637,-0.998665333109417
"timescaleSPEI_48:water_classFreshwater",0.319772074445918,0.165329453720094,1.93415067461179
"timescaleSPEI_48:water_classSaline",0.533571675785398,0.180834032413717,2.95061537180501
"anomaly_classWet:water_classFreshwater",0.213581961895695,0.153747088356125,1.38917727925341
"anomaly_classWet:water_classSaline",0.0413616779710745,0.185312961320633,0.223199055674846
"metricWUE_T:timescaleSPEI_48:anomaly_classWet",-0.277158983107614,0.237792399724591,-1.16555021703224
"metricWUE_T:timescaleSPEI_48:water_classFreshwater",-0.343138946203343,0.225114246089676,-1.52428801003847
"metricWUE_T:timescaleSPEI_48:water_classSaline",-0.829585006400805,0.247116944015818,-3.3570543278801
"metricWUE_T:anomaly_classWet:water_classFreshwater",0.309113963257123,0.210630142319778,1.46756755634636
"metricWUE_T:anomaly_classWet:water_classSaline",0.18509420150968,0.243819934411595,0.759143020673696
"timescaleSPEI_48:anomaly_classWet:water_classFreshwater",-0.608974777923026,0.230596166636416,-2.64087121137276
"timescaleSPEI_48:anomaly_classWet:water_classSaline",-0.962702836914171,0.267688702785054,-3.59635213177895
"metricWUE_T:timescaleSPEI_48:anomaly_classWet:water_classFreshwater",0.127350189459959,0.315831316323408,0.403222172336936
"metricWUE_T:timescaleSPEI_48:anomaly_classWet:water_classSaline",0.873989375789534,0.368506027732202,2.37170985008873
