"anomaly_class","timescale","metric","emmean","SE","df","asymp.LCL","asymp.UCL",".group"
"Near-normal","SPEI_6","WUE_ET",-0.133537953777816,0.0751391706585827,Inf,-0.312950598362394,0.0458746908067616,"a"
"Wet","SPEI_6","WUE_ET",-0.0954869803994348,0.0998434079210711,Inf,-0.333886868266843,0.142912907467973,"a"
"Dry","SPEI_6","WUE_ET",-0.0111171815519658,0.099418578406974,Inf,-0.248502687893018,0.226268324789087,"a"
"Near-normal","SPEI_6","WUE_T",-0.133537953777816,0.0751391706585828,Inf,-0.312950598362394,0.0458746908067624,"a"
"Wet","SPEI_6","WUE_T",0.00263122209863949,0.0998434079210713,Inf,-0.235768665768769,0.241031109966048,"ab"
"Dry","SPEI_6","WUE_T",0.207717490429653,0.0994185784069739,Inf,-0.0296680159113988,0.445102996770705,"b"
"Wet","SPEI_48","WUE_ET",-0.251742848194072,0.106646349112611,Inf,-0.506386376488035,0.00290068009989014,"a"
"Dry","SPEI_48","WUE_ET",-0.164866786749687,0.104749271811412,Inf,-0.414980591696876,0.0852470181975011,"a"
"Near-normal","SPEI_48","WUE_ET",-0.127180599505782,0.0769913491589182,Inf,-0.311015760869229,0.0566545618576643,"a"
"Dry","SPEI_48","WUE_T",-0.371566180022605,0.104749271811413,Inf,-0.621679984969794,-0.121452375075416,"a"
"Wet","SPEI_48","WUE_T",-0.226348993006265,0.106646349112611,Inf,-0.480992521300228,0.0282945352876976,"ab"
"Near-normal","SPEI_48","WUE_T",-0.127180599505782,0.0769913491589177,Inf,-0.311015760869228,0.0566545618576631,"b"
