"contrast","timescale","metric","estimate","SE","df","z.ratio","p.value"
"Dry - (Near-normal)","SPEI_6","WUE_ET",0.12242077222585,0.083989786129438,Inf,1.45756737655202,0.311554360221782
"Dry - Wet","SPEI_6","WUE_ET",0.084369798847469,0.107345552412467,Inf,0.785964550476062,0.711672918724641
"(Near-normal) - Wet","SPEI_6","WUE_ET",-0.0380509733783811,0.0847226827384434,Inf,-0.449123801896741,0.894793360018979
"Dry - (Near-normal)","SPEI_48","WUE_ET",-0.0376861872439049,0.0892752594283327,Inf,-0.422134726745412,0.906459760659839
"Dry - Wet","SPEI_48","WUE_ET",0.0868760614443851,0.116926707730189,Inf,0.742995874345947,0.737857514440785
"(Near-normal) - Wet","SPEI_48","WUE_ET",0.12456224868829,0.0931826960733994,Inf,1.3367530017609,0.374734518006674
"Dry - (Near-normal)","SPEI_6","WUE_T",0.341255444207469,0.0839897861294378,Inf,4.06305885434159,0.000143272771902181
"Dry - Wet","SPEI_6","WUE_T",0.205086268331014,0.107345552412467,Inf,1.91052413185211,0.135659987767142
"(Near-normal) - Wet","SPEI_6","WUE_T",-0.136169175876455,0.0847226827384434,Inf,-1.60723399537333,0.24251975527867
"Dry - (Near-normal)","SPEI_48","WUE_T",-0.244385580516822,0.0892752594283327,Inf,-2.73743904057772,0.0170379189138754
"Dry - Wet","SPEI_48","WUE_T",-0.14521718701634,0.116926707730189,Inf,-1.24195053324713,0.428410288318625
"(Near-normal) - Wet","SPEI_48","WUE_T",0.0991683935004825,0.0931826960733993,Inf,1.06423614768957,0.536354022827773
