"term","Estimate","Std. Error","t value"
"(Intercept)",0.251370835118221,0.316255315776278,0.794835130284556
"metricWUE_T",0.312081706971167,0.14970463232832,2.08464963386527
"timescaleSPEI_48",0.127846061963947,0.175909974944373,0.726769826465921
"anomaly_classNear-normal",-0.168146930382852,0.118192882660294,-1.42264852669795
"anomaly_classWet",-0.0320377064731923,0.161146446372874,-0.1988111261173
"water_classFreshwater",-0.0199323212786787,0.215453186395024,-0.092513467134961
"water_classSaline",-0.158201888771216,0.229272044159136,-0.69001822420796
"Trans_ratio_z",-0.436455140641962,0.0273505923582102,-15.9577948047968
"month_f2",-0.345567470766768,0.299047020655431,-1.15556232598264
"month_f3",-0.17850556988247,0.28968534489236,-0.616205041193223
"month_f4",-0.108492514887339,0.288419626579981,-0.376162039226733
"month_f5",-0.14212484398361,0.288177232564037,-0.493185539742554
"month_f6",-0.0881651844543551,0.288745671490209,-0.305338549316902
"month_f7",-0.109904144972635,0.289394236522889,-0.379773095321968
"month_f8",-0.0710816633185647,0.289743875448101,-0.245325852733329
"month_f9",-0.0925785389757353,0.290078081168217,-0.319150411512991
"month_f10",-0.260329822114646,0.293234068381996,-0.887788460430577
"metricWUE_T:timescaleSPEI_48",-0.823458600953919,0.246213744778598,-3.34448672511924
"metricWUE_T:anomaly_classNear-normal",-0.312081706971166,0.166036441642879,-1.879597658702
"metricWUE_T:anomaly_classWet",-0.294404559978942,0.225467933768529,-1.30574913717524
"timescaleSPEI_48:anomaly_classNear-normal",-0.128934468076562,0.190665998911782,-0.676232095981717
"timescaleSPEI_48:anomaly_classWet",-0.607910009678546,0.264734904769058,-2.29629715888374
"metricWUE_T:water_classFreshwater",-0.34442001842633,0.238092111246636,-1.4465830750249
"metricWUE_T:water_classSaline",0.064678913457686,0.256074835582625,0.252578170402913
"timescaleSPEI_48:water_classFreshwater",-0.373910014353768,0.2506957301398,-1.49148936100849
"timescaleSPEI_48:water_classSaline",-0.470876987131237,0.274684477059502,-1.71424680481393
"anomaly_classNear-normal:water_classFreshwater",0.0835905144505666,0.18875419456303,0.442853811244198
"anomaly_classWet:water_classFreshwater",-0.221117660048434,0.234152529721936,-0.944331715361002
"anomaly_classNear-normal:water_classSaline",0.053587960020438,0.204303540472185,0.26229579720736
"anomaly_classWet:water_classSaline",0.0641213829256035,0.27318308962842,0.234719444065226
"metricWUE_T:timescaleSPEI_48:anomaly_classNear-normal",0.823458600953917,0.26631385782547,3.09206065233591
"metricWUE_T:timescaleSPEI_48:anomaly_classWet",0.678588099939513,0.370949754512748,1.82932618686015
"metricWUE_T:timescaleSPEI_48:water_classFreshwater",0.873263822373806,0.351172175481651,2.48671131525748
"metricWUE_T:timescaleSPEI_48:water_classSaline",0.320509784724342,0.385495793073188,0.831422263182757
"metricWUE_T:anomaly_classNear-normal:water_classFreshwater",0.344420018426329,0.264672431838798,1.30130673615491
"metricWUE_T:anomaly_classWet:water_classFreshwater",0.287783529340332,0.328577362762645,0.875847097075334
"metricWUE_T:anomaly_classNear-normal:water_classSaline",-0.0646789134576873,0.285785999303363,-0.226319391486462
"metricWUE_T:anomaly_classWet:water_classSaline",0.233280742145859,0.380352546675369,0.613327672405369
"timescaleSPEI_48:anomaly_classNear-normal:water_classFreshwater",0.352981795858352,0.277929825418914,1.27003928177307
"timescaleSPEI_48:anomaly_classWet:water_classFreshwater",0.946835378292198,0.35145681741747,2.69403047933346
"timescaleSPEI_48:anomaly_classNear-normal:water_classSaline",0.514142486780599,0.304894063734745,1.68629877696766
"timescaleSPEI_48:anomaly_classWet:water_classSaline",0.869375862952691,0.409182544265764,2.12466507952507
"metricWUE_T:timescaleSPEI_48:anomaly_classNear-normal:water_classFreshwater",-0.873263822373803,0.388550056460122,-2.24749374721409
"metricWUE_T:timescaleSPEI_48:anomaly_classWet:water_classFreshwater",-0.777826480739593,0.492688367640416,-1.57873928395095
"metricWUE_T:timescaleSPEI_48:anomaly_classNear-normal:water_classSaline",-0.320509784724339,0.42763624203479,-0.749491631483994
"metricWUE_T:timescaleSPEI_48:anomaly_classWet:water_classSaline",-0.199508665246136,0.5748595021626,-0.347056392902252
