"SPEI_timescale","water_class","threshold_pct","impact_direction","anomaly_side","SPEI_threshold","pct_change_threshold","SPEI_threshold_lower","SPEI_threshold_upper"
"SPEI_1","Upland","5%","increase","dry",-1.61141039308738,5,-1.61141039308738,-1.0293403903843
"SPEI_3","Upland","5%","increase","dry",-1.0293403903843,5,-1.0293403903843,-1.0293403903843
"SPEI_3","Upland","10%","increase","dry",-1.0293403903843,10,-1.0293403903843,-1.0293403903843
"SPEI_3","Upland","20%","increase","dry",-1.81684686462965,20,-1.81684686462965,-1.0293403903843
"SPEI_6","Upland","5%","increase","dry",-1.0293403903843,5,-1.0293403903843,-1.0293403903843
"SPEI_6","Upland","5%","decrease","wet",1.19622138465689,-5,1.02502432503834,1.19622138465689
"SPEI_6","Upland","10%","increase","dry",-1.61141039308738,10,-1.61141039308738,-1.0293403903843
"SPEI_12","Upland","5%","increase","dry",-1.37173450962141,5,-1.37173450962141,-1.0293403903843
"SPEI_12","Upland","5%","decrease","wet",1.36741844427544,-5,1.02502432503834,1.36741844427544
"SPEI_24","Upland","5%","increase","dry",-1.0293403903843,5,-1.0293403903843,-1.0293403903843
"SPEI_24","Upland","5%","decrease","wet",1.02502432503834,-5,1.02502432503834,1.02502432503834
"SPEI_24","Upland","10%","increase","dry",-1.88532568847707,10,-1.88532568847707,-1.0293403903843
"SPEI_24","Upland","10%","decrease","wet",1.8810096231311,-10,1.02502432503834,1.8810096231311
"SPEI_36","Upland","5%","increase","dry",-1.23477686192657,5,-1.23477686192657,-1.0293403903843
"SPEI_36","Upland","5%","decrease","wet",1.2304607965806,-5,1.02502432503834,1.2304607965806
"SPEI_48","Upland","5%","increase","dry",-1.78260745270594,5,-1.78260745270594,-1.0293403903843
"SPEI_48","Upland","5%","decrease","wet",1.77829138735997,-5,1.02502432503834,1.77829138735997
"SPEI_6","Saline","5%","increase","wet",1.09350314888576,5,1.02502432503834,1.09350314888576
"SPEI_6","Saline","10%","increase","wet",1.77829138735997,10,1.02502432503834,1.77829138735997
