"SPEI_timescale","coast_region","SPEI_z","water_class","month_f","site_name","SPEI_value","predicted_WUE_T","predicted_se","predicted_lower","predicted_upper","predicted_near_normal_WUE_T","predicted_pct_change","predicted_lower_pct","predicted_upper_pct","impact_class_10pct"
"SPEI_1","Atlantic Coast",-2.09872510634899,"Upland","7","US-A03",-2.15924098386675,4.51782667375908,0.667737323904898,3.20906151890548,5.82659182861268,4.40407807674474,2.58280155419992,-27.1343181709111,32.2999212793109,"No meaningful change"
"SPEI_3","Atlantic Coast",-2.09872510634899,"Upland","7","US-A03",-2.15924098386675,4.66903740927339,0.668100278306948,3.35956086379177,5.97851395475501,4.4031937543214,6.03751889616684,-23.7017253557235,35.7767631480572,"No meaningful change"
"SPEI_6","Atlantic Coast",-2.09872510634899,"Upland","7","US-A03",-2.15924098386675,4.63461005939584,0.668193381104457,3.3249510324311,5.94426908636057,4.40047563472377,5.32066176720828,-24.4410989077135,35.0824224421301,"No meaningful change"
"SPEI_12","Atlantic Coast",-2.09872510634899,"Upland","7","US-A03",-2.15924098386675,4.58268851690066,0.668601028976443,3.27223050010683,5.89314653369449,4.40415927940079,4.05365079176163,-25.7013588175213,33.8086604010445,"No meaningful change"
"SPEI_24","Atlantic Coast",-2.09872510634899,"Upland","7","US-A03",-2.15924098386675,4.65441880710635,0.667622343372398,3.34587901409645,5.96295860011625,4.40042976120896,5.77191455562753,-23.9647217280612,35.5085508393162,"No meaningful change"
"SPEI_36","Atlantic Coast",-2.09872510634899,"Upland","7","US-A03",-2.15924098386675,4.72156373197467,0.66783591847843,3.41260533175695,6.0305221321924,4.40388028796018,7.21371661448236,-22.5091258477957,36.9365590767605,"No meaningful change"
"SPEI_48","Atlantic Coast",-2.09872510634899,"Upland","7","US-A03",-2.15924098386675,4.74065409129374,0.66608918427238,3.43511929011988,6.04618889246761,4.39706874909994,7.81396338786234,-21.8770620581488,37.5049888338735,"No meaningful change"
"SPEI_1","Pacific Coast",-2.09872510634899,"Upland","7","US-A03",-2.15924098386675,5.53966938464073,0.851157643185538,3.87140040399708,7.20793836528438,5.21908094817507,6.1426224204812,-25.8221812913101,38.1074261322725,"No meaningful change"
"SPEI_3","Pacific Coast",-2.09872510634899,"Upland","7","US-A03",-2.15924098386675,5.45002191815437,0.848530800037369,3.78690155008112,7.11314228622761,5.22298902340177,4.34680015093605,-27.4955100783518,36.1891103802239,"No meaningful change"
"SPEI_6","Pacific Coast",-2.09872510634899,"Upland","7","US-A03",-2.15924098386675,5.51566050810456,0.849171291981474,3.85128477582087,7.18003624038824,5.22698995396369,5.52269196388956,-26.3192619511275,37.3646458789066,"No meaningful change"
"SPEI_12","Pacific Coast",-2.09872510634899,"Upland","7","US-A03",-2.15924098386675,5.32855955495025,0.845275265499967,3.67182003457032,6.98529907533019,5.2266640362951,1.94953258804412,-29.7483058204546,33.6473709965428,"No meaningful change"
"SPEI_24","Pacific Coast",-2.09872510634899,"Upland","7","US-A03",-2.15924098386675,5.4019648170047,0.847384916332081,3.74109038099382,7.06283925301558,5.23397305115455,3.20964139876671,-28.5229338319084,34.9422166294418,"No meaningful change"
"SPEI_36","Pacific Coast",-2.09872510634899,"Upland","7","US-A03",-2.15924098386675,5.29555425799177,0.850333907651187,3.62889979899544,6.9622087169881,5.2279477229959,1.29317542137025,-30.5865323971548,33.1728832398953,"No meaningful change"
"SPEI_48","Pacific Coast",-2.09872510634899,"Upland","7","US-A03",-2.15924098386675,5.24126242799512,0.853791623059734,3.56783084679804,6.9146940091922,5.22409120636247,0.328692990883134,-31.7042772443798,32.3616632261461,"No meaningful change"
"SPEI_1","Gulf Coast",-2.09872510634899,"Upland","7","US-A03",-2.15924098386675,9.28246133094005,1.34555267631644,6.64517808535984,11.9197445765203,7.87720549403542,17.8395223784461,-15.6404121945081,51.3194569514003,"WUE increase"
"SPEI_3","Gulf Coast",-2.09872510634899,"Upland","7","US-A03",-2.15924098386675,11.1046844445812,1.35331569135419,8.45218568952694,13.7571831996354,7.94946339739766,39.6909940891908,6.32397769507115,73.0580104833105,"WUE increase"
"SPEI_6","Gulf Coast",-2.09872510634899,"Upland","7","US-A03",-2.15924098386675,10.0998780193626,1.36790484878058,7.41878451575271,12.7809715229726,7.97259615021711,26.6824235050161,-6.94644033172704,60.3112873417592,"WUE increase"
"SPEI_12","Gulf Coast",-2.09872510634899,"Upland","7","US-A03",-2.15924098386675,10.2152475778576,1.35085448889507,7.56757277962327,12.862922376092,8.00280858478947,27.6457817230967,-5.43853824010523,60.7301016862987,"WUE increase"
"SPEI_24","Gulf Coast",-2.09872510634899,"Upland","7","US-A03",-2.15924098386675,9.66931173650465,1.34516448880611,7.03278933844468,12.3058341345646,7.94817403096647,21.6545045293743,-11.5169180865367,54.8259271452853,"WUE increase"
"SPEI_36","Gulf Coast",-2.09872510634899,"Upland","7","US-A03",-2.15924098386675,9.20540971524018,1.35615584588332,6.54734425730888,11.8634751731715,7.90591305020943,16.4370219704899,-17.1842111628657,50.0582551038455,"WUE increase"
"SPEI_48","Gulf Coast",-2.09872510634899,"Upland","7","US-A03",-2.15924098386675,7.6730437233341,1.35873042041205,5.00993209932647,10.3361553473417,7.85698175987961,-2.34107755582119,-36.2359204534638,31.5537653418214,"No meaningful change"
"SPEI_1","AK Coast",-2.09872510634899,"Upland","7","US-A03",-2.15924098386675,6.63394742091189,1.03322601728136,4.60882442704042,8.65907041478335,6.83065248046865,-2.879740407219,-32.5273179946023,26.7678371801643,"No meaningful change"
"SPEI_3","AK Coast",-2.09872510634899,"Upland","7","US-A03",-2.15924098386675,5.88725556009612,1.02534052646351,3.87758812822763,7.89692299196461,6.73904960454054,-12.639676132826,-42.4609053832302,17.1815531175781,"WUE decrease"
"SPEI_6","AK Coast",-2.09872510634899,"Upland","7","US-A03",-2.15924098386675,5.87784747450912,1.03108967230827,3.8569117167849,7.89878323223334,6.74877030131466,-12.9049113826838,-42.850155738245,17.0403329728774,"WUE decrease"
"SPEI_12","AK Coast",-2.09872510634899,"Upland","7","US-A03",-2.15924098386675,5.79843912580268,1.08206304537105,3.67759555687541,7.91928269472994,6.66092894501964,-12.948491514263,-44.7885484557654,18.8915654272393,"WUE decrease"
"SPEI_24","AK Coast",-2.09872510634899,"Upland","7","US-A03",-2.15924098386675,6.07268250946129,1.09870171103926,3.91922715582433,8.22613786309825,6.6792239104395,-9.08101613467691,-41.3221175337653,23.1600852644115,"No meaningful change"
"SPEI_36","AK Coast",-2.09872510634899,"Upland","7","US-A03",-2.15924098386675,5.66033710548769,1.08999366445249,3.52394952316082,7.79672468781457,6.57925428202474,-13.9668895158474,-46.4384659399981,18.5046869083034,"WUE decrease"
"SPEI_48","AK Coast",-2.09872510634899,"Upland","7","US-A03",-2.15924098386675,5.91556168514515,1.07099469915296,3.81641207480534,8.01471129548495,6.64416061733231,-10.966004197528,-42.5599064410086,20.6278980459525,"WUE decrease"
"SPEI_1","Atlantic Coast",-2.07452408602142,"Upland","7","US-A03",-2.13361526047731,4.51648053651631,0.667417132890892,3.20834295605016,5.82461811698246,4.40407807674474,2.55223585533365,-27.1506340227829,32.2551057334502,"No meaningful change"
"SPEI_3","Atlantic Coast",-2.07452408602142,"Upland","7","US-A03",-2.13361526047731,4.66589133051656,0.667772135184525,3.35705794555489,5.97472471547823,4.4031937543214,5.96606896840157,-23.7585686012523,35.6907065380554,"No meaningful change"
"SPEI_6","Atlantic Coast",-2.07452408602142,"Upland","7","US-A03",-2.13361526047731,4.63183923780208,0.667856182379883,3.32284112033751,5.94083735526666,4.40047563472377,5.25769535576203,-24.4890462722425,35.0044369837665,"No meaningful change"
"SPEI_12","Atlantic Coast",-2.07452408602142,"Upland","7","US-A03",-2.13361526047731,4.58057574485924,0.668258118680517,3.27078983224543,5.89036165747305,4.40415927940079,4.00567859304256,-25.7340703470098,33.7454275330949,"No meaningful change"
"SPEI_24","Atlantic Coast",-2.07452408602142,"Upland","7","US-A03",-2.13361526047731,4.65141301958094,0.667297307497389,3.34351029688605,5.95931574227582,4.40042976120896,5.70360787449585,-24.0185509524537,35.4257667014454,"No meaningful change"
"SPEI_36","Atlantic Coast",-2.07452408602142,"Upland","7","US-A03",-2.13361526047731,4.71780416458989,0.667510134888798,3.40948430020784,6.02612402897193,4.40388028796018,7.12834718709204,-22.5799958838783,36.8366902580624,"No meaningful change"
"SPEI_48","Atlantic Coast",-2.07452408602142,"Upland","7","US-A03",-2.13361526047731,4.73658799256955,0.665801866303692,3.43161633461432,6.04155965052479,4.39706874909994,7.72149044836102,-21.9567277560362,37.3997086527582,"No meaningful change"
