"SPEI_timescale","coast_region","threshold_pct","impact_direction","anomaly_side","SPEI_threshold","pct_change_threshold","SPEI_threshold_lower","SPEI_threshold_upper"
"SPEI_3","Atlantic Coast","5%","increase","dry",-1.80048085641454,5,-1.80048085641454,-1.00608343134178
"SPEI_3","Atlantic Coast","5%","decrease","wet",1.81274614149704,-5,1.01834871642428,1.81274614149704
"SPEI_6","Atlantic Coast","5%","increase","dry",-2.03111236691954,5,-2.03111236691954,-1.00608343134178
"SPEI_24","Atlantic Coast","5%","increase","dry",-1.87735802658287,5,-1.87735802658287,-1.00608343134178
"SPEI_24","Atlantic Coast","5%","decrease","wet",1.88962331166537,-5,1.01834871642428,1.88962331166537
"SPEI_36","Atlantic Coast","5%","increase","dry",-1.51859789913066,5,-1.51859789913066,-1.00608343134178
"SPEI_36","Atlantic Coast","5%","decrease","wet",1.53086318421316,-5,1.01834871642428,1.53086318421316
"SPEI_48","Atlantic Coast","5%","increase","dry",-1.39046928218344,5,-1.39046928218344,-1.00608343134178
"SPEI_48","Atlantic Coast","5%","decrease","wet",1.40273456726594,-5,1.01834871642428,1.40273456726594
"SPEI_1","Pacific Coast","5%","increase","dry",-1.7748551330251,5,-1.7748551330251,-1.00608343134178
"SPEI_1","Pacific Coast","5%","decrease","wet",1.7871204181076,-5,1.01834871642428,1.7871204181076
"SPEI_6","Pacific Coast","5%","increase","dry",-1.97986092014065,5,-1.97986092014065,-1.00608343134178
"SPEI_1","Gulf Coast","5%","increase","dry",-1.00608343134178,5,-1.00608343134178,-1.00608343134178
"SPEI_1","Gulf Coast","5%","decrease","wet",1.01834871642428,-5,1.01834871642428,1.01834871642428
"SPEI_1","Gulf Coast","10%","increase","dry",-1.21108921845733,10,-1.21108921845733,-1.00608343134178
"SPEI_1","Gulf Coast","10%","decrease","wet",1.22335450353983,-10,1.01834871642428,1.22335450353983
"SPEI_3","Gulf Coast","5%","increase","dry",-1.00608343134178,5,-2.08236381369842,-1.00608343134178
