"SPEI_timescale","coast_region","predicted_near_normal_WUE_T"
"SPEI_1","Atlantic Coast",4.40407807674474
"SPEI_1","Pacific Coast",5.21908094817507
"SPEI_1","Gulf Coast",7.87720549403542
"SPEI_1","AK Coast",6.83065248046865
"SPEI_3","Atlantic Coast",4.4031937543214
"SPEI_3","Pacific Coast",5.22298902340177
"SPEI_3","Gulf Coast",7.94946339739766
"SPEI_3","AK Coast",6.73904960454054
"SPEI_6","Atlantic Coast",4.40047563472377
"SPEI_6","Pacific Coast",5.22698995396369
"SPEI_6","Gulf Coast",7.97259615021711
"SPEI_6","AK Coast",6.74877030131466
"SPEI_12","Atlantic Coast",4.40415927940079
"SPEI_12","Pacific Coast",5.2266640362951
"SPEI_12","Gulf Coast",8.00280858478947
"SPEI_12","AK Coast",6.66092894501964
"SPEI_24","Atlantic Coast",4.40042976120896
"SPEI_24","Pacific Coast",5.23397305115455
"SPEI_24","Gulf Coast",7.94817403096647
"SPEI_24","AK Coast",6.6792239104395
"SPEI_36","Atlantic Coast",4.40388028796018
"SPEI_36","Pacific Coast",5.2279477229959
"SPEI_36","Gulf Coast",7.90591305020943
"SPEI_36","AK Coast",6.57925428202474
"SPEI_48","Atlantic Coast",4.39706874909994
"SPEI_48","Pacific Coast",5.22409120636247
"SPEI_48","Gulf Coast",7.85698175987961
"SPEI_48","AK Coast",6.64416061733231
