"SPEI_timescale","coast_region","SPEI_threshold_dry_increase_5%","SPEI_threshold_wet_decrease_5%","SPEI_threshold_dry_increase_10%","SPEI_threshold_wet_decrease_10%","SPEI_threshold_dry_increase_20%","SPEI_threshold_wet_decrease_20%","SPEI_threshold_dry_decrease_5%","SPEI_threshold_wet_increase_5%","SPEI_threshold_dry_decrease_10%","SPEI_threshold_wet_increase_10%","SPEI_threshold_lower_dry_increase_5%","SPEI_threshold_lower_wet_decrease_5%","SPEI_threshold_lower_dry_increase_10%","SPEI_threshold_lower_wet_decrease_10%","SPEI_threshold_lower_dry_increase_20%","SPEI_threshold_lower_wet_decrease_20%","SPEI_threshold_lower_dry_decrease_5%","SPEI_threshold_lower_wet_increase_5%","SPEI_threshold_lower_dry_decrease_10%","SPEI_threshold_lower_wet_increase_10%","SPEI_threshold_upper_dry_increase_5%","SPEI_threshold_upper_wet_decrease_5%","SPEI_threshold_upper_dry_increase_10%","SPEI_threshold_upper_wet_decrease_10%","SPEI_threshold_upper_dry_increase_20%","SPEI_threshold_upper_wet_decrease_20%","SPEI_threshold_upper_dry_decrease_5%","SPEI_threshold_upper_wet_increase_5%","SPEI_threshold_upper_dry_decrease_10%","SPEI_threshold_upper_wet_increase_10%"
"SPEI_3","Atlantic Coast",-1.80048085641454,1.81274614149704,NA,NA,NA,NA,NA,NA,NA,NA,-1.80048085641454,1.01834871642428,NA,NA,NA,NA,NA,NA,NA,NA,-1.00608343134178,1.81274614149704,NA,NA,NA,NA,NA,NA,NA,NA
"SPEI_6","Atlantic Coast",-2.03111236691954,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.03111236691954,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.00608343134178,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPEI_24","Atlantic Coast",-1.87735802658287,1.88962331166537,NA,NA,NA,NA,NA,NA,NA,NA,-1.87735802658287,1.01834871642428,NA,NA,NA,NA,NA,NA,NA,NA,-1.00608343134178,1.88962331166537,NA,NA,NA,NA,NA,NA,NA,NA
"SPEI_36","Atlantic Coast",-1.51859789913066,1.53086318421316,NA,NA,NA,NA,NA,NA,NA,NA,-1.51859789913066,1.01834871642428,NA,NA,NA,NA,NA,NA,NA,NA,-1.00608343134178,1.53086318421316,NA,NA,NA,NA,NA,NA,NA,NA
"SPEI_48","Atlantic Coast",-1.39046928218344,1.40273456726594,NA,NA,NA,NA,NA,NA,NA,NA,-1.39046928218344,1.01834871642428,NA,NA,NA,NA,NA,NA,NA,NA,-1.00608343134178,1.40273456726594,NA,NA,NA,NA,NA,NA,NA,NA
"SPEI_1","Pacific Coast",-1.7748551330251,1.7871204181076,NA,NA,NA,NA,NA,NA,NA,NA,-1.7748551330251,1.01834871642428,NA,NA,NA,NA,NA,NA,NA,NA,-1.00608343134178,1.7871204181076,NA,NA,NA,NA,NA,NA,NA,NA
"SPEI_6","Pacific Coast",-1.97986092014065,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.97986092014065,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.00608343134178,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPEI_1","Gulf Coast",-1.00608343134178,1.01834871642428,-1.21108921845733,1.22335450353983,NA,NA,NA,NA,NA,NA,-1.00608343134178,1.01834871642428,-1.21108921845733,1.01834871642428,NA,NA,NA,NA,NA,NA,-1.00608343134178,1.01834871642428,-1.00608343134178,1.22335450353983,NA,NA,NA,NA,NA,NA
"SPEI_3","Gulf Coast",-1.00608343134178,1.01834871642428,-1.00608343134178,1.01834871642428,-1.10858632489956,1.12085160998206,NA,NA,NA,NA,-2.08236381369842,1.01834871642428,-1.00608343134178,1.01834871642428,-1.10858632489956,1.01834871642428,NA,NA,NA,NA,-1.00608343134178,1.01834871642428,-1.00608343134178,1.01834871642428,-1.00608343134178,1.12085160998206,NA,NA,NA,NA
"SPEI_6","Gulf Coast",-1.00608343134178,1.01834871642428,-1.00608343134178,1.01834871642428,-1.62110079268843,1.63336607777093,NA,NA,NA,NA,-1.00608343134178,1.01834871642428,-1.00608343134178,1.01834871642428,-1.62110079268843,1.01834871642428,NA,NA,NA,NA,-1.00608343134178,1.01834871642428,-1.00608343134178,1.01834871642428,-1.00608343134178,1.63336607777093,NA,NA,NA,NA
