"SPEI_timescale","coast_region","predicted_near_normal_WUE_T"
"SPEI_1","Atlantic Coast",4.41263325689937
"SPEI_1","Pacific Coast",5.15109157306019
"SPEI_1","Gulf Coast",7.89087292096851
"SPEI_1","AK Coast",6.87314498700085
"SPEI_3","Atlantic Coast",4.41543858740597
"SPEI_3","Pacific Coast",5.21194474817021
"SPEI_3","Gulf Coast",7.88368967445371
"SPEI_3","AK Coast",6.68673289940874
"SPEI_6","Atlantic Coast",4.41012777050408
"SPEI_6","Pacific Coast",5.20226574016828
"SPEI_6","Gulf Coast",7.87428018348138
"SPEI_6","AK Coast",6.73690635931215
"SPEI_12","Atlantic Coast",4.4168961236952
"SPEI_12","Pacific Coast",5.22660749263688
"SPEI_12","Gulf Coast",7.73891463574451
"SPEI_12","AK Coast",6.7244754164514
"SPEI_24","Atlantic Coast",4.40992410885951
"SPEI_24","Pacific Coast",5.23104121510474
"SPEI_24","Gulf Coast",7.87519781662073
"SPEI_24","AK Coast",6.71772721501263
"SPEI_36","Atlantic Coast",4.4123016952391
"SPEI_36","Pacific Coast",5.22662718546622
"SPEI_36","Gulf Coast",7.91668619733761
"SPEI_36","AK Coast",6.65548275301101
"SPEI_48","Atlantic Coast",4.43748799314323
"SPEI_48","Pacific Coast",5.22657942521927
"SPEI_48","Gulf Coast",7.86664566185794
"SPEI_48","AK Coast",6.72328770584405
