"SPEI_timescale","coast_region","water_class","threshold_pct","impact_direction","anomaly_side","SPEI_threshold","pct_change_threshold","SPEI_threshold_lower","SPEI_threshold_upper"
"SPEI_1","Pacific Coast","Upland","5%","increase","dry",-1.0293403903843,5,-1.0293403903843,-1.0293403903843
"SPEI_1","Pacific Coast","Upland","10%","increase","dry",-1.78260745270594,10,-1.78260745270594,-1.0293403903843
"SPEI_1","Gulf Coast","Upland","5%","increase","dry",-1.0293403903843,5,-1.0293403903843,-1.0293403903843
"SPEI_1","Gulf Coast","Upland","10%","increase","dry",-1.3374950976977,10,-1.3374950976977,-1.0293403903843
"SPEI_1","Gulf Coast","Upland","5%","decrease","wet",1.02502432503834,-5,1.02502432503834,1.02502432503834
"SPEI_1","Gulf Coast","Upland","10%","decrease","wet",1.33317903235173,-10,1.02502432503834,1.33317903235173
"SPEI_3","Gulf Coast","Upland","5%","decrease","dry",-2.02228333617191,-5,-2.02228333617191,-1.71412862885852
"SPEI_3","Gulf Coast","Upland","10%","decrease","dry",-2.05652274809562,-10,-2.05652274809562,-1.74836804078223
"SPEI_3","Gulf Coast","Upland","20%","decrease","dry",-2.12500157194304,-20,-2.12500157194304,-1.85108627655336
"SPEI_3","Gulf Coast","Upland","5%","increase","dry",-1.0293403903843,5,-1.0293403903843,-1.0293403903843
"SPEI_3","Gulf Coast","Upland","10%","increase","dry",-1.0293403903843,10,-1.0293403903843,-1.0293403903843
"SPEI_3","Gulf Coast","Upland","20%","increase","dry",-1.0293403903843,20,-1.09781921423172,-1.0293403903843
"SPEI_3","Gulf Coast","Upland","5%","decrease","wet",1.02502432503834,-5,1.02502432503834,1.02502432503834
"SPEI_3","Gulf Coast","Upland","5%","increase","wet",1.36741844427544,5,1.02502432503834,1.36741844427544
"SPEI_3","Gulf Coast","Upland","10%","increase","wet",1.50437609197029,10,1.02502432503834,1.50437609197029
"SPEI_3","Gulf Coast","Upland","20%","increase","wet",1.81253079928368,20,1.02502432503834,1.81253079928368
"SPEI_3","AK Coast","Upland","5%","increase","wet",1.02502432503834,5,1.02502432503834,1.02502432503834
"SPEI_3","AK Coast","Upland","10%","increase","wet",1.50437609197029,10,1.02502432503834,1.50437609197029
"SPEI_6","Pacific Coast","Upland","5%","increase","dry",-1.88532568847707,5,-1.88532568847707,-1.0293403903843
"SPEI_6","Gulf Coast","Upland","5%","increase","dry",-1.0293403903843,5,-1.0293403903843,-1.0293403903843
"SPEI_6","Gulf Coast","Upland","10%","increase","dry",-1.0293403903843,10,-1.0293403903843,-1.0293403903843
"SPEI_6","Gulf Coast","Upland","20%","increase","dry",-1.0293403903843,20,-1.0293403903843,-1.0293403903843
"SPEI_6","Gulf Coast","Upland","5%","decrease","wet",1.02502432503834,-5,1.02502432503834,1.02502432503834
"SPEI_6","Gulf Coast","Upland","10%","decrease","wet",1.02502432503834,-10,1.02502432503834,1.02502432503834
"SPEI_6","AK Coast","Upland","5%","increase","wet",1.02502432503834,5,1.02502432503834,1.02502432503834
"SPEI_6","AK Coast","Upland","10%","increase","wet",1.67557315158884,10,1.02502432503834,1.67557315158884
"SPEI_12","Gulf Coast","Upland","5%","increase","dry",-1.0293403903843,5,-1.0293403903843,-1.0293403903843
"SPEI_12","Gulf Coast","Upland","10%","increase","dry",-1.0293403903843,10,-1.0293403903843,-1.0293403903843
"SPEI_12","Gulf Coast","Upland","20%","increase","dry",-1.0293403903843,20,-1.0293403903843,-1.0293403903843
"SPEI_12","Gulf Coast","Upland","5%","decrease","wet",1.02502432503834,-5,1.02502432503834,1.02502432503834
"SPEI_12","Gulf Coast","Upland","10%","decrease","wet",1.02502432503834,-10,1.02502432503834,1.02502432503834
"SPEI_12","AK Coast","Upland","5%","decrease","dry",-1.13205862615543,-5,-1.13205862615543,-1.0293403903843
"SPEI_12","AK Coast","Upland","5%","increase","wet",1.12774256080947,5,1.02502432503834,1.12774256080947
"SPEI_24","Gulf Coast","Upland","5%","increase","dry",-1.0293403903843,5,-1.0293403903843,-1.0293403903843
"SPEI_24","Gulf Coast","Upland","10%","increase","dry",-1.0293403903843,10,-1.0293403903843,-1.0293403903843
"SPEI_24","Gulf Coast","Upland","20%","increase","dry",-1.47445274539254,20,-1.47445274539254,-1.0293403903843
"SPEI_24","Gulf Coast","Upland","5%","decrease","wet",1.02502432503834,-5,1.02502432503834,1.02502432503834
"SPEI_24","Gulf Coast","Upland","10%","decrease","wet",1.26470020850431,-10,1.02502432503834,1.26470020850431
"SPEI_24","AK Coast","Upland","5%","decrease","dry",-1.0293403903843,-5,-1.0293403903843,-1.0293403903843
"SPEI_24","AK Coast","Upland","10%","decrease","dry",-1.64564980501109,-10,-1.64564980501109,-1.0293403903843
"SPEI_24","AK Coast","Upland","5%","increase","wet",1.09350314888576,5,1.02502432503834,1.09350314888576
"SPEI_36","Atlantic Coast","Upland","5%","increase","dry",-1.9880439242482,5,-1.9880439242482,-1.0293403903843
"SPEI_36","Gulf Coast","Upland","5%","increase","dry",-1.0293403903843,5,-1.0293403903843,-1.0293403903843
"SPEI_36","Gulf Coast","Upland","10%","increase","dry",-1.47445274539254,10,-1.47445274539254,-1.0293403903843
"SPEI_36","Gulf Coast","Upland","5%","decrease","wet",1.02502432503834,-5,1.02502432503834,1.02502432503834
"SPEI_36","Gulf Coast","Upland","10%","decrease","wet",1.47013668004658,-10,1.02502432503834,1.47013668004658
"SPEI_36","AK Coast","Upland","5%","decrease","dry",-1.0293403903843,-5,-1.0293403903843,-1.0293403903843
"SPEI_36","AK Coast","Upland","10%","decrease","dry",-2.02228333617191,-10,-2.02228333617191,-1.0293403903843
"SPEI_36","AK Coast","Upland","5%","increase","wet",1.02502432503834,5,1.02502432503834,1.02502432503834
"SPEI_48","Atlantic Coast","Upland","5%","decrease","wet",1.19622138465689,-5,1.02502432503834,1.19622138465689
"SPEI_48","AK Coast","Upland","5%","decrease","dry",-1.44021333346883,-5,-1.44021333346883,-1.0293403903843
"SPEI_48","AK Coast","Upland","5%","increase","wet",1.43589726812287,5,1.02502432503834,1.43589726812287
