"coast_region","SPEI_timescale","n_sites","median_abs_pct_change","q25_abs_pct_change","q75_abs_pct_change","mean_abs_pct_change"
"Atlantic Coast","SPEI_1",21,18.2533415111365,14.284625662651,25.2110694928001,22.8208792101099
"Atlantic Coast","SPEI_3",20,17.9845771946606,12.9741183897716,28.2518751309908,23.9326262785739
"Atlantic Coast","SPEI_48",18,20.1595861035743,11.609072717483,26.967461498681,24.0417842628324
"Pacific Coast","SPEI_1",11,17.2209558609892,11.8748873526477,21.182050719238,20.9988174698897
"Pacific Coast","SPEI_3",11,17.7127240516714,11.7342450297518,29.2484687997639,22.3725485733862
"Pacific Coast","SPEI_48",9,16.3024839259543,14.9845933662662,21.825374352373,19.1002783848175
"Gulf Coast","SPEI_1",4,39.2791226455771,38.0603948472948,49.5784223001946,48.3596945019122
"Gulf Coast","SPEI_3",4,42.5323869818562,40.4408201742842,56.1532429960838,54.0616761885118
"Gulf Coast","SPEI_48",4,37.811727193656,36.9383234298284,45.9020729936338,45.0286692298061
"AK Coast","SPEI_1",7,37.4946540299491,26.9872750415216,47.3652696905867,38.9414056632861
"AK Coast","SPEI_3",7,43.6167456443174,27.7728957013434,49.1280827852796,41.3951586688024
"AK Coast","SPEI_48",5,44.7021118510125,43.2551049494486,48.6960048857127,45.6630820652081
