"SPEI_timescale","water_class","slope_per_1sd_SPEI","std_error","lower_95","upper_95","z_value","p_value"
"SPEI_1","Upland",-0.194706061689914,0.0787907987335503,-0.349136027207673,-0.0402760961721555,-2.47117766058393,0.0134668896679074
"SPEI_3","Upland",-0.364661476884977,0.0796878332273439,-0.520849630010571,-0.208473323759383,-4.57612488778084,4.73667845586737e-06
"SPEI_6","Upland",-0.322688990979,0.0801809204787224,-0.479843595117296,-0.165534386840704,-4.0245109316827,5.70938421495245e-05
"SPEI_12","Upland",-0.246554844894246,0.0811216454645707,-0.405553270004804,-0.0875564197836873,-3.03932253201061,0.00237110855319344
"SPEI_24","Upland",-0.334481066032397,0.0797226723476707,-0.490737503833832,-0.178224628230963,-4.19555762724216,2.72201065027198e-05
"SPEI_36","Upland",-0.267494347870362,0.0792103136340481,-0.422746562593096,-0.112242133147627,-3.37701412351662,0.000732772874241236
"SPEI_48","Upland",-0.202563897124241,0.0815214009101973,-0.362345842908227,-0.0427819513402538,-2.48479411372459,0.0129626380124647
"SPEI_1","Freshwater",-0.0526901493175338,0.0828151196444772,-0.215007783820709,0.109627485185642,-0.636238280446022,0.524621125996557
"SPEI_3","Freshwater",0.0271810404442789,0.0771243855415282,-0.123982755217116,0.178344836105674,0.352431209058295,0.724514900050761
"SPEI_6","Freshwater",-0.0497622063005555,0.0780567211406264,-0.202753379736183,0.103228967135072,-0.637513407857657,0.523790479283337
"SPEI_12","Freshwater",-0.0384451246470932,0.0667731187362145,-0.169320437370074,0.0924301880758872,-0.575757511027299,0.564779096381699
"SPEI_24","Freshwater",-0.0644240770054938,0.0685899682028781,-0.198860414683135,0.0700122606721473,-0.939263841250629,0.347595298498023
"SPEI_36","Freshwater",-0.0570461141626856,0.0729257157980409,-0.199980517126846,0.0858882888014746,-0.782249629481431,0.434067882818846
"SPEI_48","Freshwater",-0.0334206121592871,0.0734780864616032,-0.177437661624029,0.110596437305455,-0.454837813131557,0.649225924328737
"SPEI_1","Saline",-0.0347674881868115,0.0930023712345217,-0.217052135806474,0.147517159432851,-0.373834427287227,0.708527504232117
"SPEI_3","Saline",-0.0186562346750055,0.0904957171292932,-0.19602784024842,0.158715370898409,-0.206155995740118,0.83666905978261
"SPEI_6","Saline",0.099496810414161,0.0962723196156617,-0.089196936032536,0.288190556860858,1.03349343623766,0.301373040634749
"SPEI_12","Saline",0.048978122299398,0.0961328447792126,-0.139442253467859,0.237398498066655,0.509483750448513,0.610413185445923
"SPEI_24","Saline",0.109930937697836,0.097081761208545,-0.0803493142709123,0.300211189666584,1.13235417579301,0.257485562017642
"SPEI_36","Saline",0.143445018008264,0.101933390197762,-0.056344426779349,0.343234462795877,1.40724268789614,0.159355437464494
"SPEI_48","Saline",0.0599229372078712,0.0950182445876635,-0.126312822183949,0.246158696599692,0.630646645472244,0.528271592310498
