"SPEI_timescale","water_class","SPEI_value","month_f","site_name","spei_ecosystem","predicted_WUE_T","predicted_se","predicted_lower","predicted_upper","predicted_near_normal_WUE_T","predicted_change","predicted_pct_change","predicted_lower_pct","predicted_upper_pct","impact_class_10pct"
"SPEI_1","Upland",-2.15924098386675,"7","US-A03","SPEI_1__Upland",5.84868197875005,0.595215213363701,4.6820601605572,7.01530379694291,5.48919319302184,0.359488785728218,6.54902775484784,-14.7040376259795,27.8020931356752,"No meaningful change"
"SPEI_3","Upland",-2.15924098386675,"7","US-A03","SPEI_3__Upland",6.65655772872215,0.626597835283995,5.42842597156552,7.88468948587878,5.38809641457018,1.26846131415197,23.5419193821749,0.748493603163496,46.3353451611864,"WUE increase"
"SPEI_6","Upland",-2.15924098386675,"7","US-A03","SPEI_6__Upland",6.19012189970898,0.605503499816776,5.0033350400681,7.37690875934986,5.44677574908028,0.7433461506287,13.647452821134,-8.14134323571257,35.4362488779806,"WUE increase"
"SPEI_12","Upland",-2.15924098386675,"7","US-A03","SPEI_12__Upland",5.93681950940017,0.59033427991713,4.7797643207626,7.09387469803775,5.4960425846593,0.440776924740877,8.01989646097696,-13.032618522571,29.0724114445249,"No meaningful change"
"SPEI_24","Upland",-2.15924098386675,"7","US-A03","SPEI_24__Upland",6.12656584012,0.590628959650031,4.96893307920594,7.28419860103406,5.49325156310849,0.633314277011517,11.5289509270743,-9.54477467268668,32.6026765268352,"WUE increase"
"SPEI_36","Upland",-2.15924098386675,"7","US-A03","SPEI_36__Upland",5.9920660019588,0.590512739122634,4.83466103327844,7.14947097063916,5.50528577568923,0.486780226269575,8.84205191343829,-12.1814701313454,29.8655739582219,"No meaningful change"
"SPEI_48","Upland",-2.15924098386675,"7","US-A03","SPEI_48__Upland",5.84182963621816,0.590504503337645,4.68444080967638,6.99921846275995,5.50702674358798,0.334802892630187,6.07955813942633,-14.9370245000056,27.0961407788583,"No meaningful change"
"SPEI_1","Freshwater",-2.15924098386675,"7","US-A03","SPEI_1__Freshwater",4.22018544621796,0.684663218247308,2.87824553845324,5.56212535398268,4.21954140936123,0.0006440368567322,0.0152631955525635,-31.7877167393658,31.818243130471,"No meaningful change"
"SPEI_3","Freshwater",-2.15924098386675,"7","US-A03","SPEI_3__Freshwater",4.21920595869237,0.684614783643665,2.87736098275079,5.56105093463396,4.21951351065009,-0.000307551957718033,-0.00728880134977099,-31.8082291835705,31.7936515808709,"No meaningful change"
"SPEI_6","Freshwater",-2.15924098386675,"7","US-A03","SPEI_6__Freshwater",4.22013585613595,0.684666048101725,2.87819040185657,5.56208131041533,4.21959154835205,0.000544307783903797,0.0128995372577323,-31.7898339477753,31.8156330222908,"No meaningful change"
"SPEI_12","Freshwater",-2.15924098386675,"7","US-A03","SPEI_12__Freshwater",4.2199552532239,0.684598027126752,2.87814312005547,5.56176738639233,4.21957016391976,0.000385089304139719,0.00912626853399661,-31.7906088002617,31.8088613373297,"No meaningful change"
"SPEI_24","Freshwater",-2.15924098386675,"7","US-A03","SPEI_24__Freshwater",4.22249130997256,0.685071956244675,2.879750275733,5.56523234421213,4.22053295499704,0.00195835497552288,0.0464006559456957,-31.7680893280688,31.8608906399602,"No meaningful change"
"SPEI_36","Freshwater",-2.15924098386675,"7","US-A03","SPEI_36__Freshwater",4.22046367640545,0.684680127097416,2.87849062729452,5.56243672551639,4.21970971318329,0.000753963222168252,0.0178676561520976,-31.7846292056183,31.8203645179225,"No meaningful change"
"SPEI_48","Freshwater",-2.15924098386675,"7","US-A03","SPEI_48__Freshwater",4.22010314068505,0.684695974023346,2.87809903159929,5.56210724977081,4.21964494790908,0.000458192775971256,0.0108585623109902,-31.7928625007787,31.8145796254007,"No meaningful change"
"SPEI_1","Saline",-2.15924098386675,"7","US-A03","SPEI_1__Saline",3.79735267041607,0.789931620019328,2.24908669517819,5.34561864565396,3.79571448215135,0.00163818826472184,0.0431588907022675,-40.7466840365863,40.8330018179909,"No meaningful change"
"SPEI_3","Saline",-2.15924098386675,"7","US-A03","SPEI_3__Saline",3.79671108092361,0.78983539808862,2.24863370066991,5.3447884611773,3.79581271083288,0.000898370090729461,0.0236673977134225,-40.7601514623593,40.8074862577861,"No meaningful change"
"SPEI_6","Saline",-2.15924098386675,"7","US-A03","SPEI_6__Saline",3.90715382000268,0.819837857007888,2.30027162026722,5.51403601973814,3.72785187663226,0.179301943370425,4.80979259112642,-38.2949833740367,47.9145685562895,"No meaningful change"
