"SPEI_timescale","water_class","predicted_near_normal_WUE_T"
"SPEI_1","Upland",5.48919319302184
"SPEI_1","Freshwater",4.21954140936123
"SPEI_1","Saline",3.79571448215135
"SPEI_3","Upland",5.38809641457018
"SPEI_3","Freshwater",4.21951351065009
"SPEI_3","Saline",3.79581271083288
"SPEI_6","Upland",5.44677574908028
"SPEI_6","Freshwater",4.21959154835205
"SPEI_6","Saline",3.72785187663226
"SPEI_12","Upland",5.4960425846593
"SPEI_12","Freshwater",4.21957016391976
"SPEI_12","Saline",3.79590600007587
"SPEI_24","Upland",5.49325156310849
"SPEI_24","Freshwater",4.22053295499704
"SPEI_24","Saline",3.79486170186332
"SPEI_36","Upland",5.50528577568923
"SPEI_36","Freshwater",4.21970971318329
"SPEI_36","Saline",3.78973207975865
"SPEI_48","Upland",5.50702674358798
"SPEI_48","Freshwater",4.21964494790908
"SPEI_48","Saline",3.79598202691605
