"site_name","water_class","coast_region","SPEI_timescale","n_months","SPEI_slope","SPEI_cor","mean_WUE_T"
"US-A03","Saline","AK Coast","SPEI_1",18,1.25310478006872,0.256640243596255,8.55083984192562
"US-A03","Saline","AK Coast","SPEI_3",18,0.938357336388962,0.185552309157097,8.55083984192562
"US-A03","Saline","AK Coast","SPEI_6",18,2.71898900740674,0.537899060578322,8.55083984192562
"US-A03","Saline","AK Coast","SPEI_12",18,1.4407756092628,0.247444906976439,8.55083984192562
"US-A03","Saline","AK Coast","SPEI_24",18,1.13108359748853,0.194774385608445,8.55083984192562
"US-A03","Saline","AK Coast","SPEI_36",18,1.11275856267361,0.172265806267765,8.55083984192562
"US-A03","Saline","AK Coast","SPEI_48",18,-0.282289217923446,-0.0305507567009121,8.55083984192562
"US-A10","Saline","AK Coast","SPEI_1",31,0.173713062549312,0.0672856946163726,4.85304093460968
"US-A10","Saline","AK Coast","SPEI_3",31,0.494850462518739,0.201066032119536,4.85304093460968
"US-A10","Saline","AK Coast","SPEI_6",31,0.387377264450275,0.177462760545718,4.85304093460968
"US-A10","Saline","AK Coast","SPEI_12",31,0.420133791116132,0.157966248968027,4.85304093460968
"US-A10","Saline","AK Coast","SPEI_24",31,0.658178112859106,0.233940030218171,4.85304093460968
"US-A10","Saline","AK Coast","SPEI_36",31,0.726302000066594,0.253541405184869,4.85304093460968
"US-A10","Saline","AK Coast","SPEI_48",31,0.841682017935888,0.310719969083195,4.85304093460968
"US-Atq","Freshwater","AK Coast","SPEI_1",26,-0.104613513083941,-0.0575963925863315,1.72049390885825
"US-Atq","Freshwater","AK Coast","SPEI_3",26,-0.290934140058306,-0.122996017449151,1.72049390885825
"US-Atq","Freshwater","AK Coast","SPEI_6",26,-0.898049545010326,-0.338101143967756,1.72049390885825
"US-Atq","Freshwater","AK Coast","SPEI_12",26,-1.07166639241938,-0.438286331604954,1.72049390885825
"US-Atq","Freshwater","AK Coast","SPEI_24",26,-1.25658207375239,-0.404838633233385,1.72049390885825
"US-Atq","Freshwater","AK Coast","SPEI_36",26,-2.36714602732362,-0.584993591432932,1.72049390885825
"US-Atq","Freshwater","AK Coast","SPEI_48",26,-1.53137121040257,-0.484980037763801,1.72049390885825
"US-Brw","Upland","AK Coast","SPEI_1",25,0.561558371479208,0.336233858522208,2.70328404731547
"US-Brw","Upland","AK Coast","SPEI_3",25,0.395135355461637,0.200192940665961,2.70328404731547
"US-Brw","Upland","AK Coast","SPEI_6",25,0.844741899893091,0.417084894896086,2.70328404731547
"US-Brw","Upland","AK Coast","SPEI_12",25,0.652808441236985,0.260821677894712,2.70328404731547
"US-Brw","Upland","AK Coast","SPEI_24",25,0.337804361105056,0.107222437205785,2.70328404731547
"US-Brw","Upland","AK Coast","SPEI_36",25,0.724125826203607,0.232932858446414,2.70328404731547
"US-Brw","Upland","AK Coast","SPEI_48",25,1.28969415891172,0.434664626317842,2.70328404731547
