"site_name","water_class","coast_region","SPEI_timescale","month_f","baseline_WUE_T","baseline_sd_WUE_T","baseline_n"
"US-A03","Saline","AK Coast","SPEI_1","6",3.50224907285247,1.00526052619116,5
"US-A03","Saline","AK Coast","SPEI_1","7",11.0092877302341,3.39211888149897,4
"US-A03","Saline","AK Coast","SPEI_1","8",11.2687419689412,NA,1
"US-A03","Saline","AK Coast","SPEI_3","6",3.47520206277368,0.901569866920866,6
"US-A03","Saline","AK Coast","SPEI_3","7",9.85323411259096,2.06989498870907,3
"US-A03","Saline","AK Coast","SPEI_3","8",11.2031944913602,1.88666192101439,3
"US-A03","Saline","AK Coast","SPEI_6","6",3.7290252172782,0.729958100136553,5
"US-A03","Saline","AK Coast","SPEI_6","7",10.6389346290475,3.35162352565137,5
"US-A03","Saline","AK Coast","SPEI_6","8",10.3544503746945,2.29226127912344,4
"US-A03","Saline","AK Coast","SPEI_12","6",3.20648244586985,0.688809507307786,5
"US-A03","Saline","AK Coast","SPEI_12","7",10.3248428655867,3.78419733071276,4
"US-A03","Saline","AK Coast","SPEI_12","8",10.3544503746945,2.29226127912344,4
"US-A03","Saline","AK Coast","SPEI_24","6",3.0156029285604,0.624268731360835,4
"US-A03","Saline","AK Coast","SPEI_24","7",11.1550890688725,4.16465744188367,3
"US-A03","Saline","AK Coast","SPEI_24","8",10.3544503746945,2.29226127912344,4
"US-A03","Saline","AK Coast","SPEI_36","6",3.28544180799684,0.384303328503987,3
"US-A03","Saline","AK Coast","SPEI_36","7",10.9899094316707,3.41643844605399,4
"US-A03","Saline","AK Coast","SPEI_36","8",10.7105443172871,2.6679189101955,3
"US-A03","Saline","AK Coast","SPEI_48","6",3.28544180799684,0.384303328503987,3
"US-A03","Saline","AK Coast","SPEI_48","7",10.9899094316707,3.41643844605399,4
"US-A03","Saline","AK Coast","SPEI_48","8",10.7105443172871,2.6679189101955,3
"US-A10","Saline","AK Coast","SPEI_1","6",3.13934187611269,2.56363427311164,8
"US-A10","Saline","AK Coast","SPEI_1","7",4.59102489090693,1.19697456595892,6
"US-A10","Saline","AK Coast","SPEI_1","8",6.21721796004127,1.61499850650956,7
"US-A10","Saline","AK Coast","SPEI_3","6",3.58269131789424,2.81066232136908,6
"US-A10","Saline","AK Coast","SPEI_3","7",5.28692308595487,0.541801544736241,5
"US-A10","Saline","AK Coast","SPEI_3","8",6.0025883851393,0.912704606956165,5
"US-A10","Saline","AK Coast","SPEI_6","6",1.66718676017531,1.12057809227886,5
