"site_name","water_class","coast_region","SPEI_timescale","n_months","baseline_WUE_T","mean_abs_pct_change","max_abs_pct_change","pct_months_decrease_10","pct_months_increase_10","pct_months_impacted_10","dry_threshold_observed","wet_threshold_observed"
"US-SO3","Upland","Gulf Coast","SPEI_1",23,1.95482859820314,79.3268255094557,389.772470081304,39.1304347826087,56.5217391304348,95.6521739130435,NA,1.08858154407557
"US-Sne","Freshwater","Pacific Coast","SPEI_1",24,1.64786543741601,71.2443931362389,377.200488310487,54.1666666666667,41.6666666666667,95.8333333333333,-1.2817726059036,1.08263455664065
"US-Slt","Upland","Atlantic Coast","SPEI_1",85,2.7787630438765,70.9163360715567,207.425103754358,47.0588235294118,52.9411764705882,100,-1.11742118039296,1.02516178752964
"US-Atq","Freshwater","AK Coast","SPEI_1",22,2.01051449433836,66.4726597084319,133.065958527559,68.1818181818182,31.8181818181818,100,-1.63742573326211,1.19045986120787
"US-Esm","Freshwater","Atlantic Coast","SPEI_1",50,0.585791604890935,55.5315679571866,234.507423905244,48,44,92,-1.04867879095006,1.51368270887164
"US-Fo1","Freshwater","AK Coast","SPEI_1",3,23.6383533448335,53.8879644364266,80.8319466546399,66.6666666666667,33.3333333333333,100,NA,NA
"US-Cms","Upland","AK Coast","SPEI_1",19,0.987252579628055,51.2522162117658,313.171330638162,52.6315789473684,31.578947368421,84.2105263157895,-1.12202624957369,1.2478412376624
"US-Brw","Upland","AK Coast","SPEI_1",25,2.30389273628562,43.4783231694075,183.963080228468,44,44,88,-1.12202624957369,NA
"US-SCg","Upland","Gulf Coast","SPEI_1",32,10.2843979226506,39.6622878971075,85.3425024301178,53.125,34.375,87.5,-1.05784678021818,NA
"US-SO2","Upland","Gulf Coast","SPEI_1",25,5.55371793591449,38.8959573940467,125.709666312808,60,28,88,-1.41496826374314,1.10827076073428
"US-A10","Saline","AK Coast","SPEI_1",31,3.13934187611269,37.4946540299491,125.113068092658,35.4838709677419,38.7096774193548,74.1935483870968,NA,1.75970909691012
"US-xSE","Upland","Atlantic Coast","SPEI_1",45,5.28220973447225,36.8929102141114,98.3766762498106,46.6666666666667,40,86.6666666666667,-1.26254562061197,1.26643375094112
"US-SCs","Upland","Gulf Coast","SPEI_1",15,10.2554124983591,35.5537072070391,91.5047095278104,53.3333333333333,33.3333333333333,86.6666666666667,-1.21253280158995,1.02463113671195
"US-xBA","Freshwater","AK Coast","SPEI_1",18,6.20430411609436,33.0318438375368,82.08396692604,38.8888888888889,33.3333333333333,72.2222222222222,-1.11860915121092,1.41888003778604
"US-KS2","Upland","Atlantic Coast","SPEI_1",47,3.53928698478105,28.6848080591436,91.8869342457809,51.063829787234,38.2978723404255,89.3617021276596,-1.05128488753376,1.27183090617487
"US-Elm","Freshwater","Atlantic Coast","SPEI_1",43,0.725707618738358,25.8562782494972,90.5591109775818,39.5348837209302,30.2325581395349,69.7674418604651,-1.25664771018606,1.20161895989965
"US-Twt","Upland","Pacific Coast","SPEI_1",32,1.88504753261572,25.2162423966768,165.482881370936,34.375,28.125,62.5,NA,1.39118990219302
"US-LA2","Freshwater","Atlantic Coast","SPEI_1",29,4.11685950869614,25.2110694928001,70.5908657304037,44.8275862068966,27.5862068965517,72.4137931034483,-1.01756004400137,1.36697665342107
"US-xSB","Upland","Atlantic Coast","SPEI_1",43,5.84197349881143,25.1280940997343,77.8232123052267,39.5348837209302,32.5581395348837,72.093023255814,NA,1.0581904310201
"US-KS4","Saline","Atlantic Coast","SPEI_1",25,7.33558061102025,23.260506748453,98.8934125518035,32,32,64,-1.00210174737609,1.05149424143815
"US-CGG","Upland","Pacific Coast","SPEI_1",10,5.13015891873082,21.8053355165465,79.0627595426987,40,10,50,NA,1.66618772849133
"US-NGC","Upland","AK Coast","SPEI_1",17,5.34962274274697,20.9427062455064,50.1160001010428,29.4117647058824,47.0588235294118,76.4705882352941,NA,2.70576396742857
"US-NC4","Freshwater","Atlantic Coast","SPEI_1",78,2.85421450305693,20.5817864333732,62.6800504269145,42.3076923076923,33.3333333333333,75.6410256410256,-1.08185099053599,1.09337515433199
"US-EDN","Saline","Pacific Coast","SPEI_1",39,1.7715284414895,20.5587659219295,71.7458452460593,38.4615384615385,38.4615384615385,76.9230769230769,-1.49250534359172,1.57449873203572
"US-A03","Saline","AK Coast","SPEI_1",12,3.50224907285247,19.9174364404051,43.5230592469884,41.6666666666667,25,66.6666666666667,-1.16375957242196,NA
"US-MRf","Upland","Pacific Coast","SPEI_1",41,9.93766761669805,18.9838049465136,61.7857234224035,36.5853658536585,31.7073170731707,68.2926829268293,-1.21049200384845,1.27363490925564
"US-MCP","Freshwater","Pacific Coast","SPEI_1",3,7.3956217043568,18.8224599340932,28.2336899011398,33.3333333333333,33.3333333333333,66.6666666666667,NA,NA
"US-Skr","Saline","Atlantic Coast","SPEI_1",95,2.77972012426789,18.567560876621,66.1025399945217,42.1052631578947,22.1052631578947,64.2105263157895,-1.08222178897255,1.14923520646023
"US-Dix","Upland","Atlantic Coast","SPEI_1",6,3.62434930264907,18.2533415111365,30.6734708820795,33.3333333333333,33.3333333333333,66.6666666666667,NA,NA
"US-HB1","Saline","Atlantic Coast","SPEI_1",47,1.50460732965371,18.0381577562967,82.7668346717574,23.4042553191489,31.9148936170213,55.3191489361702,-1.77576061184701,1.65033981166708
"US-Snd","Upland","Pacific Coast","SPEI_1",55,3.60791103117273,17.2209558609892,44.5764136688294,32.7272727272727,27.2727272727273,60,-1.10827756504613,1.12852458595449
"US-HB2","Upland","Atlantic Coast","SPEI_1",48,4.62000180741424,16.7217464428556,48.5204775462973,27.0833333333333,43.75,70.8333333333333,-1.02289447670305,1.16986107924787
"US-Tw4","Freshwater","Pacific Coast","SPEI_1",60,2.69767339631265,16.3791144896182,97.690917782551,23.3333333333333,38.3333333333333,61.6666666666667,-1.31734372245573,1.03581670544116
"US-LA3","Saline","Atlantic Coast","SPEI_1",6,4.07858513532113,14.7763383221394,28.6191864652651,33.3333333333333,33.3333333333333,66.6666666666667,NA,NA
"US-TaS","Saline","Atlantic Coast","SPEI_1",12,3.30010643162761,14.6630051158378,36.8894225911504,33.3333333333333,25,58.3333333333333,-1.34997114245731,NA
"US-RRC","Freshwater","Atlantic Coast","SPEI_1",12,2.04914271448715,14.284625662651,24.8300903187361,41.6666666666667,25,66.6666666666667,-1.20047398407813,NA
"US-ONA","Upland","Atlantic Coast","SPEI_1",43,5.02312035725413,13.2647902972218,42.7296591220699,20.9302325581395,25.5813953488372,46.5116279069767,-1.06191802693939,NA
"US-Myb","Freshwater","Pacific Coast","SPEI_1",82,2.75029552299673,12.5759847750381,35.1051015762858,21.9512195121951,29.2682926829268,51.219512195122,NA,1.01718691351688
"US-Tw1","Freshwater","Pacific Coast","SPEI_1",61,3.11387504395808,11.1737899302574,38.620299647334,24.5901639344262,26.2295081967213,50.8196721311475,-1.01642644736599,1.37137375460978
"US-Ced","Upland","Atlantic Coast","SPEI_1",54,2.99473654977154,11.1707352732046,35.7637206140784,27.7777777777778,22.2222222222222,50,-1.02023370719766,1.0017937246744
"US-Tw3","Freshwater","Pacific Coast","SPEI_1",26,3.54242141028415,10.1053964196585,29.5085756138862,26.9230769230769,19.2307692307692,46.1538461538462,NA,1.0838092841309
"US-PHM","Saline","Atlantic Coast","SPEI_1",29,2.41691697189136,10.0371592228105,29.0038909272022,24.1379310344828,17.2413793103448,41.3793103448276,-1.1327660909389,1.1200734606676
"US-StJ","Saline","Atlantic Coast","SPEI_1",18,5.85827234309737,8.7846027263788,25.527744294374,16.6666666666667,16.6666666666667,33.3333333333333,-1.21508618106367,NA
"US-HB3","Upland","Atlantic Coast","SPEI_1",40,4.26608439119275,8.61304287929745,38.4857956101548,7.5,20,27.5,NA,NA
"US-Dmg","Freshwater","Pacific Coast","SPEI_1",11,1.92155855716313,5.7232087753201,11.8113122514534,9.09090909090909,9.09090909090909,18.1818181818182,NA,NA
