"term","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",5.45417780476568,0.633493973356412,8.6096759150968,8.16299260432614e-18
"SPEI_timescaleSPEI_3",0.0111559240009319,0.101578097367946,0.109826077569871,0.912549004235692
"SPEI_timescaleSPEI_6",-0.025531157918021,0.10170481060359,-0.251031959712629,0.801793366876808
"SPEI_timescaleSPEI_12",-0.00821280954898263,0.10078846984241,-0.0814856060601373,0.935057025779148
"SPEI_timescaleSPEI_24",-0.0168052772016932,0.100824838590114,-0.166677947980778,0.86762604968454
"SPEI_timescaleSPEI_36",-0.000354488014760917,0.10069679006393,-0.00352035069375957,0.997191226343399
"SPEI_timescaleSPEI_48",0.00597819590840446,0.100686778205263,0.0593741900869758,0.95265498262028
"water_classFreshwater",-1.27142972057855,0.88878238974841,-1.43052982962281,0.152589042558568
"water_classSaline",-1.69504877912436,0.972035370290681,-1.74381388880681,0.0812151819281166
"month_f2",0.821166102417529,0.299605432046105,2.74082514729294,0.00613688068098584
"month_f3",0.179959014979171,0.285794061271572,0.629680736466275,0.528914553154352
"month_f4",0.0912573316174138,0.283481869119359,0.321915937343388,0.74752155445818
"month_f5",0.256476711087604,0.283217195238065,0.905583119245342,0.365173327878859
"month_f6",-0.319529818999111,0.283648523956279,-1.12649914246817,0.259975094490327
"month_f7",0.036737621782453,0.284727611372249,0.129027253821277,0.897338079433547
"month_f8",0.301356480044244,0.285064807763935,1.0571507665506,0.290462426449042
"month_f9",0.154461014651013,0.286269185407301,0.539565634461311,0.589505861681989
"month_f10",0.533093629054137,0.290944595031035,1.83228572779388,0.06693172210319
"month_f11",0.274612829150698,0.8555110815243,0.32099272011931,0.748221067003369
"SPEI_timescaleSPEI_3:water_classFreshwater",-0.0111445669843069,0.151792206598755,-0.073419889163126,0.941473120462851
"SPEI_timescaleSPEI_6:water_classFreshwater",0.0255827343247206,0.151878402117968,0.168442214086831,0.866238020569661
"SPEI_timescaleSPEI_12:water_classFreshwater",0.00827163531840615,0.151268897346918,0.0546816659834313,0.956392916100695
"SPEI_timescaleSPEI_24:water_classFreshwater",0.0173860447241123,0.151320056874655,0.114895837889579,0.908529458364277
"SPEI_timescaleSPEI_36:water_classFreshwater",0.000490050785371981,0.151211165926591,0.00324083729114217,0.99741424020846
"SPEI_timescaleSPEI_48:water_classFreshwater",-0.00589215515251512,0.151202298764911,-0.0389686876498897,0.968915951582875
"SPEI_timescaleSPEI_3:water_classSaline",-0.0111260399807623,0.167638989526477,-0.0663690470348787,0.947085033197374
"SPEI_timescaleSPEI_6:water_classSaline",0.0303802453928106,0.167819121343887,0.181029701201669,0.856347084700209
"SPEI_timescaleSPEI_12:water_classSaline",0.00827598648388064,0.167161068931046,0.0495090545711603,0.960514382035038
"SPEI_timescaleSPEI_24:water_classSaline",0.0166744537600049,0.167184647980843,0.0997367519170518,0.920554859887669
"SPEI_timescaleSPEI_36:water_classSaline",0.000445226766571482,0.167113486156051,0.00266421805213092,0.997874304938508
"SPEI_timescaleSPEI_48:water_classSaline",-0.00586804021582833,0.167102761545801,-0.0351163569144245,0.971987497606135
