"metric","SPEI_timescale","water_class","coast_region","SPEI_value","month_f","site_name","model_group","decline_probability_10","decline_probability_10_lower","decline_probability_10_upper"
"WUE_ET","SPEI_1","Upland","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_1",0.267218199353222,0.160854690251613,0.40958472106506
"WUE_T","SPEI_1","Upland","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_1",0.249312226159698,0.147335540189121,0.389618993698929
"WUE_ET","SPEI_3","Upland","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_3",0.2466435129161,0.149676626984576,0.378469509888166
"WUE_T","SPEI_3","Upland","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_3",0.232612817201415,0.135258095552504,0.370053815490029
"WUE_ET","SPEI_6","Upland","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_6",0.247622153610356,0.150367986520615,0.379669446888265
"WUE_T","SPEI_6","Upland","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_6",0.231501649764091,0.135811154175659,0.366055403741529
"WUE_ET","SPEI_12","Upland","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_12",0.252444646882726,0.153599120391138,0.38589853565983
"WUE_T","SPEI_12","Upland","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_12",0.247529184651782,0.146799608838581,0.386098625188077
"WUE_ET","SPEI_24","Upland","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_24",0.254644357938119,0.151664521320292,0.394990612728524
"WUE_T","SPEI_24","Upland","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_24",0.214480676406445,0.124694772619839,0.343542506411962
"WUE_ET","SPEI_36","Upland","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_36",0.330749596826667,0.197532080597536,0.498049377953553
"WUE_T","SPEI_36","Upland","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_36",0.275314351821117,0.166277484554922,0.419845852360895
"WUE_ET","SPEI_48","Upland","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_48",0.339060015790466,0.20474516634649,0.50548094850227
"WUE_T","SPEI_48","Upland","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_48",0.337990308346863,0.203444927704267,0.505093568441775
"WUE_ET","SPEI_1","Freshwater","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_1",0.25755187989389,0.147409207006169,0.410379594577297
"WUE_T","SPEI_1","Freshwater","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_1",0.240081419841588,0.134939675189297,0.390194446489657
"WUE_ET","SPEI_3","Freshwater","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_3",0.237480257575569,0.136807795212808,0.37965156494822
"WUE_T","SPEI_3","Freshwater","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_3",0.22381596397027,0.123776535859529,0.370519754602364
"WUE_ET","SPEI_6","Freshwater","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_6",0.238434047225257,0.137465787076178,0.380820206488636
"WUE_T","SPEI_6","Freshwater","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_6",0.222734621379656,0.124165943799446,0.366782738448737
"WUE_ET","SPEI_12","Freshwater","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_12",0.243135425835063,0.140480322085842,0.387027294452959
"WUE_T","SPEI_12","Freshwater","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_12",0.238343435109821,0.134365723810609,0.386827110027509
"WUE_ET","SPEI_24","Freshwater","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_24",0.245280635099058,0.138902290260341,0.3956918009215
"WUE_T","SPEI_24","Freshwater","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_24",0.206185295960631,0.113868294708417,0.344269186658214
"WUE_ET","SPEI_36","Freshwater","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_36",0.319788031114949,0.182329600480483,0.497787786926815
"WUE_T","SPEI_36","Freshwater","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_36",0.265461259408772,0.152493848293193,0.420584651118047
"WUE_ET","SPEI_48","Freshwater","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_48",0.327957996059302,0.1890031901739,0.505407193253941
"WUE_T","SPEI_48","Freshwater","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_48",0.326905990482767,0.187814017286226,0.50496294109192
"WUE_ET","SPEI_1","Saline","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_1",0.282658324693705,0.189484379418586,0.39908889379329
"WUE_T","SPEI_1","Saline","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_1",0.26409060013856,0.173755914490248,0.37980149435568
"WUE_ET","SPEI_3","Saline","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_3",0.261318762334882,0.177476792388244,0.367091627416762
"WUE_T","SPEI_3","Saline","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_3",0.246726650044594,0.159604981527364,0.360977480273509
"WUE_ET","SPEI_6","Saline","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_6",0.262335355382878,0.178307218161575,0.368217193200766
"WUE_T","SPEI_6","Saline","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_6",0.245569637291234,0.160516083015437,0.356549583512553
"WUE_ET","SPEI_12","Saline","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_12",0.267342574068855,0.181999343584623,0.374388711774377
"WUE_T","SPEI_12","Saline","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_12",0.262238787779578,0.173227182735264,0.376177816858343
"WUE_ET","SPEI_24","Saline","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_24",0.269625279052854,0.17876300379635,0.385019080297066
"WUE_T","SPEI_24","Saline","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_24",0.227820955263296,0.1476831957651,0.334383768118672
"WUE_ET","SPEI_36","Saline","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_36",0.348116720262047,0.228917301101577,0.489946210519172
"WUE_T","SPEI_36","Saline","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_36",0.291036484717806,0.195576079523161,0.409378813025233
"WUE_ET","SPEI_48","Saline","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_48",0.356630974250598,0.237193303185906,0.49702388462242
"WUE_T","SPEI_48","Saline","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_48",0.355535651647756,0.235634275413213,0.496794419233555
"WUE_ET","SPEI_1","Upland","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_1",0.300385106760649,0.181146873899925,0.454542665320792
"WUE_T","SPEI_1","Upland","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_1",0.281109242904603,0.166312712842498,0.433903216702587
"WUE_ET","SPEI_3","Upland","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_3",0.278226313735367,0.168744571948929,0.422626004451107
"WUE_T","SPEI_3","Upland","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_3",0.263026257879208,0.152988112644778,0.413566176576133
"WUE_ET","SPEI_6","Upland","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_6",0.279283812946627,0.169506716725047,0.423870000289124
"WUE_T","SPEI_6","Upland","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_6",0.261819376260428,0.153497609583965,0.409595132296047
"WUE_ET","SPEI_12","Upland","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_12",0.284489767736322,0.173058707428258,0.43033256967728
"WUE_T","SPEI_12","Upland","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_12",0.279183367703705,0.165613856837785,0.430455103791161
