"metric","SPEI_timescale","water_class","coast_region","dry_SPEI_prob_25","dry_SPEI_prob_50","dry_SPEI_prob_75","wet_SPEI_prob_25","wet_SPEI_prob_50","wet_SPEI_prob_75","min_decline_probability_10","max_decline_probability_10"
"WUE_ET","SPEI_1","Upland","Atlantic Coast",-1.00254315838463,NA,NA,NA,NA,NA,0.230634518769684,0.267218199353222
"WUE_ET","SPEI_1","Upland","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.260877234432722,0.300385106760649
"WUE_ET","SPEI_1","Upland","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.343218687594438,0.388639676962762
"WUE_ET","SPEI_1","Upland","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.301310336563587,0.344090863055309
"WUE_ET","SPEI_1","Freshwater","Atlantic Coast",-1.34305748262971,NA,NA,NA,NA,NA,0.221890847311058,0.25755187989389
"WUE_ET","SPEI_1","Freshwater","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.251361610405036,0.289993815286113
"WUE_ET","SPEI_1","Freshwater","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.332048908373281,0.376839845298789
"WUE_ET","SPEI_1","Freshwater","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.290900346803282,0.332907086893331
"WUE_ET","SPEI_1","Saline","Atlantic Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.244666588351725,0.282658324693705
"WUE_ET","SPEI_1","Saline","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.27608901576785,0.316912838116684
"WUE_ET","SPEI_1","Saline","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.360887484320266,0.407197038413507
"WUE_ET","SPEI_1","Saline","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.317865846073416,0.361779826875352
"WUE_ET","SPEI_3","Upland","Atlantic Coast",NA,NA,NA,NA,NA,NA,0.246618138972828,0.2466435129161
"WUE_ET","SPEI_3","Upland","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.278198890489673,0.278226313735367
"WUE_ET","SPEI_3","Upland","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.36332015275178,0.363351742885098
"WUE_ET","SPEI_3","Upland","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.32015378562077,0.320183509997192
"WUE_ET","SPEI_3","Freshwater","Atlantic Coast",NA,NA,NA,NA,NA,NA,0.237455529188201,0.237480257575569
"WUE_ET","SPEI_3","Freshwater","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.268280782013111,0.268307591007831
"WUE_ET","SPEI_3","Freshwater","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.351846643739093,0.351877787620331
"WUE_ET","SPEI_3","Freshwater","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.30938104674042,0.309410226134121
"WUE_ET","SPEI_3","Saline","Atlantic Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.261292402282674,0.261318762334882
"WUE_ET","SPEI_3","Saline","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.294018916161697,0.294047263567084
"WUE_ET","SPEI_3","Saline","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.381422801352849,0.381455022452088
"WUE_ET","SPEI_3","Saline","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.337244902488241,0.337275426448852
"WUE_ET","SPEI_6","Upland","Atlantic Coast",NA,NA,NA,NA,NA,NA,0.247589682304356,0.247622153610356
"WUE_ET","SPEI_6","Upland","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.279248730756446,0.279283812946627
"WUE_ET","SPEI_6","Upland","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.364528989483847,0.364569366240852
"WUE_ET","SPEI_6","Upland","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.321291476722411,0.321329485981151
"WUE_ET","SPEI_6","Freshwater","Atlantic Coast",NA,NA,NA,NA,NA,NA,0.238402399000395,0.238434047225257
"WUE_ET","SPEI_6","Freshwater","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.269307158827243,0.269341458784435
"WUE_ET","SPEI_6","Freshwater","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.35303847365968,0.353078284833291
"WUE_ET","SPEI_6","Freshwater","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.31049794004943,0.310535256643695
"WUE_ET","SPEI_6","Saline","Atlantic Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.262301627337915,0.262335355382878
"WUE_ET","SPEI_6","Saline","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.295104048497721,0.295140306933009
"WUE_ET","SPEI_6","Saline","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.382655669217115,0.382696844620573
"WUE_ET","SPEI_6","Saline","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.338413095787113,0.338452120494649
"WUE_ET","SPEI_12","Upland","Atlantic Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.252032631073101,0.252444646882726
