"metric","water_class","SPEI_value","month_f","site_name","SPEI_timescale","model_group","decline_probability_2_5","decline_probability_2_5_lower","decline_probability_2_5_upper"
"WUE_ET","Upland",-2.23247893487863,"7","US-A03","SPEI_48","WUE_ET",0.579759520556072,0.434134235613202,0.712708610403948
"WUE_T","Upland",-2.23247893487863,"7","US-A03","SPEI_48","WUE_T",0.442545778294435,0.327874597383611,0.563687373733459
"WUE_ET","Freshwater",-2.23247893487863,"7","US-A03","SPEI_48","WUE_ET",0.592207953092508,0.445292603889035,0.724303551269022
"WUE_T","Freshwater",-2.23247893487863,"7","US-A03","SPEI_48","WUE_T",0.45523958193333,0.336631184640417,0.579153322305248
"WUE_ET","Saline",-2.23247893487863,"7","US-A03","SPEI_48","WUE_ET",0.649890458718793,0.511845435970589,0.766691854684791
"WUE_T","Saline",-2.23247893487863,"7","US-A03","SPEI_48","WUE_T",0.516477778068941,0.399597341906232,0.63158281221918
"WUE_ET","Upland",-2.20950866867806,"7","US-A03","SPEI_48","WUE_ET",0.577397064621053,0.432432343567671,0.710153226392883
"WUE_T","Upland",-2.20950866867806,"7","US-A03","SPEI_48","WUE_T",0.442545385692388,0.327874632827548,0.563686551375773
"WUE_ET","Freshwater",-2.20950866867806,"7","US-A03","SPEI_48","WUE_ET",0.589865972149286,0.443542164232067,0.72184285032386
"WUE_T","Freshwater",-2.20950866867806,"7","US-A03","SPEI_48","WUE_T",0.455239187266418,0.336631193491893,0.579152536874621
"WUE_ET","Saline",-2.20950866867806,"7","US-A03","SPEI_48","WUE_ET",0.647682670125961,0.510122816356068,0.764451255976192
"WUE_T","Saline",-2.20950866867806,"7","US-A03","SPEI_48","WUE_T",0.516477380645684,0.399597376601228,0.631582037967033
"WUE_ET","Upland",-2.1865384024775,"7","US-A03","SPEI_48","WUE_ET",0.57503188625928,0.430713043495943,0.70760186663158
"WUE_T","Upland",-2.1865384024775,"7","US-A03","SPEI_48","WUE_T",0.442544989239807,0.327874660294818,0.56368573024234
"WUE_ET","Freshwater",-2.1865384024775,"7","US-A03","SPEI_48","WUE_ET",0.587520725872393,0.44177410385412,0.719385627386168
"WUE_T","Freshwater",-2.1865384024775,"7","US-A03","SPEI_48","WUE_T",0.455238788728704,0.336631194497189,0.579151752398712
"WUE_ET","Saline",-2.1865384024775,"7","US-A03","SPEI_48","WUE_ET",0.645469325327721,0.508380037046577,0.762211480614484
"WUE_T","Saline",-2.1865384024775,"7","US-A03","SPEI_48","WUE_T",0.516476979324513,0.399597402359957,0.63158126511729
"WUE_ET","Upland",-2.16356813627694,"7","US-A03","SPEI_48","WUE_ET",0.572664135475881,0.428976873889962,0.705054589803894
"WUE_T","Upland",-2.16356813627694,"7","US-A03","SPEI_48","WUE_T",0.442544588715772,0.327874679859641,0.563684909809836
"WUE_ET","Freshwater",-2.16356813627694,"7","US-A03","SPEI_48","WUE_ET",0.585172360893546,0.439988985445291,0.716931914057102
"WUE_T","Freshwater",-2.16356813627694,"7","US-A03","SPEI_48","WUE_T",0.455238386098106,0.336631187733428,0.579150968356809
"WUE_ET","Saline",-2.16356813627694,"7","US-A03","SPEI_48","WUE_ET",0.643250548401681,0.506617580183569,0.759972601119742
"WUE_T","Saline",-2.16356813627694,"7","US-A03","SPEI_48","WUE_T",0.516476573881792,0.39959741926585,0.63158049317229
"WUE_ET","Upland",-2.14059787007637,"7","US-A03","SPEI_48","WUE_ET",0.570293964735032,0.427224407658423,0.702511420620637
"WUE_T","Upland",-2.14059787007637,"7","US-A03","SPEI_48","WUE_T",0.442544183888867,0.327874691598337,0.563684089531661
"WUE_ET","Freshwater",-2.14059787007637,"7","US-A03","SPEI_48","WUE_ET",0.582821026424735,0.438187406605435,0.714481708394153
"WUE_T","Freshwater",-2.14059787007637,"7","US-A03","SPEI_48","WUE_T",0.455237979141989,0.336631173280224,0.579150184204739
"WUE_ET","Saline",-2.14059787007637,"7","US-A03","SPEI_48","WUE_ET",0.64102646643309,0.504835965741681,0.75773465972228
"WUE_T","Saline",-2.14059787007637,"7","US-A03","SPEI_48","WUE_T",0.516476164083259,0.399597427404741,0.631579721612238
"WUE_ET","Upland",-2.11762760387581,"7","US-A03","SPEI_48","WUE_ET",0.567921528088884,0.425456252665991,0.699972347140311
"WUE_T","Upland",-2.11762760387581,"7","US-A03","SPEI_48","WUE_T",0.442543774522387,0.327874695589217,0.563683268848455
"WUE_ET","Freshwater",-2.11762760387581,"7","US-A03","SPEI_48","WUE_ET",0.580466873397222,0.436370000035963,0.71203497257865
"WUE_T","Freshwater",-2.11762760387581,"7","US-A03","SPEI_48","WUE_T",0.455237567622405,0.336631151219423,0.579149399385446
"WUE_ET","Saline",-2.11762760387581,"7","US-A03","SPEI_48","WUE_ET",0.638797208717226,0.503035752576125,0.755497665609302
"WUE_T","Saline",-2.11762760387581,"7","US-A03","SPEI_48","WUE_T",0.516475749689301,0.399597426864728,0.63157894990517
"WUE_ET","Upland",-2.09465733767525,"7","US-A03","SPEI_48","WUE_ET",0.565546980947356,0.423673047001858,0.697437323703934
"WUE_T","Upland",-2.09465733767525,"7","US-A03","SPEI_48","WUE_T",0.442543360375972,0.32787469191207,0.563682447191909
"WUE_ET","Freshwater",-2.09465733767525,"7","US-A03","SPEI_48","WUE_ET",0.578110054235431,0.43453742866509,0.709591635873429
"WUE_T","Freshwater",-2.09465733767525,"7","US-A03","SPEI_48","WUE_T",0.455237151297727,0.336631121634606,0.57914861333275
"WUE_ET","Saline",-2.09465733767525,"7","US-A03","SPEI_48","WUE_ET",0.636562906558506,0.501217533763692,0.753261597328477
"WUE_T","Saline",-2.09465733767525,"7","US-A03","SPEI_48","WUE_T",0.516475330456602,0.399597417735606,0.631578177510573
"WUE_ET","Upland",-2.07168707147468,"7","US-A03","SPEI_48","WUE_ET",0.563170479498333,0.421875463357288,0.694906265490018
"WUE_T","Upland",-2.07168707147468,"7","US-A03","SPEI_48","WUE_T",0.442542941208321,0.32787468064823,0.563681623990121
"WUE_ET","Freshwater",-2.07168707147468,"7","US-A03","SPEI_48","WUE_ET",0.575750722283375,0.432690389822057,0.707151589498562
"WUE_T","Freshwater",-2.07168707147468,"7","US-A03","SPEI_48","WUE_T",0.455236729925386,0.336631084610974,0.579147825476846
"WUE_ET","Saline",-2.07168707147468,"7","US-A03","SPEI_48","WUE_ET",0.634323692738211,0.49938194166672,0.751026397514757
"WUE_T","Saline",-2.07168707147468,"7","US-A03","SPEI_48","WUE_T",0.516474906140893,0.399597400108915,0.631577403884469
"WUE_ET","Upland",-2.04871680527412,"7","US-A03","SPEI_48","WUE_ET",0.560792180475706,0.42006420765844,0.692379048544111
"WUE_T","Upland",-2.04871680527412,"7","US-A03","SPEI_48","WUE_T",0.442542516778174,0.327874661880094,0.563680798670079
"WUE_ET","Freshwater",-2.04871680527412,"7","US-A03","SPEI_48","WUE_ET",0.573389031575687,0.430829613770783,0.704714686737003
"WUE_T","Freshwater",-2.04871680527412,"7","US-A03","SPEI_48","WUE_T",0.455236303262851,0.336631040234811,0.579147035246829
"WUE_ET","Saline",-2.04871680527412,"7","US-A03","SPEI_48","WUE_ET",0.632079701306094,0.497529646860378,0.748791972612417
"WUE_T","Saline",-2.04871680527412,"7","US-A03","SPEI_48","WUE_T",0.516474476497947,0.39959737407739,0.631576628481793
"WUE_ET","Upland",-2.02574653907356,"7","US-A03","SPEI_48","WUE_ET",0.558412241082816,0.418240016317765,0.689855511329108
"WUE_T","Upland",-2.02574653907356,"7","US-A03","SPEI_48","WUE_T",0.442542086844305,0.327874635690518,0.563679970658325
"WUE_ET","Freshwater",-2.02574653907356,"7","US-A03","SPEI_48","WUE_ET",0.57102513676265,0.428955860923594,0.702280744466608
"WUE_T","Freshwater",-2.02574653907356,"7","US-A03","SPEI_48","WUE_T",0.455235871067626,0.33663098859286,0.579146242071351
"WUE_ET","Saline",-2.02574653907356,"7","US-A03","SPEI_48","WUE_ET",0.629831067517056,0.495661355545256,0.74655819400895
"WUE_T","Saline",-2.02574653907356,"7","US-A03","SPEI_48","WUE_T",0.516474041283572,0.399597339734283,0.631575850757041
"WUE_ET","Upland",-2.00277627287299,"7","US-A03","SPEI_48","WUE_ET",0.556030818912876,0.416403645469976,0.687335463440473
"WUE_T","Upland",-2.00277627287299,"7","US-A03","SPEI_48","WUE_T",0.442541651167268,0.327874602161578,0.563679139385821
"WUE_ET","Freshwater",-2.00277627287299,"7","US-A03","SPEI_48","WUE_ET",0.568659193032121,0.427069910962819,0.699849551713597
"WUE_T","Freshwater",-2.00277627287299,"7","US-A03","SPEI_48","WUE_T",0.455235433099006,0.336630929771145,0.579145445383372
"WUE_ET","Saline",-2.00277627287299,"7","US-A03","SPEI_48","WUE_ET",0.627577927764308,0.493777798417467,0.744324905739985
"WUE_T","Saline",-2.00277627287299,"7","US-A03","SPEI_48","WUE_T",0.516473600255376,0.399597297171986,0.631575070168902
"WUE_ET","Upland",-1.97980600667243,"7","US-A03","SPEI_48","WUE_ET",0.553648071814292,0.414555851342194,0.684818702429853
"WUE_T","Upland",-1.97980600667243,"7","US-A03","SPEI_48","WUE_T",0.442541209513955,0.327874561372777,0.563678304299038
"WUE_ET","Freshwater",-1.97980600667243,"7","US-A03","SPEI_48","WUE_ET",0.566291355976525,0.425172542969946,0.697420886193206
"WUE_T","Freshwater",-1.97980600667243,"7","US-A03","SPEI_48","WUE_T",0.455234989122657,0.33663086385331,0.579144644630968
"WUE_ET","Saline",-1.97980600667243,"7","US-A03","SPEI_48","WUE_ET",0.625320419459588,0.491879710033251,0.742091939683941
"WUE_T","Saline",-1.97980600667243,"7","US-A03","SPEI_48","WUE_T",0.516473153177384,0.399597246480046,0.631574286190772
"WUE_ET","Upland",-1.95683574047186,"7","US-A03","SPEI_48","WUE_ET",0.551264157828616,0.412697387038031,0.682305016656164
"WUE_T","Upland",-1.95683574047186,"7","US-A03","SPEI_48","WUE_T",0.44254076165815,0.327874513400618,0.563677464861531
"WUE_ET","Freshwater",-1.95683574047186,"7","US-A03","SPEI_48","WUE_ET",0.563921781531847,0.42326453217547,0.694994517119393
"WUE_T","Freshwater",-1.95683574047186,"7","US-A03","SPEI_48","WUE_T",0.45523453891117,0.336630790920174,0.579143839278918
"WUE_ET","Saline",-1.95683574047186,"7","US-A03","SPEI_48","WUE_ET",0.623058680981197,0.489967825486602,0.739859118075533
"WUE_T","Saline",-1.95683574047186,"7","US-A03","SPEI_48","WUE_T",0.516472699820595,0.399597187744695,0.631573498312267
"WUE_ET","Upland",-1.9338654742713,"7","US-A03","SPEI_48","WUE_ET",0.54887923512864,0.410828995496468,0.679794191663967
"WUE_T","Upland",-1.9338654742713,"7","US-A03","SPEI_48","WUE_T",0.442540307382568,0.327874458317871,0.563676620558834
"WUE_ET","Freshwater",-1.9338654742713,"7","US-A03","SPEI_48","WUE_ET",0.561550625916654,0.42134664281868,0.692570211497706
"WUE_T","Freshwater",-1.9338654742713,"7","US-A03","SPEI_48","WUE_T",0.455234082246117,0.336630711048985,0.579143028813543
"WUE_ET","Saline",-1.9338654742713,"7","US-A03","SPEI_48","WUE_ET",0.620792851621604,0.488042872995089,0.737626259267651
"WUE_T","Saline",-1.9338654742713,"7","US-A03","SPEI_48","WUE_T",0.516472239965051,0.399597121048015,0.63157270604387
"WUE_ET","Upland",-1.91089520807074,"7","US-A03","SPEI_48","WUE_ET",0.546493462036363,0.408951410702235,0.677286009441567
"WUE_T","Upland",-1.91089520807074,"7","US-A03","SPEI_48","WUE_T",0.442539846477335,0.327874396193486,0.563675770895516
"WUE_ET","Freshwater",-1.91089520807074,"7","US-A03","SPEI_48","WUE_ET",0.559178045650433,0.419419629439937,0.690147733350663
"WUE_T","Freshwater",-1.91089520807074,"7","US-A03","SPEI_48","WUE_T",0.455233618916521,0.336630624313298,0.579142212739839
"WUE_ET","Saline",-1.91089520807074,"7","US-A03","SPEI_48","WUE_ET",0.618523071610491,0.486105575182636,0.735393177029189
"WUE_T","Saline",-1.91089520807074,"7","US-A03","SPEI_48","WUE_T",0.516471773398296,0.399597046467844,0.63157190891416
"WUE_ET","Upland",-1.88792494187017,"7","US-A03","SPEI_48","WUE_ET",0.544106997053459,0.40706535401197,0.674780252098746
"WUE_T","Upland",-1.88792494187017,"7","US-A03","SPEI_48","WUE_T",0.442539378740493,0.327874327092072,0.563674915396773
"WUE_ET","Freshwater",-1.88792494187017,"7","US-A03","SPEI_48","WUE_ET",0.556804197584373,0.417484233196212,0.687726847313885
"WUE_T","Freshwater",-1.88792494187017,"7","US-A03","SPEI_48","WUE_T",0.455233148719358,0.336630530782444,0.579141390583051
"WUE_ET","Saline",-1.88792494187017,"7","US-A03","SPEI_48","WUE_ET",0.61624948214978,0.484156645172133,0.73315968388671
"WUE_T","Saline",-1.88792494187017,"7","US-A03","SPEI_48","WUE_T",0.516471299915883,0.399596964077182,0.631571106471339
"WUE_ET","Upland",-1.86495467566961,"7","US-A03","SPEI_48","WUE_ET",0.54171999887275,0.405171530150783,0.672276705914729
"WUE_T","Upland",-1.86495467566961,"7","US-A03","SPEI_48","WUE_T",0.442538903978343,0.32787425107337,0.563674053609699
"WUE_ET","Freshwater",-1.86495467566961,"7","US-A03","SPEI_48","WUE_ET",0.554429238913268,0.415541177859581,0.6853073225822
"WUE_T","Freshwater",-1.86495467566961,"7","US-A03","SPEI_48","WUE_T",0.455232671459911,0.336630430520992,0.57914056188994
"WUE_ET","Saline",-1.86495467566961,"7","US-A03","SPEI_48","WUE_ET",0.61397222543066,0.482196782280494,0.730925594844429
"WUE_T","Saline",-1.86495467566961,"7","US-A03","SPEI_48","WUE_T",0.51647081932173,0.399596873943601,0.631570298284448
"WUE_ET","Upland",-1.84198440946905,"7","US-A03","SPEI_48","WUE_ET",0.539332626444068,0.403270625363378,0.669775163614347
"WUE_T","Upland",-1.84198440946905,"7","US-A03","SPEI_48","WUE_T",0.442538422004991,0.327874168191872,0.563673185102811
"WUE_ET","Freshwater",-1.84198440946905,"7","US-A03","SPEI_48","WUE_ET",0.552053327241537,0.413591168014852,0.682888935097229
"WUE_T","Freshwater",-1.84198440946905,"7","US-A03","SPEI_48","WUE_T",0.455232186951305,0.336630323588359,0.57913972622831
"WUE_ET","Saline",-1.84198440946905,"7","US-A03","SPEI_48","WUE_ET",0.611691444702601,0.480226669974621,0.728690729504263
"WUE_T","Saline",-1.84198440946905,"7","US-A03","SPEI_48","WUE_T",0.516470331427651,0.399596776128813,0.631569483942937
"WUE_ET","Upland",-1.81901414326848,"7","US-A03","SPEI_48","WUE_ET",0.536945039250344,0.40136329047393,0.667275441014091
"WUE_T","Upland",-1.81901414326848,"7","US-A03","SPEI_48","WUE_T",0.442537932649696,0.3278740784954,0.563672309482285
"WUE_ET","Freshwater",-1.81901414326848,"7","US-A03","SPEI_48","WUE_ET",0.549676620858619,0.411634871805017,0.680471484022887
"WUE_T","Freshwater",-1.81901414326848,"7","US-A03","SPEI_48","WUE_T",0.455231695021903,0.336630210037425,0.579138883203049
"WUE_ET","Saline",-1.81901414326848,"7","US-A03","SPEI_48","WUE_ET",0.609407284544058,0.478246957728293,0.726454927390087
"WUE_T","Saline",-1.81901414326848,"7","US-A03","SPEI_48","WUE_T",0.516469836060803,0.399596670687097,0.631568663072048
"WUE_ET","Upland",-1.79604387706792,"7","US-A03","SPEI_48","WUE_ET",0.534557397451385,0.399450135773572,0.66477738294654
"WUE_T","Upland",-1.79604387706792,"7","US-A03","SPEI_48","WUE_T",0.442537435758587,0.327873982024732,0.563671426395784
"WUE_ET","Freshwater",-1.79604387706792,"7","US-A03","SPEI_48","WUE_ET",0.547299278882988,0.409672915773278,0.678054797578343
"WUE_T","Freshwater",-1.79604387706792,"7","US-A03","SPEI_48","WUE_T",0.455231195517021,0.336630089914163,0.579138032459907
"WUE_ET","Saline",-1.79604387706792,"7","US-A03","SPEI_48","WUE_ET",0.607119891008438,0.476258255352655,0.724218053546315
