"site_name","metric","SPEI_timescale","month_f","baseline_WUE","baseline_n"
"US-A03","WUE_ET","SPEI_48","6",1.17507264512215,3
"US-A03","WUE_ET","SPEI_48","7",2.42415619315489,3
"US-A03","WUE_ET","SPEI_48","8",2.61030209699231,3
"US-A03","WUE_T","SPEI_48","6",3.28544180799684,3
"US-A03","WUE_T","SPEI_48","7",9.38625705831589,3
"US-A03","WUE_T","SPEI_48","8",10.7105443172871,3
"US-A10","WUE_ET","SPEI_48","6",1.10382590763316,7
"US-A10","WUE_ET","SPEI_48","7",2.47893319593217,7
"US-A10","WUE_ET","SPEI_48","8",3.08687519491271,5
"US-A10","WUE_T","SPEI_48","6",2.14814709312946,7
"US-A10","WUE_T","SPEI_48","7",4.4095696059793,7
"US-A10","WUE_T","SPEI_48","8",6.55754333211764,5
"US-Atq","WUE_ET","SPEI_48","5",0.514361854831923,3
"US-Atq","WUE_ET","SPEI_48","6",0.851853000013816,6
"US-Atq","WUE_ET","SPEI_48","7",0.94702660779944,6
"US-Atq","WUE_ET","SPEI_48","8",0.876873762344271,6
"US-Atq","WUE_T","SPEI_48","5",1.06940827636576,3
"US-Atq","WUE_T","SPEI_48","6",1.97283452694987,6
"US-Atq","WUE_T","SPEI_48","7",1.98067288447702,6
"US-Atq","WUE_T","SPEI_48","8",2.0638502568535,6
"US-Brw","WUE_ET","SPEI_48","6",0.920651826494099,9
"US-Brw","WUE_ET","SPEI_48","7",1.73547540690023,8
"US-Brw","WUE_ET","SPEI_48","8",1.96103810021219,8
"US-Brw","WUE_T","SPEI_48","6",1.94124556605774,9
"US-Brw","WUE_T","SPEI_48","7",2.73451475358346,8
"US-Brw","WUE_T","SPEI_48","8",3.52934663246243,8
"US-BWb","WUE_ET","SPEI_48","5",4.5725827801704,1
"US-BWb","WUE_ET","SPEI_48","6",2.19148947047253,1
"US-BWb","WUE_ET","SPEI_48","7",1.95609141861516,1
"US-BWb","WUE_ET","SPEI_48","8",2.30936111391776,1
"US-BWb","WUE_T","SPEI_48","5",8.38276372845264,1
"US-BWb","WUE_T","SPEI_48","6",3.64741592430362,1
"US-BWb","WUE_T","SPEI_48","7",4.31620080913767,1
"US-BWb","WUE_T","SPEI_48","8",3.91456460108346,1
"US-Ced","WUE_ET","SPEI_48","4",1.96228686420499,3
"US-Ced","WUE_ET","SPEI_48","5",2.15311857178916,5
"US-Ced","WUE_ET","SPEI_48","6",2.57106475749592,7
"US-Ced","WUE_ET","SPEI_48","7",2.35562891377797,8
"US-Ced","WUE_ET","SPEI_48","8",2.4796999228964,8
"US-Ced","WUE_ET","SPEI_48","9",2.54832318467977,7
"US-Ced","WUE_ET","SPEI_48","10",2.42426695669926,5
"US-Ced","WUE_T","SPEI_48","4",3.18310263114957,3
"US-Ced","WUE_T","SPEI_48","5",3.03976246459381,5
"US-Ced","WUE_T","SPEI_48","6",3.27871006057854,7
"US-Ced","WUE_T","SPEI_48","7",2.9513844097803,8
"US-Ced","WUE_T","SPEI_48","8",3.12088675674293,8
"US-Ced","WUE_T","SPEI_48","9",3.28307723906628,7
"US-Ced","WUE_T","SPEI_48","10",3.34636615054341,5
"US-CGG","WUE_ET","SPEI_48","2",1.71870003947816,2
"US-CGG","WUE_ET","SPEI_48","3",2.53326939588642,3
"US-CGG","WUE_ET","SPEI_48","4",2.93475454545591,2
