"site_name","water_class","coast_region","metric","SPEI_timescale","n_months","baseline_WUE","mean_pct_change","min_pct_change","pct_months_decline_2_5","pct_months_decline_5","pct_months_decline_10","pct_months_decline_20","dry_decline_2_5_threshold","dry_decline_5_threshold","dry_decline_10_threshold","dry_decline_20_threshold","wet_decline_5_threshold","wet_decline_2_5_threshold","wet_decline_10_threshold","wet_decline_20_threshold"
"US-A03","Saline","AK Coast","WUE_ET","SPEI_48",16,1.17507264512215,0.0424759775515997,-50.0328621541148,43.75,43.75,31.25,18.75,NA,NA,NA,NA,1.03933178951754,1.03933178951754,1.03933178951754,1.03933178951754
"US-A03","Saline","AK Coast","WUE_T","SPEI_48",16,3.28544180799684,4.11519958865673,-32.852674946747,37.5,37.5,37.5,12.5,NA,NA,NA,NA,1.03933178951754,1.03933178951754,1.03933178951754,1.63652085909347
"US-A10","Saline","AK Coast","WUE_ET","SPEI_48",31,1.10382590763316,18.1136205563709,-59.8883508084662,41.9354838709677,38.7096774193548,35.4838709677419,22.5806451612903,NA,NA,NA,NA,1.26624561057472,1.26624561057472,1.26624561057472,NA
"US-A10","Saline","AK Coast","WUE_T","SPEI_48",31,2.14814709312946,23.1365082601097,-61.7970525613268,32.258064516129,32.258064516129,32.258064516129,25.8064516129032,NA,NA,NA,NA,1.26624561057472,1.26624561057472,1.26624561057472,1.83842423932588
"US-Atq","Freshwater","AK Coast","WUE_ET","SPEI_48",26,0.514361854831923,-6.7041812576891,-95.5955798053706,57.6923076923077,57.6923076923077,57.6923076923077,50,NA,NA,NA,NA,1.00337832946259,1.00337832946259,1.00337832946259,1.00337832946259
"US-Atq","Freshwater","AK Coast","WUE_T","SPEI_48",26,1.06940827636576,-8.82046198452815,-97.3225360240785,69.2307692307692,69.2307692307692,65.3846153846154,61.5384615384615,NA,NA,NA,NA,1.00337832946259,1.00337832946259,1.00337832946259,1.00337832946259
"US-Brw","Upland","AK Coast","WUE_ET","SPEI_48",25,1.73547540690023,0,-79.4439320789805,52,52,44,36,NA,NA,NA,NA,NA,NA,NA,NA
"US-Brw","Upland","AK Coast","WUE_T","SPEI_48",25,2.73451475358346,1.13686837721616e-15,-83.9289719823094,52,48,44,40,NA,NA,NA,NA,NA,NA,NA,NA
"US-Ced","Upland","Atlantic Coast","WUE_ET","SPEI_48",56,2.35562891377797,-0.824063032678661,-21.7264483530652,48.2142857142857,37.5,21.4285714285714,7.14285714285714,-1.04324846661994,-1.04324846661994,-1.04324846661994,-1.05416796412645,NA,1.05819461129875,NA,NA
"US-Ced","Upland","Atlantic Coast","WUE_T","SPEI_48",56,2.9513844097803,0.151004571365491,-26.7194124364912,42.8571428571429,35.7142857142857,16.0714285714286,7.14285714285714,-1.05416796412645,-1.05416796412645,-1.57573946891159,-1.57573946891159,NA,1.05819461129875,NA,NA
