"metric","SPEI_timescale","water_class","decline_threshold_pct","dry_SPEI_threshold","dry_SPEI_threshold_lower","dry_SPEI_threshold_upper","wet_SPEI_threshold","wet_SPEI_threshold_lower","wet_SPEI_threshold_upper","min_predicted_pct_change","max_predicted_pct_change"
"WUE_ET","SPEI_48","Upland",0.5,-1.00307259100315,NA,-1.00307259100315,1.02007315219112,NA,1.02007315219112,-2.97206719184131,-0.71241448801525
"WUE_ET","SPEI_48","Upland",1,-1.00307259100315,NA,-1.00307259100315,1.4292486957585,NA,1.02007315219112,-2.97206719184131,-0.71241448801525
"WUE_ET","SPEI_48","Upland",1.5,-1.00307259100315,NA,-1.00307259100315,NA,NA,1.02007315219112,-2.97206719184131,-0.71241448801525
"WUE_ET","SPEI_48","Upland",2.5,-1.68503183028212,NA,-1.00307259100315,NA,NA,1.02007315219112,-2.97206719184131,-0.71241448801525
"WUE_ET","SPEI_48","Upland",5,NA,NA,-1.00307259100315,NA,NA,1.02007315219112,-2.97206719184131,-0.71241448801525
"WUE_ET","SPEI_48","Upland",10,NA,NA,-2.07147539920687,NA,NA,NA,-2.97206719184131,-0.71241448801525
"WUE_ET","SPEI_48","Upland",20,NA,NA,NA,NA,NA,NA,-2.97206719184131,-0.71241448801525
"WUE_T","SPEI_48","Upland",0.5,NA,NA,-1.00307259100315,1.02007315219112,NA,1.02007315219112,-2.35066324218789,0.716529781828453
"WUE_T","SPEI_48","Upland",1,NA,NA,-1.00307259100315,1.02007315219112,NA,1.02007315219112,-2.35066324218789,0.716529781828453
"WUE_T","SPEI_48","Upland",1.5,NA,NA,-1.00307259100315,1.02007315219112,NA,1.02007315219112,-2.35066324218789,0.716529781828453
"WUE_T","SPEI_48","Upland",2.5,NA,NA,-1.00307259100315,NA,NA,1.02007315219112,-2.35066324218789,0.716529781828453
"WUE_T","SPEI_48","Upland",5,NA,NA,-1.00307259100315,NA,NA,1.02007315219112,-2.35066324218789,0.716529781828453
"WUE_T","SPEI_48","Upland",10,NA,NA,NA,NA,NA,NA,-2.35066324218789,0.716529781828453
"WUE_T","SPEI_48","Upland",20,NA,NA,NA,NA,NA,NA,-2.35066324218789,0.716529781828453
"WUE_ET","SPEI_48","Freshwater",0.5,-1.00307259100315,NA,-1.00307259100315,1.11100105076165,NA,1.02007315219112,-2.65821227881403,-0.398559574987967
"WUE_ET","SPEI_48","Freshwater",1,-1.00307259100315,NA,-1.00307259100315,1.83842423932588,NA,1.02007315219112,-2.65821227881403,-0.398559574987967
