"site_name","Year","month","water_class","difference_type","Trans_ratio","Trans_ratio_z","WUE_difference","smooth_fitted","smooth_residual"
"US-A03",2015,6,"Saline","WUE_ET_minus_WUE_T",0.252954658982922,-1.72386190136984,-2.71892416630598,-4.6875783575645,1.96865419125852
"US-A03",2017,7,"Saline","WUE_ET_minus_WUE_T",0.250778861320323,-1.73626549794183,-7.42314038539349,-4.88791629404904,-2.53522409134445
"US-A03",2018,7,"Saline","WUE_ET_minus_WUE_T",0.187789984600124,-2.09534696438062,-8.52363284171434,-6.07549240037376,-2.44814044134058
"US-A03",2019,6,"Saline","WUE_ET_minus_WUE_T",0.302171321440203,-1.44329186664948,-2.77038021333929,-3.88521307476274,1.11483286142345
"US-A03",2019,7,"Saline","WUE_ET_minus_WUE_T",0.331341995117861,-1.27699824741715,-5.23833652167453,-3.63567976527617,-1.60265675639837
"US-A03",2020,6,"Saline","WUE_ET_minus_WUE_T",0.314167304335341,-1.37490621899782,-3.30489069488708,-3.70995702768351,0.405066332796431
"US-A03",2020,8,"Saline","WUE_ET_minus_WUE_T",0.192817354833588,-2.06668737288192,-9.09593295018768,-6.25888048947764,-2.83705246071004
"US-A03",2021,6,"Saline","WUE_ET_minus_WUE_T",0.266150136996973,-1.64863827709895,-1.61893612187363,-4.4600536600329,2.84111753815927
"US-A10",2012,6,"Saline","WUE_ET_minus_WUE_T",0.520663599078083,-0.19773024458294,-0.504049621172885,-1.75662582748679,1.25257620631391
"US-A10",2012,7,"Saline","WUE_ET_minus_WUE_T",0.457738390695981,-0.556448756141434,-2.69864764000096,-2.3505225206991,-0.348125119301865
"US-A10",2012,8,"Saline","WUE_ET_minus_WUE_T",0.47526633742659,-0.456526974020344,-2.96284455754305,-2.50465245242009,-0.458192105122962
"US-A10",2013,6,"Saline","WUE_ET_minus_WUE_T",0.384343965905968,-0.974849258806336,-1.35598680814438,-2.83587295533806,1.47988614719369
"US-A10",2013,8,"Saline","WUE_ET_minus_WUE_T",0.426414096183479,-0.735019548230234,-4.67363029224948,-2.88450830635365,-1.78912198589584
"US-A10",2014,7,"Saline","WUE_ET_minus_WUE_T",0.593621410370574,0.21818125013135,-0.926705872511348,-1.49222364602389,0.565517773512539
"US-A10",2015,8,"Saline","WUE_ET_minus_WUE_T",0.508675476758599,-0.266071081354005,-2.6400421820679,-2.27796710270567,-0.362075079362225
"US-A10",2016,6,"Saline","WUE_ET_minus_WUE_T",0.648791039965316,0.532687438037566,-0.288221566420432,-1.05506610688711,0.766844540466679
"US-A10",2016,7,"Saline","WUE_ET_minus_WUE_T",0.661600330688859,0.605709519658141,-1.64700521926185,-1.15965817959944,-0.487347039662409
"US-A10",2016,8,"Saline","WUE_ET_minus_WUE_T",0.534196372299379,-0.120583797363819,-2.37275189285061,-2.11702483605791,-0.255727056792703
"US-A10",2017,6,"Saline","WUE_ET_minus_WUE_T",0.714145392737973,0.905253802984948,-0.787552153025431,-0.78625893039682,-0.00129322262861098
"US-A10",2017,7,"Saline","WUE_ET_minus_WUE_T",0.626425018554229,0.405185183911497,-1.77974223177177,-1.32327292912505,-0.456469302646717
