"difference_type","difference_label","tet_level","Trans_ratio","month","contrast","estimate","std_error","lower_95","upper_95","z_value","p_value","signif"
"WUE_ET_minus_WUE_T","WUE_ET - WUE_T","Low T:ET (25th percentile)",0.437532435175135,7,"Upland - Freshwater",-0.736265825380586,0.408724613453197,-1.53736606774885,0.0648344169876799,-1.80137383741118,0.0716439769339261,"."
"WUE_ET_minus_WUE_T","WUE_ET - WUE_T","Low T:ET (25th percentile)",0.437532435175135,7,"Upland - Saline",-1.00042158267032,0.46808135845158,-1.91786104523541,-0.0829821201052207,-2.13728140334348,0.0325751104913794,"*"
"WUE_ET_minus_WUE_T","WUE_ET - WUE_T","Low T:ET (25th percentile)",0.437532435175135,7,"Freshwater - Saline",-0.264155757289732,0.465699238720459,-1.17692626518183,0.648614750602369,-0.567223940531915,0.57056204465276,""
"WUE_ET_minus_WUE_T","WUE_ET - WUE_T","Median T:ET",0.589708277051892,7,"Upland - Freshwater",-0.242827752516373,0.380007223904784,-0.987641911369749,0.501986406337003,-0.639008253635769,0.522817562580237,""
"WUE_ET_minus_WUE_T","WUE_ET - WUE_T","Median T:ET",0.589708277051892,7,"Upland - Saline",-0.689232182576828,0.438218133413214,-1.54813972406673,0.169675358913073,-1.57280616666522,0.115763707325464,""
"WUE_ET_minus_WUE_T","WUE_ET - WUE_T","Median T:ET",0.589708277051892,7,"Freshwater - Saline",-0.446404430060455,0.449296014244102,-1.3270246179789,0.434215757857985,-0.993564189104789,0.320435085789597,""
"WUE_ET_minus_WUE_T","WUE_ET - WUE_T","High T:ET (75th percentile)",0.685254039309931,7,"Upland - Freshwater",-0.00704789221345473,0.387439031424033,-0.766428393804558,0.752332609377649,-0.0181909710736943,0.985486505485569,""
"WUE_ET_minus_WUE_T","WUE_ET - WUE_T","High T:ET (75th percentile)",0.685254039309931,7,"Upland - Saline",-0.449565016283357,0.444459579856671,-1.32070579280243,0.421575760235719,-1.01148684077938,0.311783476225622,""
"WUE_ET_minus_WUE_T","WUE_ET - WUE_T","High T:ET (75th percentile)",0.685254039309931,7,"Freshwater - Saline",-0.442517124069903,0.465066756571165,-1.35404796694939,0.469013718809581,-0.951513127561479,0.341343957722252,""
"WUE_ET_minus_WUE_E","WUE_ET - WUE_E","Low T:ET (25th percentile)",0.437532435175135,7,"Upland - Freshwater",-0.294551826846713,0.430049848242347,-1.13744952940171,0.548345875708288,-0.684924847783513,0.493391345402652,""
