"smooth_term","edf","Ref.df","F","p_value","signif"
"s(Trans_ratio):diff_ecosystemWUE_ET_minus_WUE_T__Upland",4.48998949243037,5,264.285553579877,0,"***"
"s(Trans_ratio):diff_ecosystemWUE_ET_minus_WUE_E__Upland",4.49055028075467,5,400.750893160469,0,"***"
"s(Trans_ratio):diff_ecosystemWUE_E_minus_WUE_T__Upland",4.68518296366767,5,1211.34175536469,0,"***"
"s(Trans_ratio):diff_ecosystemWUE_ET_minus_WUE_T__Freshwater",1.5379460988016,5,22.8533380852844,0,"***"
"s(Trans_ratio):diff_ecosystemWUE_ET_minus_WUE_E__Freshwater",4.29039248929192,5,202.193536015528,0,"***"
"s(Trans_ratio):diff_ecosystemWUE_E_minus_WUE_T__Freshwater",4.19359503080256,5,364.499969490531,0,"***"
"s(Trans_ratio):diff_ecosystemWUE_ET_minus_WUE_T__Saline",2.89240994026228,5,60.9760051244563,0,"***"
"s(Trans_ratio):diff_ecosystemWUE_ET_minus_WUE_E__Saline",2.39458466786092,5,42.4080734016628,0,"***"
"s(Trans_ratio):diff_ecosystemWUE_E_minus_WUE_T__Saline",1.03143649398739,5,206.62073756638,0,"***"
"s(site_name)",55.2765434478997,61,11.2735816906927,0,"***"
