term,Estimate,Std._Error,t_value,p_value_normal_approx,signif
(Intercept),-0.970573323,0.771429528,-1.258149044,0.208337859,
difference_typeWUE_ET_minus_WUE_E,-6.371773199,1.015814977,-6.27257261,3.55130747186636e-10,***
difference_typeWUE_E_minus_WUE_T,5.277693776,1.015814977,5.195526644,2.04141094291058e-07,***
Trans_ratio_z,2.075338736,0.082455436,25.16921666,8.70758124957505e-140,***
water_classFreshwater,0.770571652,0.359057164,2.146097417,0.031865207,*
water_classSaline,1.009035868,0.393371324,2.565097673,0.010314676,*
month_f2,-1.610340902,0.798784972,-2.015987979,0.043801233,*
month_f3,-1.632860925,0.75605126,-2.15972251,0.030794158,*
month_f4,-1.609797738,0.747843887,-2.152585273,0.031351287,*
month_f5,-1.704773318,0.745766011,-2.285935926,0.022258007,*
month_f6,-1.513485485,0.744897326,-2.031804158,0.042173486,*
month_f7,-1.800998065,0.74648998,-2.412621887,0.015838241,*
month_f8,-1.927967833,0.74697487,-2.581034397,0.009850477,**
month_f9,-1.637989707,0.750211253,-2.183371284,0.029008479,*
month_f10,-1.576139729,0.760585018,-2.072272911,0.038239997,*
month_f11,-1.962545002,2.17306651,-0.903122382,0.366460946,
difference_typeWUE_ET_minus_WUE_E:Trans_ratio_z,-3.669331525,0.069105125,-53.0978206,0,***
difference_typeWUE_E_minus_WUE_T:Trans_ratio_z,2.167875625,0.069105125,31.37069251,5.08109449117114e-216,***
difference_typeWUE_ET_minus_WUE_E:water_classFreshwater,0.272728957,0.154271832,1.767846759,0.077086526,.
difference_typeWUE_E_minus_WUE_T:water_classFreshwater,-1.324044424,0.154271832,-8.582541677,9.27994931929976e-18,***
difference_typeWUE_ET_minus_WUE_E:water_classSaline,0.513914914,0.171496022,2.996657937,0.002729568,**
difference_typeWUE_E_minus_WUE_T:water_classSaline,-1.374989797,0.171496022,-8.01761921,1.07814430431121e-15,***
difference_typeWUE_ET_minus_WUE_E:month_f2,4.686049868,1.108210776,4.228482495,2.35272817484965e-05,***
difference_typeWUE_E_minus_WUE_T:month_f2,-1.156675025,1.108210776,-1.043731977,0.296609411,
difference_typeWUE_ET_minus_WUE_E:month_f3,4.575946714,1.042977723,4.387386817,1.14720657365528e-05,***
difference_typeWUE_E_minus_WUE_T:month_f3,-1.093960407,1.042977723,-1.048881853,0.294232499,
difference_typeWUE_ET_minus_WUE_E:month_f4,4.750128687,1.028936743,4.616541028,3.90188911437278e-06,***
difference_typeWUE_E_minus_WUE_T:month_f4,-1.238121402,1.028936743,-1.203301768,0.228859565,
difference_typeWUE_ET_minus_WUE_E:month_f5,4.570100569,1.025325119,4.45722092,8.30290247445858e-06,***
difference_typeWUE_E_minus_WUE_T:month_f5,-1.020530291,1.025325119,-0.995323603,0.319578902,
difference_typeWUE_ET_minus_WUE_E:month_f6,4.615035365,1.02250494,4.513460213,6.37784188678882e-06,***
difference_typeWUE_E_minus_WUE_T:month_f6,-1.202545231,1.02250494,-1.176077673,0.239563839,
difference_typeWUE_ET_minus_WUE_E:month_f7,4.731857015,1.023560636,4.622937664,3.78343445149722e-06,***
difference_typeWUE_E_minus_WUE_T:month_f7,-1.015069834,1.023560636,-0.991704642,0.321341626,
difference_typeWUE_ET_minus_WUE_E:month_f8,4.866416191,1.024216503,4.751354986,2.02058043384102e-06,***
difference_typeWUE_E_minus_WUE_T:month_f8,-0.955487942,1.024216503,-0.932896452,0.350873434,
difference_typeWUE_ET_minus_WUE_E:month_f9,4.950889861,1.02937227,4.809620394,1.51217195116995e-06,***
difference_typeWUE_E_minus_WUE_T:month_f9,-1.326911639,1.02937227,-1.289049334,0.197380936,
difference_typeWUE_ET_minus_WUE_E:month_f10,4.686068035,1.043289719,4.491626775,7.0681207510408e-06,***
difference_typeWUE_E_minus_WUE_T:month_f10,-1.134820257,1.043289719,-1.087732618,0.276713164,
difference_typeWUE_ET_minus_WUE_E:month_f11,4.4072768,3.000832604,1.468684656,0.141918341,
difference_typeWUE_E_minus_WUE_T:month_f11,-0.903839287,3.000832604,-0.30119617,0.76326491,
Trans_ratio_z:water_classFreshwater,-0.675446711,0.113491294,-5.951528847,2.65649186195052e-09,***
Trans_ratio_z:water_classSaline,-0.564054067,0.147793841,-3.81649237,0.000135362,***
