AmeriFlux Site,Coast,Years Used,Site-Months Used,NEE Years >14-d Gap,NEE Years >30-d Gap,Max NEE Gap (days),LE Years >14-d Gap,LE Years >30-d Gap,Max LE Gap (days)
US-A03,Alaska,7,17,0,0,9.4,0,0,5.1
US-A10,Alaska,11,31,2,1,37.2,2,1,37.2
US-Atq,Alaska,8,26,1,0,28.6,2,1,31.1
US-Brw,Alaska,10,25,2,0,22.2,2,0,22.2
US-CAK,Alaska,1,4,0,0,2.8,0,0,2.8
US-Cms,Alaska,7,19,0,0,4.6,0,0,13.7
US-Fo1,Alaska,3,7,0,0,4.9,0,0,4.6
US-Fo2,Alaska,2,4,0,0,2.4,0,0,2.4
US-KPL,Alaska,4,10,0,0,5.0,0,0,5.0
US-NGC,Alaska,7,19,2,1,46.5,2,1,46.5
US-Upa,Alaska,1,3,0,0,11.1,0,0,11.1
US-xBA,Alaska,8,19,4,1,56.2,6,3,56.0
US-CGG,Pacific,6,17,2,0,27.8,2,0,27.8
US-Dmg,Pacific,4,25,0,0,0.0,0,0,0.0
US-EDN,Pacific,7,44,3,1,30.6,3,1,30.6
US-EKH,Pacific,3,15,1,1,37.3,1,1,37.3
US-EKN,Pacific,2,6,1,1,34.4,1,1,34.4
US-EKP,Pacific,3,13,1,0,14.0,0,0,7.6
US-MCP,Pacific,3,18,1,0,17.1,1,0,14.3
US-MRf,Pacific,6,41,3,0,17.1,2,0,16.6
US-Myb,Pacific,15,82,0,0,0.0,0,0,0.1
US-SCg,Pacific,11,32,1,0,17.3,0,0,5.1
US-SCs,Pacific,7,17,0,0,3.3,0,0,3.3
US-SO2,Pacific,9,27,0,0,9.0,0,0,9.0
US-SO3,Pacific,7,26,2,1,32.0,2,1,32.0
US-SO4,Pacific,3,8,1,0,21.4,1,0,21.4
US-Snd,Pacific,8,55,1,0,15.1,1,0,15.1
US-Sne,Pacific,5,33,0,0,0.0,0,0,0.0
US-Tw1,Pacific,13,62,0,0,0.0,0,0,0.0
US-Tw2,Pacific,2,4,0,0,0.3,0,0,0.2
US-Tw3,Pacific,6,35,0,0,0.0,0,0,0.0
US-Tw4,Pacific,11,60,0,0,0.0,0,0,0.0
US-Tw5,Pacific,2,11,0,0,0.0,0,0,0.0
US-Twt,Pacific,8,30,0,0,0.0,0,0,0.0
US-Wpp,Pacific,1,5,0,0,0.0,0,0,6.2
US-Elm,Gulf,9,43,0,0,0.0,0,0,0.2
US-LA2,Gulf,5,37,3,1,41.1,3,1,41.0
US-LA3,Gulf,4,25,2,1,46.4,2,1,46.4
US-ONA,Gulf,7,43,2,1,50.4,2,1,50.3
US-PAS,Gulf,2,11,1,1,35.6,1,1,35.6
US-Skr,Gulf,12,95,4,1,33.3,5,3,53.4
US-TaS,Gulf,6,28,1,1,31.0,1,1,31.0
US-BWb,Atlantic,2,10,1,1,52.0,1,1,52.0
US-Ced,Atlantic,10,58,0,0,12.5,2,0,18.9
US-Dix,Atlantic,3,15,1,1,52.9,1,1,52.9
US-Esm,Atlantic,9,50,0,0,0.0,0,0,3.8
US-GCE,Atlantic,4,25,3,2,37.3,2,2,37.2
US-HB1,Atlantic,7,47,0,0,0.0,0,0,10.0
US-HB2,Atlantic,6,47,0,0,0.0,1,0,16.1
US-HB3,Atlantic,6,40,0,0,0.0,0,0,1.2
US-KS1,Atlantic,1,8,0,0,12.1,0,0,12.1
US-KS2,Atlantic,7,46,2,1,34.3,2,1,34.3
US-KS3,Atlantic,1,6,0,0,0.1,0,0,0.2
US-KS4,Atlantic,6,31,1,1,30.1,1,1,30.1
US-NC4,Atlantic,14,78,3,1,59.8,3,1,47.4
US-OPE,Atlantic,1,3,0,0,2.8,0,0,2.8
US-PHM,Atlantic,8,32,1,0,20.6,1,0,20.6
US-RRC,Atlantic,4,20,2,0,18.4,2,0,18.3
US-Slt,Atlantic,17,81,1,0,14.6,1,0,14.6
US-StJ,Atlantic,6,30,1,0,14.5,1,0,14.5
US-StS,Atlantic,1,3,0,0,0.8,0,0,0.8
US-TLR,Atlantic,1,5,0,0,0.0,0,0,4.4
US-xSB,Atlantic,7,43,4,2,38.0,3,1,43.7
US-xSE,Atlantic,8,42,3,1,59.4,2,1,30.1
