AmeriFlux Site,Coast,Years Used,Site-Months Used,NEE MDS-Filled (%),Maximum NEE Gap (days),LE MDS-Filled (%),Maximum LE Gap (days)
US-A03,Alaska,7,17,63.5,9.4,57.9,5.1
US-A10,Alaska,11,31,62.5,37.2,60.6,37.2
US-Atq,Alaska,8,26,15.3,28.6,31.5,31.1
US-Brw,Alaska,10,25,28.8,22.2,24.5,22.2
US-CAK,Alaska,1,4,10.9,2.8,13.7,2.8
US-Cms,Alaska,7,19,22.9,4.6,20.5,13.7
US-Fo1,Alaska,3,7,9.1,4.9,7.5,4.6
US-Fo2,Alaska,2,4,5.7,2.4,3.9,2.4
US-KPL,Alaska,4,10,7.7,5.0,7.6,5.0
US-NGC,Alaska,7,19,27.0,46.5,24.6,46.5
US-Upa,Alaska,1,3,31.2,11.1,33.4,11.1
US-xBA,Alaska,8,19,44.4,56.2,55.9,56.0
US-CGG,Pacific,6,17,30.5,27.8,30.3,27.8
US-Dmg,Pacific,4,25,0.0,0.0,0.0,0.0
US-EDN,Pacific,7,44,26.3,30.6,16.7,30.6
US-EKH,Pacific,3,15,42.5,37.3,26.4,37.3
US-EKN,Pacific,2,6,61.3,34.4,52.7,34.4
US-EKP,Pacific,3,13,30.0,14.0,14.1,7.6
US-MCP,Pacific,3,18,36.0,17.1,32.1,14.3
US-MRf,Pacific,6,41,38.1,17.1,26.1,16.6
US-Myb,Pacific,15,82,0.0,0.0,0.0,0.1
US-SCg,Pacific,11,32,11.4,17.3,13.0,5.1
US-SCs,Pacific,7,17,8.3,3.3,7.6,3.3
US-SO2,Pacific,9,27,11.2,9.0,11.2,9.0
US-SO3,Pacific,7,26,18.5,32.0,18.5,32.0
US-SO4,Pacific,3,8,29.8,21.4,29.8,21.4
US-Snd,Pacific,8,55,20.0,15.1,19.5,15.1
US-Sne,Pacific,5,33,0.0,0.0,0.0,0.0
US-Tw1,Pacific,13,62,0.0,0.0,0.0,0.0
US-Tw2,Pacific,2,4,7.2,0.3,3.9,0.2
US-Tw3,Pacific,6,35,0.0,0.0,0.0,0.0
US-Tw4,Pacific,11,60,0.0,0.0,0.0,0.0
US-Tw5,Pacific,2,11,0.0,0.0,0.0,0.0
US-Twt,Pacific,8,30,0.0,0.0,0.0,0.0
US-Wpp,Pacific,1,5,0.0,0.0,13.5,6.2
US-Elm,Gulf,9,43,0.0,0.0,0.3,0.2
US-LA2,Gulf,5,37,33.6,41.1,36.6,41.0
US-LA3,Gulf,4,25,20.5,46.4,20.0,46.4
US-ONA,Gulf,7,43,18.4,50.4,15.8,50.3
US-PAS,Gulf,2,11,17.7,35.6,16.1,35.6
US-Skr,Gulf,12,95,24.6,33.3,14.6,53.4
US-TaS,Gulf,6,28,7.4,31.0,6.6,31.0
US-BWb,Atlantic,2,10,58.0,52.0,58.1,52.0
US-Ced,Atlantic,10,58,49.7,12.5,32.8,18.9
US-Dix,Atlantic,3,15,64.9,52.9,47.9,52.9
US-Esm,Atlantic,9,50,0.0,0.0,1.8,3.8
US-GCE,Atlantic,4,25,32.1,37.3,37.2,37.2
US-HB1,Atlantic,7,47,0.0,0.0,10.3,10.0
US-HB2,Atlantic,6,47,0.1,0.0,18.6,16.1
US-HB3,Atlantic,6,40,0.0,0.0,15.1,1.2
US-KS1,Atlantic,1,8,48.6,12.1,44.0,12.1
US-KS2,Atlantic,7,46,40.9,34.3,24.9,34.3
US-KS3,Atlantic,1,6,2.8,0.1,2.6,0.2
US-KS4,Atlantic,6,31,5.4,30.1,6.7,30.1
US-NC4,Atlantic,14,78,44.8,59.8,32.6,47.4
US-OPE,Atlantic,1,3,15.2,2.8,12.3,2.8
US-PHM,Atlantic,8,32,8.9,20.6,9.0,20.6
US-RRC,Atlantic,4,20,46.1,18.4,44.6,18.3
US-Slt,Atlantic,17,81,29.7,14.6,36.8,14.6
US-StJ,Atlantic,6,30,3.2,14.5,5.0,14.5
US-StS,Atlantic,1,3,2.7,0.8,1.5,0.8
US-TLR,Atlantic,1,5,0.0,0.0,35.2,4.4
US-xSB,Atlantic,7,43,52.2,38.0,41.4,43.7
US-xSE,Atlantic,8,42,35.4,59.4,33.8,30.1
