Time (est),month,IRL-TS-WQ Salinity (PSU)
12/31/2021 19:00,12,23.01
12/31/2021 20:00,12,23.1
12/31/2021 21:00,12,23.14
12/31/2021 22:00,12,23.14
12/31/2021 23:00,12,23.08
1/1/2022 0:00,1,22.99
1/1/2022 1:00,1,23.09
1/1/2022 2:00,1,22.93
1/1/2022 3:00,1,23.21
1/1/2022 4:00,1,23.03
1/1/2022 5:00,1,22.98
1/1/2022 6:00,1,22.99
1/1/2022 7:00,1,22.95
1/1/2022 8:00,1,22.91
1/1/2022 9:00,1,22.91
1/1/2022 10:00,1,22.98
1/1/2022 11:00,1,22.94
1/1/2022 13:00,1,22.91
1/1/2022 14:00,1,22.85
1/1/2022 15:00,1,22.85
1/1/2022 16:00,1,22.89
1/1/2022 17:00,1,22.92
1/1/2022 18:00,1,22.91
1/1/2022 19:00,1,22.92
1/1/2022 20:00,1,22.88
1/1/2022 21:00,1,22.83
1/1/2022 22:00,1,22.92
1/1/2022 23:00,1,22.72
1/2/2022 0:00,1,22.63
1/2/2022 1:00,1,22.53
1/2/2022 2:00,1,22.66
1/2/2022 3:00,1,22.7
1/2/2022 4:00,1,22.71
1/2/2022 5:00,1,22.76
1/2/2022 6:00,1,22.81
1/2/2022 7:00,1,22.87
1/2/2022 8:00,1,22.77
1/2/2022 9:00,1,22.62
1/2/2022 10:00,1,22.62
1/2/2022 11:00,1,22.57
1/2/2022 13:00,1,22.61
1/2/2022 14:00,1,22.63
1/2/2022 15:00,1,22.62
1/2/2022 16:00,1,22.63
1/2/2022 17:00,1,22.72
1/2/2022 18:00,1,22.82
1/2/2022 19:00,1,22.75
1/2/2022 20:00,1,22.58
1/2/2022 21:00,1,22.8
1/2/2022 22:00,1,22.78
1/2/2022 23:00,1,22.72
1/3/2022 0:00,1,22.71
1/3/2022 1:00,1,22.72
1/3/2022 2:00,1,22.7
1/3/2022 3:00,1,22.76
1/3/2022 4:00,1,22.86
1/3/2022 5:00,1,22.86
1/3/2022 6:00,1,22.82
1/3/2022 7:00,1,22.83
1/3/2022 8:00,1,22.81
1/3/2022 9:00,1,22.67
1/3/2022 10:00,1,22.61
1/3/2022 11:00,1,22.38
1/3/2022 13:00,1,22.9
1/3/2022 14:00,1,22.67
1/3/2022 15:00,1,22.61
1/3/2022 16:00,1,22.76
1/3/2022 17:00,1,22.8
1/3/2022 18:00,1,22.75
1/3/2022 19:00,1,22.86
1/3/2022 20:00,1,22.84
1/3/2022 21:00,1,22.9
1/3/2022 22:00,1,22.89
1/3/2022 23:00,1,22.85
1/4/2022 0:00,1,22.83
1/4/2022 1:00,1,22.85
1/4/2022 2:00,1,22.9
1/4/2022 3:00,1,22.83
1/4/2022 4:00,1,22.9
1/4/2022 5:00,1,22.9
1/4/2022 6:00,1,22.87
1/4/2022 7:00,1,22.91
1/4/2022 8:00,1,22.95
1/4/2022 9:00,1,22.95
1/4/2022 10:00,1,23.03
1/4/2022 11:00,1,23.08
1/4/2022 13:00,1,23.06
1/4/2022 14:00,1,23.06
1/4/2022 15:00,1,23.02
1/4/2022 16:00,1,23
1/4/2022 17:00,1,23.03
1/4/2022 18:00,1,23.01
1/4/2022 19:00,1,23
1/4/2022 20:00,1,23
1/4/2022 21:00,1,23
1/4/2022 22:00,1,23.02
1/4/2022 23:00,1,23
1/5/2022 0:00,1,23
1/5/2022 1:00,1,23
1/5/2022 2:00,1,23
1/5/2022 3:00,1,22.92
1/5/2022 4:00,1,22.98
1/5/2022 5:00,1,23.01
1/5/2022 6:00,1,22.99
1/5/2022 7:00,1,22.99
1/5/2022 8:00,1,22.96
1/5/2022 9:00,1,23
1/5/2022 10:00,1,22.97
1/5/2022 11:00,1,22.99
1/5/2022 13:00,1,22.97
1/5/2022 14:00,1,22.96
1/5/2022 15:00,1,22.97
1/5/2022 16:00,1,22.95
1/5/2022 17:00,1,22.95
1/5/2022 18:00,1,22.93
1/5/2022 19:00,1,22.99
1/5/2022 20:00,1,22.92
1/5/2022 21:00,1,22.94
1/5/2022 22:00,1,22.94
1/5/2022 23:00,1,22.91
1/6/2022 0:00,1,22.94
1/6/2022 1:00,1,22.94
1/6/2022 2:00,1,22.96
1/6/2022 3:00,1,22.92
1/6/2022 4:00,1,22.91
1/6/2022 5:00,1,22.96
1/6/2022 6:00,1,22.9
1/6/2022 7:00,1,22.89
1/6/2022 8:00,1,22.88
1/6/2022 9:00,1,22.79
1/6/2022 10:00,1,22.78
1/6/2022 11:00,1,22.75
1/6/2022 13:00,1,22.94
1/6/2022 14:00,1,22.64
1/6/2022 15:00,1,22.6
1/6/2022 16:00,1,22.92
1/6/2022 17:00,1,22.72
1/6/2022 18:00,1,22.72
1/6/2022 19:00,1,22.54
1/6/2022 20:00,1,22.53
1/6/2022 21:00,1,22.6
1/6/2022 22:00,1,22.56
1/6/2022 23:00,1,22.6
1/7/2022 0:00,1,22.6
1/7/2022 1:00,1,22.6
1/7/2022 2:00,1,22.58
1/7/2022 3:00,1,22.51
1/7/2022 4:00,1,22.56
1/7/2022 5:00,1,22.52
1/7/2022 6:00,1,22.52
1/7/2022 7:00,1,22.53
1/7/2022 8:00,1,22.64
1/7/2022 9:00,1,22.63
1/7/2022 10:00,1,22.65
1/7/2022 11:00,1,22.65
1/7/2022 13:00,1,22.69
1/7/2022 14:00,1,22.73
1/7/2022 15:00,1,22.79
1/7/2022 16:00,1,22.92
1/7/2022 17:00,1,22.92
1/7/2022 18:00,1,23.05
1/7/2022 19:00,1,23.44
1/7/2022 20:00,1,23.44
1/7/2022 21:00,1,23.4
1/7/2022 22:00,1,23.35
1/7/2022 23:00,1,23.32
1/8/2022 0:00,1,23.34
1/8/2022 1:00,1,23.37
1/8/2022 2:00,1,23.4
1/8/2022 3:00,1,23.37
1/8/2022 4:00,1,23.23
1/8/2022 5:00,1,23.24
1/8/2022 6:00,1,23.14
1/8/2022 7:00,1,23.33
1/8/2022 8:00,1,23.24
1/8/2022 9:00,1,23.23
1/8/2022 10:00,1,23.21
1/8/2022 11:00,1,23.1
1/8/2022 13:00,1,23.11
1/8/2022 14:00,1,23.1
1/8/2022 15:00,1,23.16
1/8/2022 16:00,1,23.2
1/8/2022 17:00,1,23.21
1/8/2022 18:00,1,23.22
1/8/2022 19:00,1,23.25
1/8/2022 20:00,1,23.26
1/8/2022 21:00,1,23.35
1/8/2022 22:00,1,23.38
1/8/2022 23:00,1,23.36
1/9/2022 0:00,1,23.35
1/9/2022 1:00,1,23.33
1/9/2022 2:00,1,23.35
1/9/2022 3:00,1,23.34
1/9/2022 4:00,1,23.37
1/9/2022 5:00,1,23.36
1/9/2022 6:00,1,23.33
1/9/2022 7:00,1,23.31
1/9/2022 8:00,1,23.31
1/9/2022 9:00,1,23.32
1/9/2022 10:00,1,23.28
1/9/2022 11:00,1,23.22
1/9/2022 13:00,1,22.86
1/9/2022 14:00,1,22.85
1/9/2022 15:00,1,23.16
1/9/2022 16:00,1,23.17
1/9/2022 17:00,1,23.13
1/9/2022 18:00,1,23.09
1/9/2022 19:00,1,23.05
1/9/2022 20:00,1,23.03
1/9/2022 21:00,1,23.11
1/9/2022 22:00,1,23.08
1/9/2022 23:00,1,22.95
1/10/2022 0:00,1,22.86
1/10/2022 1:00,1,22.9
1/10/2022 2:00,1,22.94
1/10/2022 3:00,1,22.95
1/10/2022 4:00,1,22.98
1/10/2022 5:00,1,23.07
1/10/2022 6:00,1,22.9
1/10/2022 7:00,1,23.1
1/10/2022 8:00,1,23.12
1/10/2022 9:00,1,23.08
1/10/2022 10:00,1,22.85
1/10/2022 11:00,1,22.88
1/10/2022 13:00,1,22.96
1/10/2022 14:00,1,22.98
1/10/2022 15:00,1,22.89
1/10/2022 16:00,1,23.17
1/10/2022 17:00,1,23.49
1/10/2022 18:00,1,22.87
1/10/2022 19:00,1,22.89
1/10/2022 20:00,1,22.93
1/10/2022 21:00,1,22.95
1/10/2022 22:00,1,23.87
1/10/2022 23:00,1,23.92
1/11/2022 0:00,1,23.87
1/11/2022 1:00,1,23.83
1/11/2022 2:00,1,24.37
1/11/2022 3:00,1,24.45
1/11/2022 4:00,1,24.42
1/11/2022 5:00,1,24.4
1/11/2022 6:00,1,24.35
1/11/2022 7:00,1,24.34
1/11/2022 8:00,1,24.63
1/11/2022 9:00,1,24.55
1/11/2022 10:00,1,24.53
1/11/2022 11:00,1,22.95
1/11/2022 13:00,1,23.01
1/11/2022 14:00,1,23.62
1/11/2022 15:00,1,23.73
1/11/2022 16:00,1,23.81
1/11/2022 17:00,1,23.92
1/11/2022 18:00,1,24.51
1/11/2022 19:00,1,24.58
1/11/2022 20:00,1,24.63
1/11/2022 21:00,1,24.38
1/11/2022 22:00,1,24.05
1/11/2022 23:00,1,23.84
1/12/2022 0:00,1,23.69
1/12/2022 1:00,1,23.61
1/12/2022 2:00,1,23.53
1/12/2022 3:00,1,24.26
1/12/2022 4:00,1,24.18
1/12/2022 5:00,1,24.21
1/12/2022 6:00,1,23.9
1/12/2022 7:00,1,23.6
1/12/2022 8:00,1,23.59
1/12/2022 9:00,1,23.83
1/12/2022 10:00,1,23.89
1/12/2022 11:00,1,23.92
1/12/2022 13:00,1,23.44
1/12/2022 14:00,1,23.55
1/12/2022 15:00,1,23.6
1/12/2022 16:00,1,23.6
